"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"RM1070 Ford Motor Company Ltd",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:15:09Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Ford Motor Company Ltd - Vehicle Purchase Framework - [REDACTED].pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,,02/12/2014,0,"[Ford Motor Company Ltd|Eagle Way
Warley
Brentwood
CM13 3BW|||No|No]",,02/12/2014,01/12/2018,"Open ",
BIP466002643,Contract,"Kent & Medway Fire & Rescue Authority",Awarded,2020-01-21T12:40:01Z,"GB-Maidstone: TPPL Kent Fire and Rescue HCC Lot 2 - 1 x Dog Van","TPPL Kent Fire and Rescue HCC Lot 2 - 1 x Dog Van",,,"South East","34136000 ","Garry Mitchell",garry.mitchell@kent.fire-uk.org,"The Godlands",Tovil,Maidstone,"ME15 6XB",UK,01622692121,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=466002643 ",,02/04/2020,02/05/2020,23/08/2019,NO,,No,No,No,Products,38138,,23/08/2019,38138,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/04/2020,02/05/2020,"NotSpecified ",
BIP465998836,Contract,"Carmarthenshire County Council",Awarded,2020-01-21T12:30:46Z,"GB-Llanelli: TPPL Carmarthenshire County Council HCC lot 2 - 1 x Social Care Support Equipment Van (2362)","TPPL Carmarthenshire County Council HCC lot 2 - 1 x Social Care Support Equipment Van (2362)",,,Wales,"34136000 ","Jennifer Maughan",jamaughan@carmarthenshire.gov.uk,"Trostre Depot",,Llanelli,"SA14 9RA",UK,01267246298,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=465998836 ",,02/02/2020,02/03/2020,01/10/2019,NO,,No,No,No,Products,31256,,01/10/2019,31256.37,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/02/2020,02/03/2020,"NotSpecified ",
BIP464482673,Contract,"North Warwickshire Borough Council",Awarded,2020-01-15T14:40:01Z,"GB-Atherstone: TPPL North Warwickshire Borough Council HCC lot 2 - 1 x 4x4 Pickup (2983)","TPPL North Warwickshire Borough Council HCC lot 2 - 1 x 4x4 Pickup (2983)",,,"West Midlands","34144700 ","John Rhodes",johnrhodes@northwarks.gov.uk,"South Street",,Atherstone,"CV9 1BG",UK,01827719275,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=464482673 ",,02/07/2020,02/08/2020,25/11/2019,NO,,No,No,No,Products,28099,,25/11/2019,28099.33,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/07/2020,02/08/2020,"NotSpecified ",
BIP464457386,Contract,"Wigan Metropolitan Borough Council",Awarded,2020-01-15T13:50:01Z,"GB-Hindley: TPPL Wigan Council HCC lot 2 - 1 x small van","TPPL Wigan Council HCC lot 2 - 1 x small van",,,"North West","34136000 ","Andrea Yates",a.yates@wigan.gov.uk,"Hindley Towns Yard","Wigan Road",Hindley,"WN2 3BQ",UK,01942705110,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=464457386 ",,02/01/2020,02/02/2020,26/09/2019,NO,,No,No,No,Products,11792,,26/09/2019,11792.03,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/01/2020,02/02/2020,"NotSpecified ",
BIP464452871,Contract,"Wigan Metropolitan Borough Council",Awarded,2020-01-15T13:40:01Z,"GB-Hindley: TPPL Wigan Council HCC lot 2 - 1 x 3.5t Luton","TPPL Wigan Council HCC lot 2 - 1 x 3.5t Luton",,,"North West","34136000 ","Andrea Yates",a.yates@wigan.gov.uk,"Hindley Towns Yard","Wigan Road",Hindley,"WN2 3BQ",UK,01942705110,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=464452871 ",,02/03/2020,02/04/2020,02/09/2019,NO,,No,No,No,Products,30575,,02/09/2019,30575.12,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/03/2020,02/04/2020,"NotSpecified ",
BIP461549617,Contract,"Wigan Council",Awarded,2020-01-07T10:03:49Z,"GB-Wigan: TPPL Wigan Council HCC lot 2 - 106 LCVs (3793)","TPPL Wigan Council HCC lot 2 - 106 LCVs (3793)",,,"North West","34136000 ","Andrea Yates",a.yates@wigan.gov.uk,"Fleet & Waste Services","Makerfield Way Depot",Wigan,"WN2 2PR",UK,01942705110,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=461549617 ",,02/05/2020,02/06/2020,20/12/2019,NO,,No,No,No,Products,2076884,,20/12/2019,2076884.32,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/05/2020,02/06/2020,"NotSpecified ",
DVNCC001-DN455249-20261309,Contract,"Devon County Council",Awarded,2019-12-24T12:25:12Z,"CPF1857-19 - Purchase of 3 Light Vans with Tailgates from CCS Framework RM6060","Purchase of 3 Light Vans with Tailgates from CCS Framework RM6060",,,"South West","34100000 ","Rob Gilbert",rob.gilbert@devon.gov.uk,"County Hall","Topsham Road",Exeter,"EX2 4QD","United Kingdom","+44 1392383000",http://www.devon.gov.uk,,,,13/11/2019,31/03/2020,11/11/2019,NO,,No,No,No,Products,45000,,12/11/2019,4203516,"[Ford Motor Company Ltd|Arterial Road, Laindon, Essex, SS15 6EE|NONE||No|No]",,13/11/2019,31/03/2020,"DirectAward ",
BIP430580862,Contract,"Bristol City Council",Awarded,2019-11-28T15:31:05Z,"GB-Bristol: TPPL Bristol City Council HCC Lot 2 - 23 LCVs","TPPL Bristol City Council HCC Lot 2 - 23 LCVs",,,"South West","34136000 ","Nick Gingell",nick.gingell@bristol.gov.uk,"Sandy Park Road",Brislington,Bristol,"BS4 3NZ",UK,01173525611,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=430580862 ",,02/12/2019,02/01/2020,05/09/2019,NO,,No,No,No,Products,321973,,05/09/2019,321973.32,"[Ford Motor company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/12/2019,02/01/2020,"NotSpecified ",
BIP438234803,Contract,"Sheffield City Council",Awarded,2019-11-28T15:10:13Z,"GB-Sheffield: TPPL Sheffield City Council HCC lot 2 - 1 x AWD 3.5t Van (2930)","TPPL Sheffield City Council HCC lot 2 - 1 x AWD 3.5t Van (2930)",,,"Yorkshire and the Humber","34136000 ","Anna Peysner",anna.peysner@sheffield.gov.uk,"Staniforth Road",,Sheffield,"S9 3GZ",UK,01142037575,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=438234803 ",,02/01/2020,02/02/2020,08/10/2019,NO,,No,No,No,Products,26728,,08/10/2019,26728.85,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/01/2020,02/02/2020,"NotSpecified ",
BIP434572914,Contract,"Stockton on Tees Borough Council",Awarded,2019-11-28T15:01:00Z,"GB-Stockton on Tees: TPPL Stockton-on-Tees Borough Council HCC lot 2 - 6 x 17-Seater Minibuses","TPPL Stockton-on-Tees Borough Council HCC lot 2 - 6 x 17-Seater Minibuses",,,"North East","34114400 ","Stephanie Husband",stephanie.husband@stockton.gov.uk,"Municipal Buildings","Church Road","Stockton on Tees","TS18 1LD",UK,01642527177,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=434572914 ",,02/01/2020,02/02/2020,01/10/2019,NO,,No,No,No,Products,165204,,01/10/2019,165204.72,"[Ford Motor company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/01/2020,02/02/2020,"NotSpecified ",
BIP442655845,Contract,"Hertfordshire County Council",Awarded,2019-11-28T14:20:12Z,"GB-Welwyn Garden City: TPPL Hertfordshire County Council HCC lot 2 - 3 x 3.5t Vans","TPPL Hertfordshire County Council HCC lot 2 - 3 x 3.5t Vans",,,"East of England","34136000 ","Patrick Stiles",patrick.stiles@hertfordshire.gov.uk,"Fleet Management Services",Mundells,"Welwyn Garden City","AL7 1FT",UK,01707343620,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=442655845 ",,02/01/2020,02/02/2020,04/10/2019,NO,,No,No,No,Products,67147,,04/10/2019,67147.32,"[Ford Motor Company Ltd|Eagle Way
        Brentwood
        CM13 3BW|NONE||No|No]","Dan Murphy",02/01/2020,02/02/2020,"NotSpecified ",
