"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BFDMDC001-DN228020-98350214,Contract,"Bradford Metropolitan District Council",Awarded,2017-08-14T09:24:23Z,"Highways Structures Inspections and Reporting","To select suitably qualified contractors to carry out inspections and report on highway structures.",,,"Yorkshire and the Humber","71250000 71315000 71312000 ","Alan Parsons",alan.parsons@bradford.gov.uk,"Britannia House","Hall Ings",Bradford,"BD1 1HX",England,"+44 1274436690",http://www.bradford.gov.uk/bmdc,,,,01/04/2017,01/04/2019,22/02/2017,NO,,Yes,Yes,No,Services,480000,480000,08/05/2017,480000,"[Aecom Infrastructure and Environment UK Ltd|Bridgewater House, Whitworth Street, Manchester, M1 6LT|||No|No][Atkins Ltd|Dunedin House, Columbia Drive, Stockton on Tees, TS17 6BJ|||No|No][Bridgeway Consulting Ltd|Bridgeway House, 2 Riverside Way, Nottingham, NG2 1DP|||No|No][Concrete Repairs Ltd|Portland House, Britannia Road, Chesterfield, S20 2TZ|||No|No][Inertia Consulting Ltd|12 Stafford Street, Derby, DE1 1JG|||No|No][Total Access Ltd|Unit 5, Raleigh Hall Industrial Estate, Eccleshall, ST21 6JL|||No|No][Waterman Infrastructure & Environment Ltd|2nd Floor, Victoria Wharf, 4 The Embankment, Sovereign Street, Leeds, LS1 4BA|||No|No][Wilde Consultants Ltd|Brindley Lodge, Adcroft Street, Stockport, Cheshire, SK1 3HS|||No|No][WSP UK Ltd|The Victoria, 150 - 182 The Quays, Manchester, M50 3SP|||No|No][XEIAD Ltd|Swallow Court, Devonshire Gate, Tiverton, Devon, EX16 7EJ|||No|No]",,15/05/2017,14/05/2019,"Open ",
"CDF PC1 0051",Contract,"Highways Agency",Awarded,2017-04-13T11:45:50Z,"A38 Derby Junctions","Scheme comprises the grade separation of three existing at-grade roundabouts and widening of a section of the A38. Works include construction of new highway bridges, embankments, a railway bridge, an underpass and substantial length of retaining walls. There is a clear and demonstrable need to provide enhanced capacity at the junctions to address current levels of congestion, and its impacts on motorists and business users.",,,"East Midlands","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,19/12/2016,30/04/2018,18/12/2016,NO,,No,No,No,Services,1418837,,18/12/2016,1418837,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,19/12/2016,30/04/2018,"NotSpecified ",
"CDF PC 10051",Contract,"Highways Agency",Awarded,2016-12-20T17:27:43Z,"A38 Derby Junctions - Designer appointment","The award of this Package Contract is for PCF stage 3 only as detailed in the additional Contract Data.  The Employer reserves the right to extend this Package Contract with the successful Supplier to PCF stages 4, 5, 6 & 7, if the Employer confirms that certain criteria have been met for the scheme.

The A38 is the strategic route from Birmingham to Derby and through to the M1 at Junction 28. It carries a high volume of north-south strategic traffic. Where the A38 passes through Derby, this traffic is intersected and intensified by a large number of trips making local journeys. This conflict results in congestion and delays at the three existing at-grade roundabout junctions to the west and north of Derby City Centre. The scheme comprises the grade separation of the three existing at-grade roundabouts and widening of a section of the A38. Works include construction of new highway bridges, embankments, a railway bridge, an underpass and substantial length of retaining walls.",,,"East Midlands","71000000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,"Award letter.pdf ",,,20/12/2016,30/04/2018,19/12/2016,NO,,No,No,No,Services,1418837,,19/12/2016,1418837,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,20/12/2016,30/04/2018,"NotSpecified ",
PO1507,Contract,"DEPARTMENT FOR TRANSPORT",Awarded,2016-04-05T09:37:56Z,"PSF PO 1507 Area 12 - M181 Terminal Junction/M181 Motorway De-Trunking Detailed Design","Area 12 - M181 Terminal Junction/M181 Motorway De-Trunking Detailed Design",,,"Yorkshire and the Humber","71311000 ",,TransparencySGRM@highwaysengland.co.uk,"Highways England","Lateral 8 City Walk",Leeds,LS11,England,,,"Formal Award Letter AECOM PO507.doc ",,,05/04/2016,10/01/2017,04/04/2016,NO,,No,No,No,Services,536780.75,,04/04/2016,536780.75,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,05/04/2016,10/01/2017," ",
1467.6,Contract,"Highways Agency",Awarded,2016-03-31T11:18:41Z,"Project Support Framework (Consultancy): AS14 Schemes East - A47 Thickthorn Interchange","AS14 Schemes East - A47 Thickthorn Interchange.",,,"East of England","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,26/01/2016,14/10/2016,26/01/2016,NO,,No,No,No,Services,718568.15,,26/01/2016,718568.15,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,26/01/2016,14/10/2016," ",
1467.5,Contract,"Highways Agency",Awarded,2016-03-31T11:16:14Z,"Project Support Framework (Consultancy): AS14 Schemes East - A47/A12 Junctions","AS14 Schemes East - A47/A12 Junctions.",,,"East of England","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,26/01/2016,14/10/2016,26/01/2016,NO,,No,No,No,Services,701736.78,,26/01/2016,701736.78,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,26/01/2016,14/10/2016," ",
1467.4,Contract,"Highways Agency",Awarded,2016-03-31T11:14:02Z,"Project Support Framework (Consultancy): AS14 Schemes East - A47 Blofield to North Burlingham upgrade","AS14 Schemes East - A47 Blofield to North Burlingham upgrade.",,,"East of England","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,26/01/2016,08/12/2016,26/01/2016,NO,,No,No,No,Services,606431.68,,26/01/2016,606431.68,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,26/01/2016,08/12/2016," ",
1467.3,Contract,"Highways Agency",Awarded,2016-03-31T11:11:46Z,"Project Support Framework (Consultancy): AS14 Schemes East - A47 Guyhirn Junction","AS14 Schemes East - A47 Guyhirn Junction.",,,"East of England","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,25/01/2016,05/09/2016,25/01/2016,NO,,No,No,No,Services,581858.64,,25/01/2016,581858.64,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,25/01/2016,05/09/2016," ",
1467.1,Contract,"Highways Agency",Awarded,2016-03-31T11:08:25Z,"Project Support Framework (Consultancy): AS14 Schemes East - A47 North Tuddenham to Easton Dualling","AS14 Schemes East - A47 North Tuddenham to Easton Dualling.",,,"East of England","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,25/01/2016,16/12/2016,25/01/2016,NO,,No,No,No,Services,697977.12,,25/01/2016,697977.12,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,25/01/2016,16/12/2016," ",
1467.2,Contract,"Highways Agency",Awarded,2016-03-31T11:06:15Z,"Project Support Framework (Consultancy): AS14 Schemes East - A47 Wansford Junction (A1) to Sutton Dualling","AS14 Schemes East - A47 Wansford Junction (A1) to Sutton Dualling.",,,"East of England","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,25/01/2016,15/12/2016,25/01/2016,NO,,No,No,No,Services,667741.14,,25/01/2016,667741.14,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,25/01/2016,15/12/2016," ",
1465.2,Contract,"Highways Agency",Awarded,2016-03-31T10:41:35Z,"Project Support Framework (Consultancy): AS14 Schemes East Midlands - A52 Nottingham Junctions","Funding for stage 1.",,,"East Midlands","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,23/11/2015,30/04/2017,23/11/2015,NO,,No,No,No,Services,1120000,,23/11/2015,1120000,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,23/11/2015,30/04/2017," ",
1465.1,Contract,"Highways Agency",Awarded,2016-03-31T10:28:53Z,"Regional Investment Programme (Midlands) AS14 Schemes","This award is in respect of AS14 schemes.",,,"East Midlands,West Midlands","71311000 ",,TransparencySGRM@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,,,,27/10/2015,28/02/2018,27/10/2015,NO,,No,No,No,Services,751000,,27/10/2015,751000,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,27/10/2015,28/02/2018," ",
"CDF PC1 0038.1",Contract,"Highways Agency",Awarded,2016-03-23T19:37:32Z,"AS14 Phase 2- Options Selection-  East","CDF Lot 1-  Phase 2- Options Selection work for AS14 schemes in the region. The Package Order was awarded under CDF Lot 1 to carry out work within the region with individual schemes being allocated to the suppliers based on their tender scores.",,,"East of England","71311000 ",,CDF@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,"AS14_Stage_2_Programme_Procurement_Scope_final Rev 2.docx ",,,16/03/2016,31/12/2017,05/02/2016,NO,,No,No,No,Services,0,,16/03/2016,0,"[Aecom Infrastructure and Environment UK Ltd (was URS Infrastruct|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,16/03/2016,31/12/2017,"NotSpecified ",
"CDF PC1 0035.1",Contract,"Highways Agency",Awarded,2016-03-23T19:05:46Z,"AS14 Phase 2- Options Selection- Midlands","CDF Lot 1-  Phase 2- Options Selection work for AS14 schemes in the region. The Package Order was awarded under CDF Lot 1 to carry out work within the region with individual schemes being allocated to the suppliers based on their tender scores.",,,"East Midlands,West Midlands","71311000 ",,CDF@highwaysengland.co.uk,Lateral,"8 City Walk",Leeds,"LS11 9AT",England,,,"AS14_Stage_2_Programme_Procurement_Scope_final Rev 2.docx Midlands Award Letter- Aecom.docx ",,,16/03/2016,31/12/2017,05/02/2016,NO,,No,No,No,Services,0,,16/03/2016,0,"[Aecom Infrastructure and Environment UK Ltd|URS House, Horne Lane 
Bedford 
MK40 1TS|||No|No]",,16/03/2016,31/12/2017,"NotSpecified ",
