"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CPD4116019 Ext 01",Contract,"MINISTRY OF HOUSING, COMMUNITIES & LOCAL GOVERNMENT",Awarded,2020-09-11T13:49:20Z,"MHCLG IP Telephony Managed Service","MHCLG/PINS IP telephony Managed Service - 12 month extension.
This contract has been awarded and is published for transparency purposes.",,,"United Kingdom","32429000 32500000 ",,commercial@communities.gov.uk,"Ashdown House","Sedlescombe Road North","St Leonards on Sea","TN37 7GA",England,,,"Redacted Extension01.pdf ",,,15/05/2020,14/05/2021,14/05/2020,NO,,Yes,No,No,Services,895000,,15/05/2020,895000,"[DAISY COMMUNICATIONS LTD.|Lindred Road Business Park,Brierfield
NELSON
RD1002011,Contract,"DEPARTMENT FOR EDUCATION",Awarded,2019-03-28T09:22:19Z,"ICT2018-045 RM1045/DfE Breakfix","Local Area Network - Core switch & firewall break/fix replacement",,,"Any region","72000000 ",,mckenzie.uruakpa@education.gov.uk,"53-55 Butts Road, Earlsdon Park,",,Coventry,"CV1 3BH",England,,,"873 ICT2018-045 RM1045 - DfE Breakfix contract.rev.rev.pdf ",,,01/01/2019,31/12/2020,21/12/2018,NO,,Yes,No,No,Services,228549,,31/12/2018,228549,"[Daisy Communication Ltd|Daisy House, Lindred Road Business Park, Nelson, Lancashire, BB9 5SR|NONE||No|No]",,01/01/2019,31/12/2020,"CallOffFromFrameworkAgreement ",
IT18215,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2018-10-23T16:08:55Z,"UK SBS IT18215 UKRI MRC-LMB Network and Telephony Maintenance","The Laboratory of Molecular Biology (LMB), part of the Medical Research Council, had a requirement for a suitable supplier to provide maintenance and support of its Juniper Data Network switches and Mitel IP Telephony systems. 

A further competition was undertaken via CCS RM3804 Technology Services 2, Lot 3b Operational Management.",,,"East of England","50334110 ","Sophie Mumford",DDaTProcurement@uksbs.co.uk,"Polaris House",,SWINDON,SN21FF,England,,,,,,01/11/2018,31/10/2021,31/08/2018,NO,,No,No,No,Services,162847.83,270081.05,18/09/2018,270081.05,"[DAISY COMMUNICATIONS LTD.|Brierfield
Nelson
Lancashire
BB9 5SR
GB|COMPANIES_HOUSE|4145329|No|No]",,01/11/2018,31/10/2021,"CompetitiveQuotationNonOJEU ",
000852,Contract,"Yorkshire Purchasing Organisation",Awarded,2018-03-14T11:10:53Z,"000852 Mobile Devices and Data (CCS Call Off)","Purchase of mobile devices and data plans.",,,"Any region","32250000 ","Contracts Team",contracts@ypo.co.uk,"41 Industrial Park",,WAKEFIELD,WF20XE,England,01924664685,,,,,17/01/2018,16/01/2022,16/01/2018,NO,,Yes,Yes,No,Products,82503.6,,16/01/2018,82503.6,"[Daisy Communications Ltd|Daisy House, 
Lindred Road Business Park, 
Nelson, 
BB9 5SR|NONE||No|No]",,17/01/2018,16/01/2022,"CallOffFromFrameworkAgreement ",
KENTFIRE001-DN297638-18801281,Contract,"Kent Fire and Rescue Service",Awarded,2017-11-22T15:28:37Z,"C17023 Mobile Phones","Mobile Telephone Services",,,"South East","64000000 ","Gemma Rudd",procurement@kent.fire-uk.org,"The Godlands","Straw Mill Hill, Tovil",Maidstone,"ME15 6XB",England,"+44 1622692121",http://www.kent.fire-uk.org/,,,,01/11/2017,31/10/2019,13/10/2017,NO,,Yes,No,No,Services,150000,150000,22/11/2017,110000,"[Daisy Communications Ltd|Daisy House
Lindred Road Business Park
Nelson
Lancashire
BB9 5SR|||No|No]",,01/12/2017,30/11/2019,"Restricted ",
ICT12159,Contract,"TRANSPORT FOR LONDON",Awarded,2017-07-07T11:34:04Z,"Fixed Telephony Services support and maintenance","The Telephony Services Engineer (TSE) team provide an end to end telephony service across TfL's office and operational environments, maintaining the telephony exchange network and ancillary services (including mobiles).",,,London,"32551400 50334100 50334110 ",,CommercialCoE@TfL.gov.uk,"50 Victoria Street,",,London,"SW1H 0TL",England,,,"GOF and call off terms full_Redacted v2_Redacted_Part1.pdf ",,,02/05/2017,30/04/2022,01/05/2017,NO,,No,Yes,No,Services,26984439,26984439,01/05/2017,26984439,"[Daisy Communications Ltd|Daisy House, Lindred Road Business Park, Nelson, Lancashire, BB9 5SR|||No|No]",,02/05/2017,30/04/2022,"Other ",
itt_COL_5687,Contract,"THE CITY OF LONDON",Awarded,2017-05-12T10:49:33Z,"Telephony Maintenance Services Mini-Comp via CCS Network Services Lot 3","This is  a new contract for the support (rather than replacement of the Mitel equipment). 

The Mitel support covers three organisations under the City of London Corporation umbrella:

City of London (CoLC)
City of London Police (CoLP)
The Barbican Centre",,,London,"50334100 ",,robert.pine@cityoflondon.gov.uk,"Guildhall, P O BOX 270",,London,"EC2P 2EJ",England,,,,,,10/05/2017,09/05/2018,11/04/2017,NO,,Yes,No,No,Services,137152,,12/04/2017,0,"[Daisy Communications Ltd|Daisy House, 
Lindred Road Business Park  
Nelson  
Lancashire  
BB9 5SR|||No|No]",,10/05/2017,11/05/2018,"NotSpecified ",
AC/HE/01/16,Contract,"English Heritage",Awarded,2016-09-30T10:49:34Z,"Backup Services","Backup hosting of Historic England Servers and connection to Wide Area Network, including moving of services from current location.",,,"Any region","72000000 ",,Procurement@historicengland.org.uk,"The Engine House","Firefly Avenue",Swindon,"SN2 2EH",England,,,,,,01/01/2017,31/12/2017,23/09/2016,NO,,Yes,No,No,Services,40000,,27/09/2016,40000,"[Daisy Communications Ltd|Daisy House, Lindred Road Business Park, Nelson, Lancashire, BB9 5SR.|||No|No]",,01/01/2017,31/12/2017,"Other ",
TNA22,Contract,"The National Archives",Awarded,2015-07-29T09:43:20Z,"Aastra MX-One PBX Support and Maintenance","Aastra MX-0ne PBX support and maintenance agreement.",,"TW9 4DU",London,"48000000 ",,procurement@nationalarchives.gsi.gov.uk,Kew,,Richmond,"TW9 4DU",England,,,,,,18/07/2015,17/07/2016,09/07/2015,NO,,Yes,No,No,Services,20981,,09/07/2015,20981,"[Daisy Communications Ltd.|Lindred Road Business Park, Nelson, Lancashire, BB9 5SR|||No|No]",,18/07/2015,17/07/2016,"Other ",
CA18/51079,Contract,"The Coal Authority",Awarded,2015-06-02T13:52:44Z,"Provision of ISDN 30 into site and outgoing calls","Provision of ISDN 30 into site and outgoing calls.  Published for transparency purposes only, procured via CCS Framework RM1053",,"NG18 4RG","East Midlands","64200000 ",,procurement@coal.gov.uk,"200 Lichfield Lane","Berry Hill","Mansfield / Nottinghamshire","NG18 4RG",England,,,"51079 ISDN Quote.pdf 51079 ISDN P Order.pdf ",,"Published for transparency purposes only, requirement procured via CCS Framework RM1053 ",01/04/2015,31/03/2016,19/03/2015,NO,,No,No,No,NotApplicable,13008,,25/03/2015,13008,"[Daisy Communications Ltd|Daisy House
Linfred Road Business Park
Nelson
Lancashire
BB9 5SR|||No|No]",,01/04/2015,31/03/2016,"NotApplicable ",
RM1045,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-11-20T17:46:57Z,"RM1045 Network Services","Crown Commercial Service (the Contracting Authority) has put in place a pan Government Agreement for mechanisms to access and gain connectivity and telecommunication services including services over the
Public Services Network (PSN) for use by or on behalf of the UK public sector bodies listed at VI.3 of the Contract Notice (and any future successors to these organisations).

The listed public sector bodies have a need for the provision of connectivity, telecommunications and other services, including PSN compliant services and non PSN compliant services, to facilitate inter-organisational collaboration through secure communication, interoperability and sharing of information.

This Framework Agreement addresses this need by facilitating the provision of innovative connectivity and telecommunications and other services for the UK public sector as a whole. The services available under the Framework Agreement include data access services; local connectivity services; traditional telephony services; inbound telephony services; IP-telephony solutions; mobile, voice and data services; paging services; video conferencing; audio conferencing; and integrated communications services. Including, but not limited to, networks, Wi-Fi, gateways & related services; voice lines and minute bundles; mobile services including voice and data, pager services; email services; internet service provision, content filtering services and intruder detection systems; communication services including video and audio conferencing services, and unified communications; call centre services; and associated supporting services including but not limited to security, information assurance, design/build/operate consultancy, acquisition, technology audit and site surveys; and other services as described in the Contract Notice (provided as an attachment); the Framework Agreement; the Call Off Terms; and the Call Off Order Form .

The Framework Agreement is suitable for the provision of services that are PSN compliant; and also for the provision of services at lower security levels; or that do not require PSN compliance.

The services are required to be provided primarily to the UK, although the Framework Agreement may also be used by UK contracting authorities to service their overseas sites. The Contracting Authority considers that this Procurement may be suitable for economic operators that are Small or Medium Enterprises (SMEs). No weight was attached to whether or not an economic operator was an SME when assessing the most economically advantageous tender.

The Framework Agreement will have an initial term of two (2) years with the option to extend by two further terms of up to one (1) year each. 

Electronic auctions may be employed by Contracting Bodies using the Framework Agreement.

Any stated contract values are merely estimates  of likely business.  We have not guaranteed any level of business under this Framework Agreement.",,,"Any region","64200000 ","The Minister for the Cabinet Office acting through Crown Commerc",supplier@crowncommercial.gov.uk,"9th Floor, The Capital, Old Hall Street",,Liverpool,"L3 9PP",England,,,"Network Services - Contract Notice - 359946.pdf RM1045 Network Services Description of Lots FINAL.docx RM1045 Network Services Template Call Off Term V1 REDACTED (4).pdf RM1045 Network Services   REDACTED Framework Agreement FINAL.pdf Network Services - Award Notice - 303421 (1).pdf ",,,27/07/2015,26/07/2017,19/02/2015,NO,,Yes,No,No,Services,100000000,2000000000,26/07/2015,100000000,"[Virgin Media Business Ltd|Media House, Bartley Wood Business Park Bartley Way, RG27 9UP Hook
UNITED KINGDOM|||No|No][KCOM GROUP PLC|37 Carr Lane,
HU1 3RE Hull UNITED KINGDOM|||No|No][Exponential-e Ltd|100 Leman Street, E1 8EU London UNITED KINGDOM|||No|No][UPDATA INFRASTRUCTURE (U K) LTD|17 Rochester Row
SW1 1PT London
UNITED KINGDOM|||No|No][Total Care and support Ltd|Unit 28, Time Technology Park, Blackburn Road, Burnley, Lancashire BB12 7TW Burnley
UNITED KINGDOM|||No|No][Colt Technology Services|Beaufort House, 15 St Botolph Street, EC3A7QN London
UNITED KINGDOM|||No|No][MLL TELECOM LTD|Jubilee House Third Avenue, Globe Park, SL7 1EY Marlow
UNITED KINGDOM|||No|No][Eircom UK Ltd|Forsyth House, Cromac Square, BT2 8LA Belfast
UNITED KINGDOM|||No|No][Daisy Communications Ltd|Daisy House, Lindred Road Business Park, BB9 5SR Nelson
UNITED KINGDOM|||No|No][AZZURRI COMMUNICATIONS LTD|Azzurri House, Walsall Business Park, Walsall Road, Aldridge WS9 0RB Birmingham
UNITED KINGDOM|||No|No][BRITISH TELECOMMUNICATIONS PLC|BT Centre, 81 Newgate St,
EC1A 7AJ London
￼￼￼UNITED KINGDOM|||No|No][Thales UK Ltd|2 DASHWOOD LANG ROAD, THE BOURNE BUSINESS PARK, ADDLESTONE, KT15 2NX WEYBRIDGE
UNITED KINGDOM|||No|No][The Networking People North West Ltd|Infolab21, Lancaster University
LA1 4WA Lancaster
￼￼￼UNITED KINGDOM|||No|No][HighSpeed Office Ltd|Ground Floor, 50 Leman Street, London E1 8HQ E1 8HQ London
UNITED KINGDOM|||No|No][Easynet Managed Services Ltd|St James House, Oldbury Bracknell, RG12 8TH Berkshire
UNITED KINGDOM|||No|No][EE Ltd|Trident Place, Mosquito Way, AL10 9BW Hatfield, UNITED KINGDOM|||No|No][VODAFONE LTD|Vodafone House, The Connection, Newbury, RG14 2FN Newbury
UNITED KINGDOM|||No|No][Datrix|29 Boundary Street, E2 7JQ London UNITED KINGDOM|||No|No][LOGICALIS LTD|110 Buckingham Avenue SL1 4PF Slough UNITED KINGDOM|||No|No][AdEPT Telecom PLC|77 Mount Ephraim,
TN4 8BS Tunbridge Wells UNITED KINGDOM|||No|No][Maintel|61 Webber Street, SE1 0RF London UNITED KINGDOM|||No|No][Telent Technology Services Ltd|Point 3, Haywood Road CV34 5AH Warwick UNITED KINGDOM|||No|No][Pinacl Solutions UK Ltd|Perseus House, Carlton Court, St Asaph Business Park, LL17 0JG St Asaph
UNITED KINGDOM|||No|No][UK Broadband Limited|20-22 Bedford Row WC1R 4JS London UNITED KINGDOM|||No|No][Gamma Telecom Ltd|5 Fleet Place, EC4M 7RD London UNITED KINGDOM|||No|No][FREEDOM COMMUNICATIONS UK LTD|Olds Approach. Tolpits Lane.
WD18 9RX Watford
￼￼￼UNITED KINGDOM|||No|No][Ideal Networks Limited|8 Arundel Place, BN2 1GD Brighton UNITED KINGDOM|||No|No][Unify Enterprise Communications Ltd|Brickhill Street, Willen Lake MK15 0DJ Milton Keynes UNITED KINGDOM|||No|No][Kelway Ltd|10 Fleet Place, EC4M 7RB London UNITED KINGDOM|||No|No][ICOM HOLDINGS LTD|2 M Trade Park, Beddow way, ME20 7BT Aylesford UNITED KINGDOM|||No|No][Netconnection Systems Ltd|Stephenson House 2 Cherry Orchard Road, CR0 6BA Croydon
UNITED KINGDOM|||No|No][Pervasive Networks Ltd|Rivergate House, Newbury Business Park, London Road, RG14 2PZ Newbury
UNITED KINGDOM|||No|No][Centiant International Limited|Hampshire International Business, Chineham, RG24 8GQ Basingstoke
UNITED KINGDOM|||No|No][Block Solutions Ltd|4a-14b Shepherdess Walk, N1 7LB London
UNITED KINGDOM|||No|No][Specialist Computer Centres Plc|James House, Warwick Road, Tyseley, B11 2LE Birmingham
UNITED KINGDOM|||No|No][AVAYA LTD|Avaya House, Cathedral Hill, GU2 7YL Guildford UNITED KINGDOM|||No|No][DIMENSION DATA COMMUNICATIONS UK LTD|Dimension Data House, Building 2, Waterfront Business Park Fleet Road
GU51 3QT Fleet
￼￼￼UNITED KINGDOM|||No|No][NG Bailey IT Services Ltd|3rd Floor, The Angel Building, 407 St. John Street, EC1V 4AB London
UNITED KINGDOM|||No|No][Level 3 Communications UK Limited|7th Floor, 10 Fleet Place
EC4M 7RB London
UNITED KINGDOM|||No|No][Exchange Communications Limited|EXCHANGE HOUSE, 11-17 KERR STREET, KIRKINTILLOCH G66 1LF GLASGOW
UNITED KINGDOM|||No|No][Digital Communication Systems Limited|7-8 Benton Terrace, Sandyford Road, Jesmond,
NE2 1QU Newcastle upon Tyne
￼￼￼UNITED KINGDOM|||No|No][Fujitsu Services Limited|22 Baker Street, W1U 3BW London UNITED KINGDOM|||No|No][Netcall Telecom Limited|Hamilton House, 111 Marlowes, HP1 1BB Hemel Hempstead UNITED KINGDOM|||No|No][Telefónica UK Limited|260 Bath Road, SL1 4DX Slough UNITED KINGDOM|||No|No][Verizon UK Limited|Reading International Business Park Basingstoke Road RG2 6DA Reading
UNITED KINGDOM|||No|No][TalkTalk Communications Ltd|Stanford House, Garrett Field,
WA3 7BH Warrington
UNITED KINGDOM|||No|No][Alternative Networks Plc|Chatfield Court, 56 Chatfield Road, SW11 3UL London
UNITED KINGDOM|||No|No][Intrinsic Technology Limited|18 The Parks, WA12 0JQ Haydock UNITED KINGDOM|||No|No][4net Technologies Ltd|Scholar Green Road, Cobra Court, M32 0TR Manchester
UNITED KINGDOM|||No|No][Foehn Limited|Goodwin House, 5 Union Court, TW9 1AA. Richmond
UNITED KINGDOM|||No|No][Airwave Solutions Limited|Charter Court, 50 Windsor Road, SL1 2EJ SLOUGH
UNITED KINGDOM|||No|No][Atos IT Services UK Ltd|4 Triton Square, Regent's Place NW1 3HG London
UNITED KINGDOM|||No|No][Airbus DS Limited|Quadrant House, Celtic Springs, Coedkernew, NP10 8FZ Newport
UNITED KINGDOM|||No|No][Ascom UK Ltd|Enterprise Drive, Aldridge Road, B74 2DY Streetly
UNITED KINGDOM|||No|No][PageOne Communications Limited|17 Rochester Row SW1P 1QT London UNITED KINGDOM|||No|No][XMA Limited|44 Wilford Industrial Estate Ruddington Lane, Wilford NG11 7EP Nottingham
UNITED KINGDOM|||No|No][Softcat Limited|Solar House, Fieldhouse Lane, SL7 1LW Marlow
UNITED KINGDOM|||No|No][Outsourcery Hosting Ltd|4th Floor, 10 Whitfield Street, W1T 2RE London
UNITED KINGDOM|||No|No][Voicenet Solutions Limited|T/A 8x8 Solutions Oxford House Bell Business Pk, Smeaton Close, HP19 8JR Aylesbury
UNITED KINGDOM|||No|No]",,27/07/2015,26/07/2017,"Open ",
17-1256Q-LR,Contract,"ST HELENS & KNOWSLEY TEACHING HOSPITALS NHS TRUST",Awarded,2017-11-09T14:25:49Z,"Cisco Telephones","Cisco 7821 UC telephones x 1207",,,"North West","32552100 ","Lynne Redmond",lynne.redmond@sthk.nhs.uk,"Nightingale House","Whiston Hospital",Liverpool,"L35 5DR",England,"0151 478 7689",,,,,19/09/2017,20/09/2017,18/09/2017,NO,,Yes,No,No,Products,98913.65,124321,18/09/2017,98913.65,"[BT||||No|No][Daisy Communications Ltd||||No|No][Telent Technology||||No|No][Updata Infrastructure||||No|No][Virgin Media Business||||No|No]",,19/09/2017,20/09/2017,"CallOffFromFrameworkAgreement ",
