"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
YORKCITY001-DN458090-12602753,Contract,"City of York Council",Awarded,2020-01-28T10:05:53Z,"The Provision of Heritage Consultancy, Conservation Engineering and Conservation Architecture Services For York City Walls","The Authority wishes to award a contract, or two separate contracts, for the provision of Heritage Consultancy
KNOWS001-DN427913-32363606,Contract,"Knowsley Council",Awarded,2019-11-18T11:49:49Z,"Condition Surveys and Options Analysis for 34 Church Street and 8-14 Kemble Street, Prescot","CONDITION SURVEYS AND OPTIONS ANALYSIS FOR 34 CHURCH STREET AND 8-14 KEMBLE STREET, PRESCOT",,,"North West","71315200 ","Catherine Bacon",catherine.bacon@knowsley.gov.uk,"2nd Floor, Municipal Building","Archway Road",Huyton,"L36 9YU",England,,http://www.knowsley.gov.uk,,,,14/11/2019,13/05/2020,23/09/2019,NO,,Yes,Yes,No,Services,27399,,13/11/2019,27399.9,"[Donald Insall Associates Ltd.|12 Devonshire Street, London, W1G 7AB|NONE||Yes|No]",,14/11/2019,13/05/2020,"Other ",
"C/REF EH 00001123",Contract,"English Heritage",Awarded,2019-07-09T11:08:25Z,"Furness Abbey - Stabilisation of the Presbytery and West Tower - architect Appointment","Architecture and Principal Designer services relating to design of conservation repairs to the Stabilisation of the Presbytery and West Tower at Furness Abbey.",,,"Any region","71200000 ","Robert Youe",robert.youe@english-heritage.org.uk,"1 Waterhouse Square, 138 Holborn",,LONDON,EC1N2ST,England,01793414950,,,,,07/06/2019,01/07/2020,06/06/2019,NO,,Yes,No,No,Services,27514,,06/06/2019,27514,"[Donald Insall Associates|Bridgegate House
5 Bridge Place
Chester
CH1 1SA|NONE||Yes|No]",,07/06/2019,01/07/2020,"SingleTenderActionNonOJEU ",
ROCH001-DN370451-22608901,Contract,"Rochdale Metropolitan Borough Council",Awarded,2019-03-04T11:22:31Z,"Conservation Architect, Principal Designer for Rochdale Town Hall HLF project","Conservation Architect, Principal Designer for Rochdale Town Hall HLF project. To access the opportunity please click on this link provided: https://procontract.due-north.com/Advert?advertId=1854e5a0-c0dd-e811-80ef-005056b64545&p=e0cc5631-4690-e511-80fb-000c29c9ba21",,,"North West","71000000 ","Robyn Gwilym",robyn.gwilym@star-procurement.gov.uk,"Number 1 Riverside","Smith Street",Rochdale,"OL16 1XU","United Kingdom","+44 7773578363",http://www.rochdale.gov.uk/,,,,01/01/2019,01/12/2023,30/11/2018,NO,,Yes,Yes,No,Services,181000,3000000,23/02/2019,1102775,"[Donald Insall Associates Ltd|CH1 1SA|NONE||Yes|No]","Mr Ian Doak",01/03/2019,01/03/2024,"Open ",
358,Contract,"Uttlesford District Council",Awarded,2018-11-20T14:39:48Z,"Consultant Full Heritage Assessment","Undertake a Full Heritage Impact Assessment for three key sites namely North Uttlesford Garden Community, Easton Park and West Braintree Garden Community. The work will address representations form Historic England  to the local plan.",,"CB11 4ER",,"73210000 ","Ann-Marie Childs",achilds@uttlesford.gov.uk,"Council Offices",,"Saffron Walden",CB114ER,England,"01799 510562",,,,,02/02/2018,02/04/2018,31/01/2018,NO,,Yes,No,No,Services,30000,,31/01/2018,30000,"[Donald Insall Associated Ltd|2 Devonshire Street,
London
W1G 7AB|NONE||Yes|No]",,02/02/2018,02/04/2018,"CompetitiveQuotationNonOJEU ",
"SEBC/0155/2017 - AWARD",Contract,"Suffolk Sourcing",Awarded,2018-03-19T15:57:44Z,"TENDER STAGE - ARCHITECTURAL SERVICES, 17-18 CORNHILL, BURY ST EDMUNDS, SUFFOLK - AWARD","TENDER STAGE - ARCHITECTURAL SERVICES, 17-18 CORNHILL, BURY ST EDMUNDS, SUFFOLK",,"IP33 3YU","East of England","71000000 ","Zia Quader",zia.quader@westsuffolk.gov.uk,"Western Way","Bury St Edmunds",Suffolk,"IP33 3YU","United Kingdom","+44 1284757310",http://www.westsuffolk.gov.uk/Business/Selling_to_the_Council/index.cfm,,,,30/01/2018,29/01/2023,08/01/2018,NO,,Yes,No,No,Services,0,,19/01/2018,33901,"[Donald Insall Associates|48 Sidney Street, Cambridge, Cambridgeshire, United Kingdom, CB2 3HX|NONE||No|No]","Elaine Taylor",30/01/2018,29/01/2023,"Open ",
"MRB001 - AWARD",Contract,"Birmingham City Council",Awarded,2018-03-05T15:58:50Z,"MRB001 - Architectural and Professional Services for the Roof Repair for Moseley Road Baths Gala Pool - AWARD","Birmingham City Council requires a supplier for the provision of the architectural and professional services for the roof repair works at Moseley Road Baths, Birmingham.
      
      This contract will commence in February 2018 with work expected to be completed by September 2018.
      
      The purpose of the project is for the architectural and professional services the urgent repair of the Gala Pool roof of Moseley Road Baths - a Grade II* listed swimming baths in Balsall Heath, Birmingham. The Council seeks architects to develop a specification for the gala pool roof (including any necessary survey work), secure the necessary approvals, carry out procurement activity and manage contractors. 
      
      The commission will commence a phased re-roofing programme which will eventually result in the re-roofing and external fabric repair of the whole building. Therefore in addition an intrusive survey of the wider roof and supporting structure and the development of a prioritised and costed programme of repair to the exterior of Moseley Road Baths is also required
      
      BCC will be using its e-tendering system (in-tend) for the administration of this procurement process and providers must register with the system to be able to express an interest.  The web address is: https://in-tendhost.co.uk/birminghamcc   
      
      Registration and use of In-tend is free. All correspondence for this procurement process must be via the In-tend correspondence function. If you are unable to register with In-tend please either email cps@birmingham.gov.uk or call 0121 464 8000. 
      
      If you are interested in tendering please click on the following link to access Birmingham City Councils tender Portal: https://in-tendhost.co.uk/birminghamcc/ and submit your details to register as a bidder. We will send you a log on and password so you can download the tender documentation. Requests to participate must be by way of completion and return of the tender documentation no later than 17:00 hours on 12th February 2018 using the Supplier Portal.",,"B4 7DJ","West Midlands","45212350 71222000 71223000 45261910 45261920 45260000 45261900 71210000 71221000 71251000 71200000 71000000 45212212 71220000 71250000 71240000 ","Charlie Short",charlie.short@birmingham.gov.uk,"1 Lancaster Circus",Birmingham,"West Midlands","B4 7DJ","United Kingdom","0121 464 0099",,,,,20/02/2018,30/09/2018,12/02/2018,NO,,No,No,No,Services,0,,19/02/2018,0,"[Donald Insall Associates|Bridgegate House, 5 Bridge Place, Chester, Cheshire, United Kingdom, CH1 1SA|NONE||No|No]","Pippa Glover",20/02/2018,30/09/2018,"Open ",
"P/REF 00000662",Contract,"HISTORIC ENGLAND LIMITED",Awarded,2017-11-06T15:49:41Z,"Wentworth Woodhouse - Conservation Accredited Architect","Architectural services for substantive repair to the House, Stable Block and Riding School at Wentworth Woodhouse, Rotherham, South Yorkshire. Phase I will cover the repair of the roofs of the South-East Wing (Bedlam) and the Riding School. Phase II will focus upon the repair of the centre of the East Front (central nineteen bays), Chapel, Oak Staircase and Grand Staircase. This will include the additional following services: Principal Designer, Structural Engineer, Ecologist, Timber Adviser, Fire Adviser and Archaeologist.

The Client for this Procurement is the Woodhouse Wentworth Preservation Trust but the Procurement Exercise will be managed by Historic England on behalf of the Trust.",,,"Yorkshire and the Humber","45212350 ",,Procurement@historicengland.org.uk,"The Engine House","Firefly Avenue",Swindon,"SN2 2EH",England,,,,,,23/08/2017,31/08/2020,25/07/2017,NO,,Yes,No,No,Services,335381,,01/09/2017,335381,"[Donald Insall Associates|12 Devonshire Street, London, W1G 7AB|||Yes|No]",,04/09/2017,31/03/2020,"RestrictedOJEU ",
IWM/DCM/1544,Contract,"IMPERIAL WAR MUSEUM TRADING COMPANY LIMITED",Awarded,2016-07-22T14:00:08Z,"HMS Belfast Conservation Condition Survey","IWM is looking to appoint an experienced service provider to undertake a conservation condition survey of HMS Belfast, located in the Pool of London, with a postal address of: Queen’s Walk, London SE1 2JH.

The purpose of this survey is to help further the project conservation management plan and sustainable commercial and interpretive strategies being developed for the long-term preservation of the Ship.",,"SE1 2JH",London,"71730000 71631000 ","Simon Bourne",sbourne@iwm.org.uk,"Imperial War Museums","Lambeth Road",London,"SE1 6HZ",England,"020 7416 5257",,"Q&A Sheet 1 10Aug16.docx 01 Deck .dwg 2 Deck.dwg 4 Deck.dwg 3Deck.dwg 03 Deck.dwg 02 Deck.dwg ITTletter.doc 5 Deck.dwg 04 Deck.dwg HMSB_Condition_Survey_template3.xlsx FinalTenderDocument.doc 1 Deck.dwg ",,,19/09/2016,30/05/2017,19/08/2016,NO,,Yes,No,No,NotApplicable,50000,85000,05/09/2016,51204,"[Donald Insall Associates|12 Devonshire Street
London
W1G 7AB|||No|No]",,19/09/2016,20/12/2016,"NotApplicable ",
"GLA 80868 ADUP Framework",Contract,"TRANSPORT FOR LONDON",Awarded,2018-06-08T11:56:51Z,"GLA 80868 ADUP Framework","Multi lot Architectural Design Urban Panel Framework",,,London,"71000000 ",,CommercialCoE@TfL.gov.uk,"City Hall, The Queen's Walk,",,London,"SE1 2AA",England,,,"GLA80868 - ADUP 2 Framework redacted.pdf ",,,27/03/2018,31/03/2022,26/03/2018,NO,,No,No,No,Services,35000000,35000000,26/03/2018,35000000,"[5th Studio Ltd|Darkroom, Unit 8 Dale's Brewery, Gwydir Street,Cambridge, CB1 2LJ|NONE||No|No][6a Architects|Rapier House, 40 - 46 Lamb's Conduit Street, London, WC1N 3LJ|NONE||No|No][Acanthus Architects LW|Voysey House,Barley Mow Passage,Chiswick London W4 4PN|NONE||No|No][ADAM  Khan Architecture|New Derwent House, 69-73 Theobalds Road, London, WC1X 8TA|NONE||No|No][Adams and Sutherland|1k Highgate Business Centre, 33 Greenwood Place, London NW5 1lb|NONE||No|No][AECOM Infrastructure and Environment UK Limited|St George's House, 5 St George's Road, London SW19 4DR|NONE||No|No][Alan Baxter Limited|75 Cowcross Street, London EC1M 6EL|NONE||No|No][Allford Hall Monaghan Morris|Morelands, 5 - 23 Old Street, London, EC1V 9HL|NONE||No|No][Allies and Morrison LLP|85 Southwark Street, London, SE1 0HX|NONE||No|No][AOC Architecture Ltd|49 Columbia Road, London E2 7RG|NONE||No|No][Architecture 00 Ltd|109b Mare Street Studios, 203-213 Mare Street, Hackney, E8 3QE|NONE||No|No][AREP AND EXPEDITION|16 avenue d'lvry 75647 Paris Cedex 13, France|NONE||No|No][Ash Sakula Architects|6 Doughty Mews, London WC1N 2PG|NONE||No|No][Atkins Ltd|Woodcote Grove, Ashley Road, Epsom, Surrey, KT18 5BW|NONE||No|No][Avanti Architects|361-373 City Road London EC1V 1AS|NONE||No|No][Baxter and Bailey|The Colour Rooms, 12 Richmond Parade, Brighton, BN2 9QD|NONE||No|No][Benedetti Architects|34-35 Hatton Garden, London, EC1N 8DX|NONE||No|No][Bob Design|77 White Lion Street,London, N1 9PF|NONE||No|No][Carl Turner Architecture Ltd|75 Kenton Street, London, WC1N 1NN|NONE||No|No][Carmody Groarke|Accounts Action - Ground Floor, Southon House, Station Approach, Edenbridge, Kent, TN8 5LP|NONE||No|No][CarverHaggard|Kingsridge House, 601 London Road, Westcliff-On-Sea, Essex,SS0 9PE|NONE||No|No][Dallas-Pierce-Quintero|11 Charnock Road, London E5 8DP|NONE||No|No][DK-CM Limited|2b Haddo Street, 
London, SE10 9RN|NONE||No|No][Donald Insall Associates|12 Devonshire Street, London, W1G 7AB|NONE||No|No][DRDH Architects|New Derwent House
69-73 Theobalds Road
London
WC1X 8TA|NONE||No|No][dRMM Architects|Magdalen House, 136-148
Tooley Street, London, SE1 2TU.|NONE||No|No][DSDHA|75 Cowcross Street, London EC1M 6EL|NONE||No|No][Duggan Morris Architects Ltd|Howard Frank Ltd
Turnberry House
1404-1410 high road
Whetstone
London N20 9BH|NONE||No|No][East Architecture landscape urban design|c/o Westbury Accountants
2nd Floor
145/157 St John Street
London EC1V 4PY|NONE||No|No][Emergent Vernacular Architecture Ltd|Swan Wharf,60 Dace Road,London E3 2NQ,|NONE||No|No][EPR Architects Ltd|30 Millbank,London, SW1P 4DU|NONE||No|No][Europa|Unit 25, Sara Lane Studioes, 60
Stanway Street, London N1 6RE|NONE||No|No][Farrells (London) LLP|7 Hatton Street, NW8 8PL|NONE||No|No][Farrells (London) LLP|7 Hatton Street, NW8 8PL|NONE||No|No][Feilden Clegg Bradley Studios|Bath Brewery, Toll Bridge Road, Bath BA1 7DE|NONE||No|No][Feilden Clegg Bradley Studios|Bath Brewery, Toll Bridge Road, Bath BA1 7DE|NONE||No|No][Feilden Fowles Architects|Kemp House, 152/160 City Road, London, EC1V 2DW|NONE||No|No][Fereday Pollard Architects|30 King's Bench Street, London
SE1 0QX|NONE||No|No][Fletcher Priest Architects|Middlesex House, 34/42 Cleveland Street, London Wit 4JE|NONE||No|No][Foster + Partners|Riverside, 22 Hester Rd, London SW11 4AN|NONE||No|No][Foster + Partners|Riverside, 22 Hester Rd, London SW11 4AN|NONE||No|No][Gensler Europe Ltd|Thomas More Square, London, E1W 1YW|NONE||No|No][Giles Quarme and Associates|7 Bishops Terrace, London SE11 4UE|NONE||No|No][Gort Scott|18 Ashwin Street, London, E8 3DL|NONE||No|No][Grimshaw Architects LLP|57 CLERKENWELL ROAD, LONDON,
EC1M 5NG|NONE||No|No][Hans van der Heijden Architect aka HVDH|Strekkerweg 75 - unit 1.03, 1033 DA Amsterdam, Netherlands|NONE||No|No][HAT PROJECTS|1a Mercantile House,
Sir Isaac's Walk,
Colchester, Essex. CO1 1JJ|NONE||No|No][Hawkins\Brown|159 St John Street, London EC1V 4QJ|NONE||No|No][Haworth Tompkins|33 Greenwood Place, London NW5 1LB|NONE||No|No][Henley Halebrown Rorrison (aka HHBR)|21 Perseverance Works
38 Kingsland Road
London
E2 8DD|NONE||No|No][HOK International Limited|Qube, 90 Whitfield Street
London
W1T 4EZ|NONE||No|No][J L Gibbons|66 Lincoln's Inn Fields London WC2A 3LH|NONE||No|No][Jacobs Engineering UK Ltd|66 Lincoln's Inn Fields London WC2A 3LH|NONE||No|No][Karakusevic Carson Architects|Unit E03 The Biscuit Factory,
100 Clements Road, London SE16 4DG|NONE||No|No][Kinnear Landscape Architects Limited|3rd Floor West
1-­3 Coate Street
London E2 9AG|NONE||No|No][Landolt and Brown Ltd|13.2.2 Leathermarket, Weston
Street, London, SE1 3ER, United
Kingdom|NONE||No|No][LDA Design|17 Minster Precincts, Peterborough, Cambridgeshire PE1 1XX|NONE||No|No][Levitt Bernstein Associates Limited|1 Kingsland Passage, London E8 2BB|NONE||No|No][1 Kingsland Passage, London E8 2BB|30 City Road,London EC1Y 2AB|NONE||No|No][Lyndon Goode Architects Ltd|5 Westow Hill, 
London SE19 1TX|NONE||No|No][Maccreanor Lavington|77 Bastwick Street, London EC1V 3PZ|NONE||No|No][MAE LLP|1 Naoroji Street
London
WC1X 0GB|NONE||No|No][Matter Architecture|20 Bunhill Row, 
London EC1Y 8UE|NONE||No|No][Mikhail Riches|The Windsor Centre, 15-29 Windsor Street,      London, 1 8QQ|NONE||No|No][muf architecture/art|72 - 74 Mare Street, London E8 4RT|NONE||No|No][Objectif (1)|9a Peacock Yard
 Iliffe Street
 London SE17 3LH|NONE||No|No][Ove Arup and Partners Ltd|13 Fitzroy Street
London W1T 4BQ|NONE||No|No][Pidgin Perfect|3 Ross Street
The Barras
Glasgow
G1 5AR|NONE||No|No][PLP Architecture|Ibex House
42 -47 Minories
London EC3N 1DY|NONE||No|No][Pringle Richards Sharratt Ltd|Studio 2.11, Canterbury Court,
Kennington Park, 
1 BrixtonRoad, London, SW9 6DE|NONE||No|No][Public Works LTD|Studio 4, The White Building,Unit 7 Queens Yard, 43 White Post Lane London, E9 5EN|NONE||No|No][Publica Associates|7th Floor 3 Finsbury Avenue
London EC2M 2PA|NONE||No|No][RCKa|Thames House 
3 Wellington Street
London SE18 6NY|NONE||No|No][Robin Lee Architecture LLP|71 Queensway, 
London W1 4QH|NONE||No|No][Sarah Wigglesworth Architects|10 Stock Orchard Street
London N7 9RW|NONE||No|No][Skidmore Owings and Merrill Inc|Suite 1000, The Santa Fe Building,
224 South Michigan Avenue,
Chicago, Illinois 60604, United States.|NONE||No|No][Stanton Williams Ltd|36 Graham Street
London N1 8GJ|NONE||No|No][Steer Davies Gleave|28-32 Upper Ground, London SE1 9PD|NONE||No|No][Stephen Taylor Architects|16B North End Road,
Golders Green,
London NW11 7PH|NONE||No|No][Stitch Studio Ltd|Kings Lodge, 
London Road, 
West Kingsdown, Sevenoaks, 
Kent TN15 6AR|NONE||No|No][Studio TILT|Unit 202
203-213 Mare Street
London E8 3QE|NONE||No|No][Studio Weave|11 Derby Court 
2 Overbury Street
London E5 0TE|NONE||No|No][Sustrans|2 Cathedral Square College Green, Bristol BS1 5DD|NONE||No|No][TateHindle|1 Lindsey Street, London,
EC1A 9HP|NONE||No|No][The Decorators|The Decorators
445 Hackney Road
3rd Floor, Unit 0
London E2 9DY|NONE||No|No][The Klassnik Corporation Ltd|165 Caledonian Road,
London N1 0SL|NONE||No|No][Uniform  Communications Ltd|Link 19, 9-19 Bold Street, Liverpool L1 4DN|NONE||No|No][Uniform  Communications Ltd|Link 19, 9-19 Bold Street, Liverpool L1 4DN|NONE||No|No][Urban Movement|22 Bedford Square, London WC1B 3HH|NONE||No|No][Urban Movement|22 Bedford Square, London WC1B 3HH|NONE||No|No][Wagstaff (2)|Brigham House, High Street, Biggles ,Wade, SG18 0LD|NONE||No|No][We Made That LLP|6a St Andrews Court,
Thame, OX9 3WT|NONE||No|No][Weston Williamson + Partners|12 Valentine Place , London, SE1 8QH|NONE||No|No][What if: projects Ltd|39 Cropley Street,
London N1 7HT|NONE||No|No][WilkinsonEyre|33 Bowling Green Lane
London EC1R 0BJ|NONE||No|No]",,27/03/2018,31/03/2022,"RestrictedOJEU ",
"FWK1098 - AWARD",Contract,"Parliament UK",Awarded,2019-11-19T15:18:40Z,"FWK1098-Building Surveying Framework  - AWARD","Established in June 2016, Strategic Estates [SE] deliver capital investment in the Parliamentary Estate. Comprising 27 buildings and with a total gross internal area of over 250,000m2, 70% of the Estate is listed and two buildings are Grade 1 listed (buildings of exceptional interest): The Palace of Westminster; Norman Shaw North. As part of an initiative to improve the efficiency and effectiveness of Strategic Estate service provision to Parliament, the Contracting Authority intends to establish a framework agreement with three suppliers through which to secure building surveying services.
      
      The Corporate Officer of the House of Lords and the Corporate Officer of the House of Commons acting jointly of the Houses of Parliament, London, SW1A 0AA are intending to establish a framework agreement for building surveying services ['the Services'] with three suppliers to support Strategic Estates in its mission to create an environment within which Parliament can flourish. It is envisaged that building surveying service provision will be an 'estate wide' offering supporting work in our Project Delivery; Maintenance and Design Authority Functions. It is envisaged that the Services will primarily be used to support Strategic Estate 'Business as Usual' projects with construction values typically ranging from 25k GBP to 3M GBP. Services will include but not be limited to demands on the following building surveying competencies: design and specification; conservation and heritage; building and measured surveys; commercial management of construction; asset management (including workspace planning) and maintenance management. The Services also encompass provision of underpinned estimates for minor works projects and / or remedial works; Building Information Modelling [BIM] management; undertaking of the role Principal Designer role under CDM 2015; provision of advice on Building Regulations and other statutory requirements as may apply to the Parliamentary Estate (and as may be required by the Authority); undertaking the role of NEC3 Project Manager / Supervisor for minor works contracts and securing and expediting specialist building services under what is envisaged to be a 'single point of responsibility' delivery model.",,"SW1A 0AA",London,"71251000 71250000 71315300 ","Parliamentary Procurement & Commercial Service",ppcs@parliament.uk,"7 Millbank",London,London,"SW1A 0AA","United Kingdom",02072191600,,,,,07/11/2019,06/11/2023,11/06/2018,NO,,Yes,No,No,Services,1000000,10000000,07/11/2019,0,"[AECOM|Aldgate Tower, 2 Leman Street, London, United Kingdom, E1 8FA|NONE||No|No][Donald Insall Associates Ltd|12 Devonshire Street, London, United Kingdom, W1G 7AB|NONE||No|No][Faithful+Gould|Nova North, 11 Bressenden pPlace, Westminster, London, United Kingdom, SW1E 5BY|NONE||No|No]","Buildings + Places (Tenders)",07/11/2019,06/11/2023,"Restricted ",
