"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"546569 - ARCO LTD",Contract,"DEPARTMENT OF HEALTH AND SOCIAL CARE",Awarded,2020-07-06T13:57:01Z,"Supply of Personal Protective Equipment for Healthcare Workers for the Care of Patients with Suspected or Confirmed Novel Coronavirus (COVID-19)","The Department of Health and Social Care (the ""Authority"") has awarded a contract to Arco Ltd for the supply of Personal Protective Equipment (hand sanitizer) to protect Health and Care workers from contracting the Covid 19 disease.",,,"United Kingdom","33741300 ","Department of Health and Social Care",Procurement.Operations@dhsc.gov.uk,"39 Victoria Street",,LONDON,"SW1H 0EU",England,"+44 2072104850",https://www.gov.uk/government/organisations/department-of-health-and-social-care,"Annex D1 - 546569.docx PO546569 Arco Ltd_Redacted.pdf ",,"Justification for the choice of the negotiated procedure without prior publication of a call for competition in accordance with Article 32:
Extreme urgency brought about by events unforeseeable for the contracting authority and in accordance with the strict conditions stated in the directive",07/05/2020,09/05/2020,06/05/2020,NO,,Yes,No,No,Products,1552500,,07/05/2020,1552500,"[Arco Ltd|P.o. Box 21, Waverley Street,
HU1 2SJ
GB|COMPANIES_HOUSE|00133804|No|No]",,07/05/2020,09/05/2020,"Other Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed in Annex D1",,17:00
NWAS/TR/03/19,Contract,"North West Ambulance Service N H S Trust",Awarded,2020-06-05T15:17:24Z,"FFP3 - Hoods (RPE)","The North West Ambulance Service NHS Trust has an urgent requirement to procure Personal Protective Equipment to safeguard their staff.",,,"North West","18143000 ",,procurement.supplies@nwas.nhs.uk,"Ladybridge Hall",,BOLTON,BL15DD,England,,,,,,12/03/2020,11/03/2021,09/03/2020,NO,,Yes,No,No,NotSpecified,0.01,,10/03/2020,0.01,"[Arco Limited|PO Box 21 Waverley Street Hull HU1 2SJ|NONE_OTHER||No|No]",,12/03/2020,11/03/2021,"CallOffFromFrameworkAgreement ",
PH/CORP/LCC/19/979,Contract,"Lancashire County Council",Awarded,2020-02-04T14:30:58Z,"LPS CORP - Supply of PPE (Personal Protection Equipment)","LCC is inviting tenders on the terms set out in the ITT for the supply and delivery of ""PPE (Personal Protection Equipment) "" throughout the area of Lancashire as required by the Specification.",,,"North West","18000000 35113400 ","Paul Horrocks",contractscorporate@lancashire.gov.uk,"3rd Floor, Christ Church Precinct, County Hall",,Preston,"PR1 8XJ",England,"01772 538038",,,"https://www.lancashire.gov.uk/iSupplier/ ","All Contracts will expire after 24 months. However there may be an extension period subject to the agreement of both LCC and the Supplier and contractual performance, by any number of defined periods provided that the total maximum duration of the Contract does not exceed four (4) years.",01/10/2020,31/12/2021,29/10/2019,YES,PH/CORP/LCC/19/979,Yes,No,No,Products,900000,,31/01/2020,900000,"[Arco Limited|PO Box 21
Waverley Street
Hull
|NONE_OTHER||No|No][Bunzl Greenham|Greenham House
671 London Road
Isleworth
TW7 4EX|NONE_OTHER||No|No]",,01/03/2020,28/02/2024,"OpenOJEU ",
"RM 3837",Contract,"Crown Commercial Service",Awarded,2019-06-12T10:17:01Z,"Construction Products, Consumables and Materials","Crown Commercial Service (CCS) as the Authority intends to put in place a commercial agreement for the provision of construction products, consumables and materials. The commercial agreement will be utilised by eligible Central Government Departments and all other UK Public Sector Bodies.

The agreement will be for the provision of supply, delivery and services of materials across a wide scope of construction products, consumables and materials, including but not limited to managed services, heavy and light side building materials, plumbing and heating, electrical, timber and joinery, workshop, industrial and electric tools and paint and solvents, flooring and tiling, small tools and plant hire services and personal protective equipment.",,,"Any region","44000000 ",,supplier@crowncommercial.gov.uk,"9th floor, The Capital, Old Hall Street",,Liverpool,"L3 9PP",England,"+44 3450103503",,"RM3837 Construction Products, Consumables and Materials Redacted Framework Agreement.docx RM3837 Supplier Contact Details.xlsx ",,,20/04/2019,18/10/2020,19/04/2019,NO,,Yes,No,No,Products,80000000,,19/04/2019,80000000,"[Arco Limited|PO Box 21
Waverley Street
Hull
HU1 2SJ|COMPANIES_HOUSE|133804|No|No]",,20/04/2019,18/10/2020,"OpenOJEU ",
"SR150113569 Lot 1",Contract,"H M Revenue & Customs",Awarded,2019-04-23T14:26:12Z,"PPE including Body Armour and Method of Entry, and Uniforms","General PPE and Uniforms, Call-off from RM3763 Lot 1",,,"Any region","18110000 ","Valerie Sharrocks",valerie.sharrocks@hmrc.gov.uk,"Ralli Quays, 5W, 3 Stanley Street",,Salford,"M60 9LA",England,03000587850,,"190418 RM3763_Call_off_order_form ARCO.docx 190228 Arco signature page.jpg ",,,17/02/2019,17/02/2021,16/01/2019,NO,,Yes,No,No,Products,300000,,04/02/2019,398780.3,"[Arco Ltd|PO Box 21
Waverley Steet
Hull
HU1 2SJ|COMPANIES_HOUSE|133804|No|No]",,17/02/2019,17/02/2021,"CallOffFromFrameworkAgreement ",
"SSP/03763/2 - Procurement of Tactical Hearing Protection, Boom Mics and Replacement Ear Pads",Contract,"Ministry Of Defence",Awarded,2019-01-09T10:23:39Z,"SSP/03763/2 - Procurement of Tactical Hearing Protection, Boom Mics and Replacement Ear Pads","Procurement of 2,000 Tactical Hearing Protection Head Sets, 2,000 Boom Mics and 1,000 replacement ear pads. Contract awarded off a Crown Commercial Services Framework (RM3763).",,,"Yorkshire and the Humber","18143000 ","Alex Potter",alex.potter108@mod.uk,"MOD Abbey Wood (South)","Stoke Gifford",Bristol,"BS34 8JT",England,,,"20181218 - SSP-03763-2 - Terms and Conditions.pdf ",,,04/01/2019,24/05/2019,05/12/2018,NO,,Yes,No,No,Products,881110,,18/12/2018,881110,"[Arco Limited|PO Box 21
Waverley Street
Hull
North Humberside
HU1 2SJ|COMPANIES_HOUSE|00133804|No|No]",,04/01/2019,24/05/2019,"CallOffFromFrameworkAgreement ",
DN374810,Contract,"Wakefield Council Customer Service",Awarded,2018-12-19T14:21:33Z,"PRINCIPAL BRIDGE INSPECTIONS 2018/19","To carry out Principal Inspections of 26 No. Structures including the organisation of safe access and traffic management and report production. The inspections shall be carried out in accordance with BD 63",,,"Yorkshire and the Humber","71310000 ","Brian Thomas",brianthomas@wakefield.gov.uk,"Wakefield One Po Box 700,Burton Street",,WAKEFIELD,WF12EB,England,"01924 306032",,,,"All documentation available from YORtender web site https://www.yortender.co.uk/ scheme reference no DN374810",17/12/2018,31/03/2019,23/11/2018,YES,DN374810,Yes,No,No,Services,28000,,14/12/2018,19594,"[ARCO PROFESSIONAL SAFETY SERVICES LIMITED|Eccleshall
STAFFORD
STAFFORDSHIRE
ST21 6JL
GB|COMPANIES_HOUSE|02712780|No|No]",,17/12/2018,31/03/2019,"OpenNonOJEU ",
CUM001-DN369640-16035523,Contract,"Cumbria County Council",Awarded,2018-11-19T13:02:29Z,"Supply and Delivery of Tools","Supply and Delivery of Tools to Highways Depots in Cumbria County Council",,,"North West","44510000 ","Clare Redpath",clare.redpath@cumbria.gov.uk,"Cumbria House","107 - 117 Botchergate",Carlisle,"CA1 1RZ","United Kingdom","+44 1228221746",http://www.cumbria.gov.uk/,,,,01/12/2018,30/11/2020,26/10/2018,NO,,Yes,No,No,Services,80000,80000,19/11/2018,80000,"[Arco Limited|HU1 2SJ|NONE||No|No]","Mr Mark Eames",01/12/2018,30/11/2020,"NotSpecified ",
tender_156018/725385,Contract,"The Food Standards Agency",Awarded,2018-11-09T16:04:48Z,"FS999996 - Laundry Service Provision in approved establishments in England/Wales","Lot 1: Purchase of Garments, Clean Laundry Lockers, Soiled Garment Bins and Anti-Fatigue Mats.
Lot 2: Collection. Laundering, Repair and Delivery of Garments to FSA Approved Establishments in England and Wales.
Lot 3: Disposal of Garments at the End of Wearable Life",,,"North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales","98311000 98311100 98311200 ",,fsa.procurement@food.gov.uk,"Foss House, Kings Pool, 1-2 Peasholme Green",,YORK,"YO1 7PR",England,,,"FS999996 Lot 1 Arco Final May 18 - Fully Signed (002)_Redacted.pdf FS999996 Lot 2 & 3 Berensden - Fully Signed (_Redacted.pdf ",,,01/04/2018,31/03/2019,30/11/2017,NO,,Yes,No,No,Services,234054,,19/03/2018,234054,"[Arco Limited|PO Box 21 Waverley Street , Hull, East Riding, HU1 2SJ, UNITED KINGDOM|NONE||No|No][Berendsen Workwear Ltd|Fark Lane, Handsworth, Birmingham, 821 BLE|NONE||No|No]",,01/04/2018,31/03/2019,"OpenOJEU ",
OREC001-DN343332-77422966,Contract,"Offshore Renewable Energy Catapult",Awarded,2018-08-08T16:51:09Z,"Personal Protective Equipment & Workwear Framework","As an employer, ORE Catapult has a duty concerning the provision and use of personal protective equipment (PPE) at work to meet the requirements of the Personal Protective Equipment at Work Regulations 1992 (as amended).     The purpose of this ITT is to assist ORE Catapult in establishing a Framework for the supply of Personal Protective Equipment (PPE) & Workwear by appointing a single, reliable Supplier to meet their ongoing requirements.   Tender documents relating to this opportunity can be accessed, free of charge at https://procontract.due-north.com ref : DN343332",,,"North East","18110000 18221000 18222000 35113400 ","Sheena Thomson",procurement@ore.catapult.org.uk,Inovo,"121 George Street",Glasgow,"G1 1RD","United Kingdom","+44 3330041418",https://www.ore.catapult.org.uk,,,,27/08/2018,26/08/2020,25/07/2018,NO,,Yes,No,No,Products,0,,08/08/2018,75000,"[Arco Limited|HU1 2SJ|NONE||No|No]","Mr Mark Eames",15/08/2018,14/08/2020,"Open ",
NWFRS-T-12-18,Contract,"Lancashire Fire & Rescue Service",Awarded,2018-07-31T14:53:38Z,"Cleaning Consumables","Lancashire Fire & Rescue Service (LFRS) is intending to award a Framework Agreement on behalf of North West Fire & Rescue Services (NWFRS) for the supply of Cleaning Consumables.

NWFRS collaborate on procurement activity and LFRS is leading a procurement process on behalf of NWFRS (Authorities listed below) to purchase Cleaning Consumables via a call-off Contract.
•	Cheshire FRS (ChFRS)
•	Cumbria FRS (CuFRS)
•	Greater Manchester FRS (GMFRS)
•	Isle of Man FRS (IoMFRS)
•	Lancashire FRS (LFRS)
•	Merseyside FRS (MFRS)
•	Northern Ireland FRS (NIFRS)

The procurement exercise will be managed via the procurement portal (www.supply4nwfire.org.uk). Hard copy submissions will not be accepted.

To respond to this opportunity, please log into the procurement portal and use access code 5Z78U26PP5 to access the necessary documentation.

If you experience any technical difficulties from accessing the portal, please contact the Supply4NWFire eSourcing Helpdesk on 0845 270 7050 or email nwfire@delta-esourcing.com.

Following award of the Framework Agreement each individual Fire and Rescue Service may arrange their own official call-off orders providing Order Particulars for their specific requirements.
The process to award the Framework Agreement will be undertaken via LFRS's electronic procurement portal (see Attachment 1 - Instructions to Tender).

LFRS are seeking to award to a single supplier.

The contract term is 2 years with the option for an extension to extend for 2 years (1 year + 1 year).

The estimated spend over the term of the 4 year contract (2 years plus 2 x 1 year extensions) is estimated to be between £100k and £250k should all the NWFRS utilise the call off contract.

Please note this is estimated spend and there is no guarantee or commitment in regard to the expenditure under this contract.",,,"North West","39830000 ","Angela Hague",angelahague@lancsfirerescue.org.uk,"Garstang Road",,PRESTON,PR23LH,England,"01772 866915 ext 6915",,"Attachment 1 - Instructions to tender - Cleaning Consumbles.docx ",,"Lancashire Fire & Rescue Service (LFRS) is intending to award a Framework Agreement on behalf of North West Fire & Rescue Services (NWFRS) for the supply of Cleaning Consumables.

NWFRS collaborate on procurement activity and LFRS is leading a procurement process on behalf of NWFRS (Authorities listed below) to purchase Cleaning Consumables via a call-off Contract.
•	Cheshire FRS (ChFRS)
•	Cumbria FRS (CuFRS)
•	Greater Manchester FRS (GMFRS)
•	Isle of Man FRS (IoMFRS)
•	Lancashire FRS (LFRS)
•	Merseyside FRS (MFRS)
•	Northern Ireland FRS (NIFRS)

The procurement exercise will be managed via the procurement portal (www.supply4nwfire.org.uk). Hard copy submissions will not be accepted.

To respond to this opportunity, please log into the procurement portal and use access code 5Z78U26PP5 to access the necessary documentation.

If you experience any technical difficulties from accessing the portal, please contact the Supply4NWFire eSourcing Helpdesk on 0845 270 7050 or email nwfire@delta-esourcing.com.

Following award of the Framework Agreement each individual Fire and Rescue Service may arrange their own official call-off orders providing Order Particulars for their specific requirements.
The process to award the Framework Agreement will be undertaken via LFRS's electronic procurement portal (see Attachment 1 - Instructions to Tender).

LFRS are seeking to award to a single supplier.

The contract term is 2 years with the option for an extension to extend for 2 years (1 year + 1 year).

The estimated spend over the term of the 4 year contract (2 years plus 2 x 1 year extensions) is estimated to be between £100k and £250k should all the NWFRS utilise the call off contract.

Please note this is estimated spend and there is no guarantee or commitment in regard to the expenditure under this contract.",01/06/2018,31/05/2022,04/05/2018,YES,NWFRS-T-12-18,Yes,Yes,No,Products,100000,,04/07/2018,88000,"[Arco Limited|P.O. Box 21, 
Waverley Street, 
Hull, 
North Humberside, 
HU1 2SJ|COMPANIES_HOUSE|133804|No|No]",,18/07/2018,31/07/2022,"OpenOJEU ",
POOLE001-DN334025-30529065,Contract,"Borough of Poole",Awarded,2018-07-26T16:13:55Z,PPE,"Contract for PPE and Clothing under the following Lots of the ESPO 144 framework
•	Lot 1 - PPE & Clothing 
•	Lot 2 - Corporate workwear 
•	Lot 3 - Health and social care workwear 
•	Lot 6 - Catering workwear",,,"South West","18100000 ","Strategic Procurement",procurement@poole.gov.uk,"Borough of Poole","Civic Centre",Poole,"BH15 2RU",England,"+44 1202633266",http://www.poole.gov.uk/,,,,01/11/2018,02/02/2020,23/07/2018,NO,,No,No,No,Products,176625,176625,26/07/2018,176625,"[Arco Limited|HU1 2SJ|NONE||No|No]","Mr Mark Eames",01/11/2018,02/02/2020,"Other ",
ESPO001-DN326511-31212146,Contract,ESPO,Awarded,2018-04-24T14:20:01Z,"143RFQ03/18-01 Supply of Safety Footwear","An RfQ for supply of Men's Safety Boots and Ladies Hygiene Shoes.  The framework agreement has the option to extend for up to a further 24 months. The total estimated value stated includes the option period. To tender: (a) Go to www.eastmidstenders.org, (b) Register (c) Search for tender opportunity '143RFQ03/18-01' d) Express an interest (e) Download the tender from the website. Please note the closing time/date for submission of tenders is 12:00, 14/03/2018.",,,"Any region","18830000 ","Samuel Nutting",tenders@espo.org,"Barnsdale Way, Grove Park",Enderby,Leicester,"LE19 1ES","United Kingdom",,http://www.espo.org/,,"https://www.eastmidstenders.org/index.html ","To tender: (a) Go to www.eastmidstenders.org, (b) Register (c) Search for tender opportunity '143RFQ03/18-01' d) Express an interest (e) Download the tender from the website.
",01/04/2018,31/03/2020,14/03/2018,NO,,Yes,Yes,No,Products,40000,40000,29/03/2018,40000,"[Arco Limited|PO Box 21
Waverley Street
Hull
HU1 2SJ|NONE||No|No][Bates Office Services Ltd|A1-A4
Knight Road
Knights Park Industrial Estate
Rochester
Kent
ME2 2LS|NONE||Yes|No][Beeswift Limited|West Wing
Delta House
Delta Point
Greets Green Road
West Bromwich
B70 9PL|NONE||Yes|No][Main Man Supplies Limited|Units 9-17 Charlton Drive
Corngreaves Trading Estate
Cradley Heath
West Midlands
B64 7BJ|NONE||Yes|No][MWUK Ltd t/a Alexandra|3 Long Acre
Willow Farm Business Park
Castle Donington
Derbyshire
DE74 2UG|NONE||No|No]",,01/04/2018,31/03/2020,"Open ",
HULLCC001-DN299334-54863800,Contract,"Hull City Council",Awarded,2018-02-28T15:55:59Z,"Supply of Personal Protective Equipment (PPE) and Clothing","Supply of PPE and Clothing",,,"Yorkshire and the Humber","18100000 18800000 18440000 ","Leila Oxtoby",leila.oxtoby@hullcc.gov.uk,"Room 94, The Guildhall","Alfred Gelder Street",Hull,"HU1 2AA",England,"+44 1482613274",http://www.hullcc.gov.uk,,,,01/03/2018,28/02/2021,07/11/2017,NO,,No,No,No,Products,520000,520000,28/02/2018,6567000,"[Arco Ltd|P.O. Box 21, Waverley Street, Hull, North Humberside, HU1 2SJ|NONE||No|No]",,01/03/2018,28/02/2021,"Other ",
YPO001-DN242430-72781383,Contract,YPO,Awarded,2018-02-08T13:49:51Z,"YPO - 000687 Entrance Matting","YPO is looking for suppliers to be appointed onto a Framework Agreement for the supply of Matting for use by Public Sector organisations. The Framework Agreement will cover the period from 1st August 2017 to 31st July 2019  with two options to extend for an additional 12 months.  The first decision to extend the contract period will be taken by the end of February 2019 and will be dependent on satisfactory completion of all aspects of the contract to date, the current market conditions for this category and YPO's contracting structures.  The maximum contract period will therefore be 4 years, from 1st August 2017 to 31st July 2021 (subject to an annual review, incorporating price negotiations and KPI performance).",,,"Yorkshire and the Humber","39530000 39532000 ","Mrs Jo King",contracts@ypo.co.uk,"41 Industrial Park",,Wakefield,"WF2 0XE","United Kingdom","+44 1924885946",http://www.ypo.co.uk/,,,,01/08/2017,31/07/2019,26/06/2017,NO,,Yes,Yes,No,Products,200000,1000000,31/07/2017,1000000,"[Arco Limited|PO Box 21, Waverley Street, Hull, North Humberside, HU1 2SJ|NONE||No|No][Denis Rawlins Limited|Limited Unit 17, Maybrook Road, Maybrook Business Park, Minworth Sutton Coldfield, B76 1AL|NONE||Yes|No][Master Matting Company Limited|Emstead Works, Old Lane, Ovenden, Halifax ,HX35QN|NONE||Yes|No]",,01/08/2017,31/07/2019,"Open ",
PLYM001-DN279373-30715193,Contract,"Plymouth City Council",Awarded,2018-01-05T11:24:44Z,"PPE and Clothing","Plymouth City Council has awarded a contract via further competition under ESPO framework agreement reference 144 for the provision of Personal Protective Equipment and Corporate Workwear.",,,"South West","18000000 ","Fiona Shand",procurement@plymouth.gov.uk,"Ballard House","West Hoe Road",Plymouth,"PL1 3BJ",England,"+441752 307967",http://www.plymouth.gov.uk/,,,,01/08/2017,31/07/2019,23/06/2017,NO,,Yes,Yes,No,Products,210000,,14/07/2017,210000,"[Arco Limited|PO Box 21, Waverley Street, Hull, HU1 2SJ|NONE||No|No]",,01/08/2017,31/07/2019,"Other ",
BIP294200454,Contract,"West Midlands Ambulance Service NHS Foundation Trust",Awarded,2017-12-23T13:36:06Z,"Incident Ground Kit PPE","Lot 1 - The Incident Ground kit PPE two piece garment (jacket and trousers) is to be inherently fire retardant to EN ISO 11612 standard.
      Lot 2 - The Helmet capable of being used for fire-fighting in building or other structures needs to conform to standard EN443:2008
      Lot 3 - Waterproof anorak and trousers",,,"Any region","35113400 ",,contracts@wmas.nhs.uk,"Millennium Point","Waterfront Business Park, Waterfront Way","Brierley Hill","DY5 1LZ",UK,,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=294200454 ",,04/06/2018,03/06/2019,12/12/2017,NO,,Yes,Yes,No,Products,250000,,12/12/2017,250000,"[Arco LTD|PO Box 21
        Waverley Street
        Hull
        East Yorkshire
        HU1 2SJ|NONE||No|No][Ilsaco (part of the Ardmel Group inc Keela)|Nasmyth Road
        Southfield Ind Estate
        Glenrothes
        Fife
        KY6 2SD|NONE||No|No][Ilasco (part of the Ardmel Group inc Keela)|52 Nasmyth Road
        Southfield Industrial Estate
        Glenrothes
        Fife
        KY6 2SD|NONE||No|No]",,04/06/2018,03/06/2019,"Open ",
"FWK1108A - AWARD",Contract,"Parliament UK",Awarded,2017-11-09T14:53:32Z,"FWK1108A-Personal Protection Equipment-RM3763-Lot1& Lot6 - AWARD","Lot1 - Call off from RM3763 Lot1 Personal Protection Equipment 
      Lot6 - Call off from RM3763 Lot1 Specialist Personal Protection Equipment",,"SW1A 0AA",London,"18000000 ","Parliamentary Procurement & Commercial Service",ppcs@parliament.uk,Westminster,London,London,"SW1A 0AA","United Kingdom",02072191600,,,,,19/10/2017,18/10/2021,08/08/2017,NO,,Yes,No,No,Products,0,,17/10/2017,300000,"[Arco Limited|PO Box 21, Waverley Street, Hull, United Kingdom, HU1 2SJ|||No|No][DSTO LTD T/A Head2Toe|Austin House, 43 Poole Road, Bournemouth, United Kingdom, BH4 9DN|||Yes|No]","Mark Eames",19/10/2017,18/10/2021,"Other Other",
"144RFQ11/16-01 (2)/2",Contract,Espo,Awarded,2017-08-24T11:51:36Z,"144RFQ11/16-01 (2) - Personal Protective Equipment (PPE) and Workwear","This Request for Quotations (RFQ) is for the supply of Personal Protective Equipment (PPE). The RFQ has one Lot, which comprises several sub-lots. Tenderers may bid for as many or as few sub-lots as preferred.
Items specifically include Ladies Tabards and Aprons, Children's Aprons and Smocks, unbranded household rubber gloves, Welder's Gauntlets, and Children's Safety Goggles.
All items are for delivery to ESPO, Leicester.

The lot will be structured into the following 9 sub-lots:
Sub-lot 1 - Ladies tabards and aprons
Sub-lot 2 - Children's PVC Adjustable Halter Aprons
Sub-lot 3 - Children's Waterproof Smocks
Sub-lot 4 - Children's Disposable Polythene Tabards
Sub-lot 5 - Children's White Plastic Aprons
Sub-lot 6 - Unbranded Household Rubber Gloves
Sub-Lot 7 - Welder's Gauntlets
Sub-Lot 8 - Children's Safety Goggles
Sub-lot 9  - Children's Safety Spectacles",,,"East Midlands","18100000 18424000 33735100 35113400 ",ESPO,tenders@espo.org,"Barnsdale Way, Grove Park, Enderby",,Leicester,"LE19 1ES",England,,www.espo.org,,,,27/04/2017,31/03/2018,10/02/2017,YES,"144RFQ11/16-01 (2)",Yes,Yes,No,Products,64000,,26/04/2017,64000,"[Arco Ltd|Waverley Street Hull
East Yorkshire
HU1 2SJ|||No|No][Beeswift Ltd|West Wing Delta House Delta Point Greets Green Road
West Bromwich
B70 9PL|||No|No][Cavendish Sports Ltd t/a Noyna Garments|136-138 Higher Road Urmston Manchester M41 9AZ|||No|No][Main Man Supplies Ltd|Units 9-17 Chalton Drive Corngreaves Trading Estate Cradley Heath
West Midlands
B64 7BJ|||No|No]",,27/04/2017,31/03/2018,"Open ",
"CDHG-2017 017 - AWARD",Contract,"County Durham Housing Group",Awarded,2017-08-07T14:57:53Z,"CDHG - Provision of Personal Protective Equipment and General WorkWear  - AWARD","The contract is for the provision of Personal Protection Equipment and General Work wear to County Durham Housing Group and its subsidiaries.
      
      The contract duration is 3 years with an option to extend for a further 2 years.",,"SR7 7TT","North East","18000000 18400000 18100000 18220000 18410000 18222000 18221000 ","Jack Buckley",jack.buckley@cdhg.co.uk,"Spectrum 6 Spectrum Business Park",Seaham,"County Durham","SR7 7TT","United Kingdom","0191 349 7696",,,,,07/08/2017,07/08/2020,05/07/2017,NO,,Yes,Yes,No,Products,0,164176,07/08/2017,0,"[Arco Limited|PO Box 21, Waverley Street, Hull, United Kingdom, HU1 2SJ|||No|No]","Chris  Harrison",07/08/2017,07/08/2020,"Open ",
"DN214021 - 16 013",Contract,"CHESHIRE EAST COUNCIL",Awarded,2017-06-27T15:47:10Z,"16 013 Corporate Uniforms and PPE","Cheshire East Council currently has a multiple supplier for the provision of Corporate Uniforms and PPE. This contractual agreement is due to end on 23rd March 2017, at which time a new Corporate Uniform contract will be required. The new contract must provide uniforms for both male and female staff of varying sizes. A full list of required items is provided later in this specification and has been split down into the following lots:
i.	Catering and Care Uniforms
ii.	Waste & Outdoor Clothing
iii.	PPE
iv.	Leisure and Recreation

The new contract will run from 1st April 2017 - 31st March 2019 with an option to extend for 2 x 12 months",,,"North West","18000000 ",,abigail.coyne@cheshireeast.gov.uk,Westfields,"Middlewich Road",Sandbach,"CW11 1HZ",England,,,"Corporate Uniforms and PPE Specification .pdf ","https://www.the-chest.org.uk/ ","E-TENDERING ONLY (www.the-chest.org.uk) - Tenderers must not submit Tenders by postal methods or return a Tender via e-mail to The Council.
Tenderers must submit Tenders by uploading your submission and supporting documentation via the e-tendering portal by the closing date and time. 
If you have any technical problems with 'The Chest' please contact the helpdesk on: 
Email: ProcontractSuppliers@proactis.com   or Telephone:  +44 330 005 0352",01/04/2017,31/03/2019,09/12/2016,NO,,Yes,No,No,Products,400000,,21/03/2017,400000,"[Arco Limited|Waverley Street, 
Hull,
HU1 2SJ|||No|No][Future Garments Ltd T/A Eurox|Aqua House, 
Buttress Way, 
Smethwick, 
West Midlands, 
B66 3DL|||No|No]",,01/04/2017,31/03/2019,"Open ",
DN199746,Contract,"RICHMONDSHIRE DISTRICT COUNCIL",Awarded,2017-06-16T14:49:27Z,"Corporate PPE Clothing Provider for Richmondshire District Council","Richmondshire District Council has a requirement for a PPE Clothing Provider and is conducting a mini competition through ESPO 144 Lot 1 with the pre-determined suppliers.

Contract awarded to winning supplier.",,,"Yorkshire and the Humber","35113400 ",,samantha.browne@richmondshire.gov.uk,"Merury House, Station Road,",,Richmond,"DL10 4JX",England,,,,,,19/06/2017,18/06/2020,24/05/2017,NO,,Yes,No,No,Services,15000,,16/06/2017,0,"[Arco Ltd|Waverley Street, PO Box 21, Hull|||No|No]",,19/06/2017,18/06/2020,"Other ",
000733,Contract,"Yorkshire Purchasing Organisation",Awarded,2017-06-15T11:37:08Z,Dishwashing,"YPO are looking for providers to be appointed to a framework for the provision of Dishwashing Products. Theframework is to run for two years with an option to extend on an annual basis for a further two years.",,,"Any region","39800000 ",,contracts@ypo.co.uk,"41 Industrial Park",,Wakefield,"WF2 0XE",England,,,,,,26/04/2017,25/04/2021,16/01/2017,NO,,Yes,Yes,No,Products,13000000,18000000,13/04/2017,0,"[Arco Limited|Waverley Street,
Hull,
North Humberside,
HU1 2SJ.|||No|No][CS Catering Equipment|Tornado House, 
Moxon Way,
Sherburn In Elmet,
North Yorkshire,
LS25 6FB.|||No|No][Diversey Ltd|Weston Favell Centre,
Northampton,
Northamptonshire,
NN3 8PD|||No|No][Merton Group UK Ltd|Merton Business Park,
Foxholes Road,
Leicester,
Leicestershire,
LE3 1TH|||No|No][Primeline Sales & Marketing (UK)|14 Eagle Park Drive,
Warrington,
Cheshire,
WA2 8JA|||No|No][R.P. Adam Ltd|Riverside Road,
Selkirk,
Selkirkshire,
TD7 5DU|||No|No][Selden Research Ltd (incorporating Jeyes Professional)|Staden Business Park,
Staden Lane,
Buxton,
Derbyshire,
SK17 9RZ|||No|No]",,26/04/2017,25/04/2021,"Open ",
