"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
SHEPWAY001-DN338784-87372356,Contract,"Folkestone and Hythe District Council",Awarded,2020-09-17T15:53:10Z,"Otterpool Park: Negotiation of Options to Purchase Land (OPCB)","Further to previous advice (contract DN327056) Savills valuers are appointed to negotiate with other landowners either options to purchase or outright purchases of land within the site of the proposed Otterpool New Town.

Commission on behalf of the Otterpool Park Collaboration Board.",,,"South East","70122200 ","Mhairi Richards",mhairi.richards@folkestone-hythe.gov.uk,"Civic Centre",,Folkestone,"CT20 2QY",England,"+44 1303853401",https://www.folkestone-hythe.gov.uk/your-council/council-information/contracting,,,,24/04/2018,31/03/2020,16/04/2018,NO,,Yes,No,No,Services,30000,30000,23/04/2018,30000,"[Savills (UK) Ltd|W1G 0JD|NONE||No|Yes]","Savills (UK) Ltd Emily Simpson",24/04/2018,31/03/2020,"Other ",,23:59
4515,Contract,"HOMES & COMMUNITIES AGENCY",Awarded,2017-03-09T14:49:46Z,"Gedling Colliery Reclamation","Property consultants to deliver a multi-stage commission of work in support of the disposal of the former Gedling Colliery Yard site in Gedling, Nottingham.",,,"East Midlands","70000000 ",,mail@homesandcommunities.co.uk,"3rd Floor Apex Court","City Link",Nottingham,"NG2 4LA",England,,,"4515-ITP-Gedling Colliery.docx 4515-ITT-Gedling Colliery.doc ","https://www.gov.uk/government/publications/hca-contracts-and-tenders ",,03/10/2016,30/11/2016,26/09/2016,NO,,No,No,No,Services,12500,,28/09/2016,12500,"[Savills UK Ltd|33 Margaret Street, London, W1G 0JD|||No|No]",,03/10/2016,30/11/2016,"AwardWithoutPriorPublication ",
tender_132553/566618,Contract,oneSource,Awarded,2017-02-13T13:51:16Z,"Multidisciplinary Consultancy Services to Havering Estates' Renewal Programme","Award of contract for multidisciplinary consultancy services to Havering Estates' Renewal Programme",,,London,"71530000 ","Tracy Christian",Tracy.Christian@oneSource.co.uk,London,,London,"RM1 3BB",England,01708434583,,,,"
This contract was called off from the Homes and Community Agency's framework 'Multidisciplinary Panel'
(OJEU Ref 2014/S 020-031462)",23/01/2017,22/01/2018,12/12/2016,NO,,Yes,No,No,Services,171950,,25/01/2017,171950,"[Savills (UK) Ltd (Cordea)|33 Margaret Street, LONDON, Greater London, W1G 0JD, UNITED KINGDOM|||No|No]","Alex Dawson",23/01/2017,22/01/2018,"Other ",
DCMS100708,Contract,"The Department For Culture Media & Sport",Awarded,2017-02-01T12:50:09Z,"Blythe House - Planning, Commercial & Technical Appraisal","Procured via a Framework Agreement: HCA Multidisciplinary Panel OJEU Ref 2014/S 020-031462. 

The contract commissions the following in relation to Blythe House, 23 Blythe Road, London W14 0QX:
•	Planning appraisal
•	Commercial appraisal
•	Technical appraisal

This is to inform the business case and planning for Blythe House to ensure the property is put to its most efficient and effective use and delivers maximum value for money for the taxpayer.",,,London,"71315000 ",,commercial@culture.gov.uk,"4th Floor","100 Parliament Street",London,"SW1A 2BQ",England,,,,,,19/10/2016,18/10/2017,19/09/2016,NO,,No,No,No,NotApplicable,103352,103352,18/10/2016,103352,"[Savills (UK) Ltd|33 Margaret Street, London, W1G 0JD|||No|No]",,19/10/2016,18/10/2017,"NotApplicable ",
BIP224052536,Contract,"Watford Borough Council",Awarded,2016-10-21T15:15:08Z,"GB-Watford: Little Cassiobury House Survey and Conservation Management Plan","The Production of a Measured Survey, Condition Survey, Schedules of Repair and Costings and Preparation of a Conservation Management Plan for Little Cassiobury House, Watford.",,,"East of England","71250000 71251000 71315300 ","Howard Hughes",howard.hughes@watford.gov.uk,"Town Hall",,Watford,"WD17 3EX",UK,01923278370,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=224052536 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement. ",20/10/2016,31/03/2017,19/10/2016,NO,,No,Yes,No,Services,59530,,19/10/2016,59530,"[Savills (UK) Ltd|33 Margaret Street
London
W1G 0JD|||No|No]",,20/10/2016,31/03/2017,"Open ",
"Stock condition surveys",Contract,"AMICUSHORIZON LIMITED",Awarded,2016-06-21T10:05:14Z,"Stock condition surveys","Carry out stock condition surveys for asbestos and fire",,,London,"71251000 ",,procurement@amicushorizon.org.uk,"125 High Street",,Croydon,"CR0 9XP",England,,,,,,21/03/2016,21/03/2016,11/03/2016,NO,,No,No,No,NotSpecified,31000,,11/03/2016,31000,"[Savills (UK) Ltd|131-134 Hills Road
Cambridge
CB2 8PA|||No|No]",,21/03/2016,21/03/2016,"Other ",
266_2016,Contract,"Uttlesford District Council",Awarded,2016-03-08T09:20:29Z,"Consulant for Retail Impact Assessment","A Retail Risk Assessment study as part of evidence for the Local Plan.",,,"East of England","73000000 ",,procurement@uttlesford.gov.uk,"London Road",,"Saffron Walden","CB11 4ER",England,,,,,,18/02/2016,31/05/2016,18/02/2016,NO,,No,No,No,Services,33000,,18/02/2016,33000,"[Savills UK Ltd|Embassy House
Queens Avenue
Bristol
BS8 1SB|||No|No]",,18/02/2016,31/05/2016,"NotApplicable ",
CCD00228,Contract,"Stevenage Borough Council",Awarded,2015-12-21T10:31:53Z,"HRA Revaluation Services for Resource Accounting 2015-2019","HRA Stock valuation surveys and report for resource accounting and re-instatement (rebuild) valuation for HRA stock for insurance purposes",,,"East of England","66171000 ",,sarah.ball@stevenage.gov.uk,"Stevenage Borough Council","Daneshill House, Danestrete",Stevenage,"SG1 1HN",England,,,,,,04/12/2015,03/12/2020,03/11/2015,NO,,Yes,No,No,Services,27500,,04/12/2015,27500,"[Savills (UK) Ltd|33 Margaret Street, London, W1G 0JD|||No|No]",,04/12/2015,03/12/2020,"NotSpecified ",
"L0713 Valuation Report for the University of Northampton",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T13:34:45Z,"L0713 Valuation Report for the University of Northampton - Contract","Please note that this contract has already been awarded and that this contract is being published for transparency purposes only. This contracts provision is for the valuation of parts of the University of Northampton.",,,"West Midlands","70000000 ","CCS London Managed Service Team",gpsopssouth@crowncommercial.gov.uk,"7th Floor, Aviation House","125 Kingsway",London,"WC2B 6NH",England,,,,,,03/10/2014,30/11/2014,03/10/2014,NO,,No,No,No,Services,20000,,03/10/2014,20000,"[Savills (UK) Ltd|Margaret Street
London
W1G 0JD|||No|No]",,03/10/2014,30/11/2014,"Restricted ",
BIP518838387,Contract,"Hyde Housing Association",Awarded,2020-08-24T08:00:13Z,"Financial Advisory Services Framework","Framework agreement for the supply of financial advisory services which covers a wide range of financial advisory services including general finance, tax advisory, treasury management, financial analysis and real estate and strategic asset advisory.",,,"Any region","66171000 ",,procurementhelpdesk@hyde-housing.co.uk,"30 Park Street",,London,"SE1 9EQ",UK,+442032072570,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=518838387 ",,31/03/2020,31/03/2024,30/03/2020,NO,,No,No,No,Services,75000000,,30/03/2020,75000000,"[Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Mazars LLP|Tower Bridge House
        St Katharine's Way
        London
        E1W 1DD|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Crowe U.K. LLP|St. Bride's House,
        10 Salisbury Square
        London
        EC4Y 8EH|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][Chatham Financial|12 St James's Square London
        London
        SW1Y 4LB|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][N.M. Rothschild and Sons Limited|New Court, St Swithin's Lane
        London
        EC4N 8AL|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street,
        London
        EC3M 7HS|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row,
        London
        EC4M 7HP|NONE||No|No][KPMG LLP|5 Canada Square
        London
        E14 5GL|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][QMPF LLP|Excel House, 30 Semple Street
        Edinburgh
        EH3 8BL|NONE||No|No][Faithorn Farrell Timms LLP|Central Court, 1B Knoll Rise
        Orpington
        BR6 0JA|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street
        London
        EC3M 7HS|NONE||No|No][Savills UK Ltd|33 Margaret Street, London,
        London
        W1G 0JD|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Jones Lang LaSalle Ltd|30 Warwick Street
        London
        W1B 5NH|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Mazars LLP|Tower Bridge House, St Katharine's Way
        London
        E1W 1DD|NONE||No|No][Cambridge Finance Ltd|68 Lombard Street,
        London
        EC3V 9LJ|NONE||No|No]",,31/03/2020,31/03/2024,"Open ",,00:00
BIP515573139,Contract,"Hyde Housing Association",Awarded,2020-08-14T08:30:11Z,"Financial Advisory Services Framework","Framework agreement for the supply of financial advisory services which covers a wide range of financial advisory services including general finance, tax advisory, treasury management, financial analysis and real estate and strategic asset advisory.",,,"Any region","66171000 ",,procurementhelpdesk@hyde-housing.co.uk,"30 Park Street",,London,"SE1 9EQ",UK,+442032072570,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=515573139 ",,31/03/2020,31/03/2024,30/03/2020,NO,,No,No,No,Services,75000000,,30/03/2020,75000000,"[Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Mazars LLP|Tower Bridge House
        St Katharine's Way
        London
        E1W 1DD|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Crowe U.K. LLP|St. Bride's House,
        10 Salisbury Square
        London
        EC4Y 8EH|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][Chatham Financial|12 St James's Square London
        London
        SW1Y 4LB|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][N.M. Rothschild and Sons Limited|New Court, St Swithin's Lane
        London
        EC4N 8AL|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street,
        London
        EC3M 7HS|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row,
        London
        EC4M 7HP|NONE||No|No][KPMG LLP|5 Canada Square
        London
        E14 5GL|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][QMPF LLP|Excel House, 30 Semple Street
        Edinburgh
        EH3 8BL|NONE||No|No][Faithorn Farrell Timms LLP|Central Court, 1B Knoll Rise
        Orpington
        BR6 0JA|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street
        London
        EC3M 7HS|NONE||No|No][Savills UK Ltd|33 Margaret Street, London,
        London
        W1G 0JD|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Jones Lang LaSalle Ltd|30 Warwick Street
        London
        W1B 5NH|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Mazars LLP|Tower Bridge House, St Katharine's Way
        London
        E1W 1DD|NONE||No|No][Cambridge Finance Ltd|68 Lombard Street,
        London
        EC3V 9LJ|NONE||No|No]",,31/03/2020,31/03/2024,"Open ",,00:00
BIP496045867,Contract,"Hyde Housing Association",Awarded,2020-06-04T12:40:27Z,"Financial Advisory Services Framework","Framework agreement for the supply of financial advisory services which covers a wide range of financial advisory services including general finance, tax advisory, treasury management, financial analysis and real estate and strategic asset advisory.",,,"Any region","66171000 ",,procurementhelpdesk@hyde-housing.co.uk,"30 Park Street",,London,"SE1 9EQ",UK,+442032072570,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=496045867 ",,31/03/2020,31/03/2024,30/03/2020,NO,,No,No,No,Services,75000000,,30/03/2020,75000000,"[Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][N.M. Rothschild and Sons Limited|New Court, St Swithin's Lane
        London
        EC4N 8AL|NONE||No|No][Chatham Financial|12 St James's Square London
        London
        SW1Y 4LB|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Mazars LLP|Tower Bridge House, St Katharine's Way
        London
        E1W 1DD|NONE||No|No][Faithorn Farrell Timms LLP|Central Court, 1B Knoll Rise
        Orpington
        BR6 0JA|NONE||No|No][Savills UK Ltd|33 Margaret Street, London,
        London
        W1G 0JD|NONE||No|No][Jones Lang LaSalle Ltd|30 Warwick Street
        London
        W1B 5NH|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street
        London
        EC3M 7HS|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row
        London
        EC4M 7HP|NONE||No|No][Cambridge Finance Ltd|68 Lombard Street,
        London
        EC3V 9LJ|NONE||No|No][Mazars LLP|Tower Bridge House
        St Katharine's Way
        London
        E1W 1DD|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][Crowe U.K. LLP|St. Bride's House,
        10 Salisbury Square
        London
        EC4Y 8EH|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][KPMG LLP|15 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][Resolute Asset Management LLP|Floor 4, Alpha House, 24A Lime Street,
        London
        EC3M 7HS|NONE||No|No][Newbridge Advisors LLP|Mermaid House, Puddle Dock
        London
        EC4V 3DB|NONE||No|No][TradeRisks Limited|21 - 26 Garlick Hill
        London
        EC4V 2AU|NONE||No|No][Grant Thornton UK LLP|30 Finsbury Square
        London
        EC2A 1AG|NONE||No|No][QMPF LLP|Excel House, 30 Semple Street
        Edinburgh
        EH3 8BL|NONE||No|No][Savills UK Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][Ernst & Young LLP|1 More London Place
        London
        SE1 2AF|NONE||No|No][KPMG LLP|5 Canada Square
        London
        E14 5GL|NONE||No|No][Deloitte LLP|1 New Street Square
        London
        EC4A 3HQ|NONE||No|No][CBRE Limited|St Martin's Court, 10 Paternoster Row,
        London
        EC4M 7HP|NONE||No|No]",,31/03/2020,31/03/2024,"Open ",
BIP497517427,Contract,"Flagship Housing Group",Awarded,2020-06-06T09:10:28Z,"Estate Agency & Property Valuation Services for Asset Disposal Sales","Flagship has a requirement for suitably qualified estate agents, valuers and Surveyors, to undertake a range of services to support Flagships disposals programme.",,,"East of England","70300000 ",,procurement@flagship-group.co.uk,"31 King Street",,Norwich,"NR1 1PD",UK,+448081684555,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=497517427 ",,04/06/2020,18/05/2021,19/05/2020,NO,,Yes,No,No,Services,616100,,19/05/2020,616100,"[Allsop LLP|33 Wigmore Street
        Clapham
        London
        W1U 1BZ|NONE||No|No][Orlando Reid Ltd|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Fenn Wright LLP|1 Tollgate East
        Stanway
        Colchester
        CO3 8RQ|NONE||No|No][Connells Limited|Cumbria House
        16-20 Hockliffe Street
        Leighton Buzzard
        LU7 1GN|NONE||No|No][Fenn Wright|1 Tollgate East
        Stanway
        Colchester
        CO3 8RQ|NONE||No|No][Orlando Reid|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Clarke & Simpson|Well Close Square
        Framlingham
        IP13 9DU|NONE||No|No][Connells Estate Agency|Cumbria House
        16-20 Hockliffe Street
        Leighton Buzzard
        LU7 1GN|NONE||No|No][Brown & Co.|The Atrium
        St Georges Street
        Norwich
        NR3 1AB|NONE||No|No][Allsop LLP|33 Wigmore Street
        Clapham
        London
        W1U 1BZ|NONE||No|No][Lacy Scott & Knight LLP|10 Risbygate Street
        Bury St Edmunds
        IP33 3AA|NONE||No|No][Abbot Fox|Kingsley House
        2a Upper King Street,
        Norwich
        NR3 1AH|NONE||No|No][Property Ladder|40 Exchange Street
        Norwich
        NR2 1AX|NONE||No|No][Abbott Fox|Kingsley House
        2a Upper King Street,
        Norwich
        NR3 1AH|NONE||No|No][Savills (UK) Ltd|33 Margaret Street
        Clapham
        London
        W1G 0JD|NONE||No|No][Lacy Scott & Knight LLP|10 Risbygate Street
        Bury St Edmunds
        IP33 3AA|NONE||No|No][Watsons|1 Bank Plain
        Norwich
        NR2 4SF|NONE||No|No][Residentially Limited|10 Jesus Lane
        Cambridge
        CB5 8BA|NONE||No|No][Orlando Reid Ltd|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Orlando Reid|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Connells Ltd|Cumbria House
        16-20 Hockliffe Street
        Leighton Buzzard
        LU7 1GN|NONE||No|No][Orlando Reid Ltd|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Connells Ltd|Cumbria House
        16-20 Hockliffe Street
        Leighton Buzzard
        LU7 1GN|NONE||No|No][Allsop LLP|33 Wigmore Street
        Clapham
        London
        W1U 1BZ|NONE||No|No][Brown & Co|The Atrium
        St Georges Street
        Norwich
        NR3 1AB|NONE||No|No][Orlando Reid|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Lacy Scott & Knight LLP|10 Risbygate Street
        Bury St Edmunds
        IP33 3AA|NONE||No|No][Fenn Wright|1 Tollgate East
        Stanway
        Colchester
        CO3 8RQ|NONE||No|No][Abbot Fox|Kingsley House
        2a Upper King Street,
        Norwich
        NR3 1AH|NONE||No|No][Watsons|1 Bank Plain
        Norwich
        NR2 4SF|NONE||No|No][Savills (UK) Ltd|33 Margaret Street
        Clapham
        London
        W1G 0JD|NONE||No|No][Orlando Reid Ltd|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Residentially Limited|10 Jesus Lane
        Cambridge
        CB5 8BA|NONE||No|No][Arnold Keys|2 Prince of Wales Road
        Norwich
        NR1 1LB|NONE||No|No][Abbot Fox|Kingsley House
        2a Upper King Street,
        Norwich
        NR3 1AH|NONE||No|No][Property Ladder|40 Exchange Street
        Norwich
        NR2 1AX|NONE||No|No][Orlando Reid|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Brown & Co|The Atrium
        St Georges Street
        Norwich
        NR3 1AB|NONE||No|No][Connells Estate Agency|Cumbria House
        16-20 Hockliffe Street
        Leighton Buzzard
        LU7 1GN|NONE||No|No][Lacy Scott & Knight LLP|10 Risbygate Street
        Bury St Edmunds
        IP33 3AA|NONE||No|No][Allsop LLP|33 Wigmore Street
        Clapham
        London
        W1U 1BZ|NONE||No|No][Belton Duffey|26 Staithe Street
        Wells-next-the-Sea
        NR23 1AF|NONE||No|No][Lacy Scott & Knight LLP|Market Place
        Crowe Street
        Stowmarket
        NR2 4SF|NONE||No|No][Allsop LLP|33 Wigmore Street
        Clapham
        London
        W1U 1BZ|NONE||No|No][Orlando Reid|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Brown & Co|The Atrium
        St Georges Street
        Norwich
        NR3 1AB|NONE||No|No][CS2 Ltd|50 Farringdon Road
        Clapham
        London
        EC1M 3HE|NONE||No|No][Orlando Reid Ltd|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Brown & Co|The Atrium
        St Georges Street
        Norwich
        NR3 1AB|NONE||No|No][Clarke & Simpson|Well Close Square
        Framlingham
        IP13 9DU|NONE||No|No][Orlando Reid|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Lacy Scott & Knight|Market Place
        Crowe Street
        Stowmarket
        IP14 1DN|NONE||No|No][Allsop LLP|33 Wigmore Street
        Clapham
        London
        W1U 1BZ|NONE||No|No][Connells Ltd|Cumbria House
        16-20 Hockliffe Street
        Leighton Buzzard
        LU7 1GN|NONE||No|No][Orlando Reid|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Orlando Reid Ltd|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][Residentially Limited|10 Jesus Lane
        Cambridge
        CB5 8BA|NONE||No|No][Watsons|1 Bank Plain
        Norwich
        NR2 4SF|NONE||No|No][Savills (UK) Ltd|33 Margaret Street
        London
        W1G 0JD|NONE||No|No][Fenn Wright|1 Tollgate East
        Stanway
        Colchester
        CO3 8RQ|NONE||No|No][Orlando Reid|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No][CS2 Ltd|50 Farringdon Road
        Clapham
        London
        EC1M 3HE|NONE||No|No][Conisbee|6 Upper King Street
        Norwich
        NR3 1HA|NONE||No|No][CS2 Ltd|50 Farringdon Road
        Clapham
        London
        EC1M 3HE|NONE||No|No][Orlando Reid|6 Clapham High Street
        Clapham
        London
        SW4 7UT|NONE||No|No]",,04/06/2020,18/05/2021,"Open ",
