"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CCZZ20A27.,Contract,"Cabinet Office : Cabinet Office",Awarded,2020-06-15T11:18:19Z,"Quantitative Research","The Provision of Quantitative Research Covid 19 Requirement BMG
Contract extension for three months and an increase in value to £165,000.00",,,"United Kingdom,Isle of Man,Channel Islands","73110000 73200000 ","Crown Commercial Service on behalf of Cabinet Office : Cabinet Office",info@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCZZ20A27 The Provision of Quantitative Research Contract REDACTED v1.pdf CCZZ20A27 Contract variation ExtensionREdacted.docx ",,,30/03/2020,30/09/2020,27/03/2020,NO,,No,No,No,Services,165000,,30/03/2020,165000,"[BMG RESEARCH LTD|Beech House, Greenfield Crescent,Edgbaston
BIRMINGHAM
West Midlands
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]","Denise Johnson",30/03/2020,30/09/2020,"Other Direct Award",,12:00
tender_165459/661383,Contract,"Defra Network eTendering Portal",Awarded,2018-03-19T14:09:14Z,"Attitudes to Air Quality","Research to understand public attitudes to air quality",,,"Any region","73110000 90700000 ",,Network.Procurement@defra.gsi.gov.uk,DEFRA,,London,"SW1P 3JR",England,,,,,"
Please note that Defra procurement uses an E-tendering system for Procurement activities.  This is currently provided by Bravo Solutions.   To access appropriate tendering and contractual documents, please access the E-Tendering portal at https://defra.bravosolution.co.uk"", ensuring that your registration includes ""Defra"".  If you have any problems with this system, please contact Bravo on their telephone helpline number 0800 368 4850 or by emailing them at help@bravosolution.co.uk.",09/03/2018,30/03/2018,26/02/2018,NO,,Yes,No,No,Services,37500,,09/03/2018,37500,"[BMG Research Ltd|Beech House, Greenfield Crescent , Birmingham, B15 3BE, United Kingdom|NONE||No|No]",,09/03/2018,30/03/2018,"Restricted ",
CR18068,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2018-10-16T15:57:28Z,"Maternity and Paternity Rights Survey 2018","The Department of Business, Energy and Industrial Strategy (BEIS) wish to commission a survey on Maternity and Paternity Rights. This survey will be the 7th in a series of surveys undertaken since the late 1970s. The series aims to provide information on parents' experiences of family leave-taking and return to work, and the efficacy of policies underpinning employment rights in this area. The aims of a new Maternity and Paternity Rights Survey are as follows:
•	To monitor the take-up of maternity and paternity benefits and change over time;
•	To identify the effects of the legislative changes in the area of parental leave since 2009-10;
•	To examine factors that enable women to remain in work;
•	To explore attitudes of both fathers and mothers towards childcare responsibility and change over time.

UK Shared Business Services eSourcing

As part of the strategic alliance between UK Shared Business Services Ltd (UK SBS) and Crown Commercial Service (CCS), UK SBS can use the CCS eSourcing Suite for future procurements.

If you have not yet registered on the eSourcing Suite, this can be done online at https://gpsesourcing.cabinetoffice.gov.uk  by following the link 'Register for CCS eSourcing'.  Please note that, to register, you must have a valid DUNS number (as provided by Dun and Bradstreet) for the organisation which you are registering, who will be entering into a contract if invited to do so. 

Once you have registered on the eSourcing Suite, a registered user can express an interest for a specific procurement.  This is done by emailing expressionofinterest@crowncommercial.gov.uk.  
Your email must clearly state: the name and reference for the procurement you wish to register for; the name of the registered Bidder; and the name and contact details for the registered individual sending the email.  
Crown Commercial Service will process the email and then enable the Bidder to access the procurement online via the e-Sourcing Suite.  The registered user will receive a notification email to alert them once this has been done. 
The Sourcing documents can then be accessed on the eSourcing Suite at: https://gpsesourcing.cabinetoffice.gov.uk using the instructions detailed in the Specification documents within Contracts Finder.

As a user of the e-Sourcing Suite you will have access to Emptoris email messaging service which facilitates all messages sent to you and from you in relation to any specific RFX event.  Please note it is your responsibility to access these emails on a regular basis to ensure you have sight of all relevant information.
For technical assistance on use of the e-Sourcing Suite please contact Crown Commercial Service Helpdesk : Telephone: 0345 010 3503
Training documents to support Bidders utilise Emptoris CCS eSourcing are available in the Contracts Finder Tender documents section.",,,London,"73200000 79300000 ",,research@uksbs.co.uk,"North Star House",,SWINDON,SN21FF,England,,,"Bidder Training V1.0.pdf Bidder - Logging into Emptoris for the first time V1.0.pdf ",,,20/08/2018,29/03/2019,01/08/2018,NO,,No,No,No,Services,400000,,17/08/2018,338100,"[BMG RESEARCH LTD|Beech House
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]","Denise Johnson",20/08/2018,29/03/2019,"CallOffFromFrameworkAgreement ",
CUM001-DN470848-30287306,Contract,"Cumbria County Council",Awarded,2020-06-16T16:44:59Z,"Cumbria Business Survey 2020","A survey of 2,000 businesses in Cumbria to explore current and future business performance on a range of themes",,,"North West","73000000 ","Alison Henderson",alison.e.henderson@cumbria.gov.uk,"Cumbria House","107 - 117 Botchergate",Carlisle,"CA1 1RD",England,"+44 1228221741",http://www.cumbria.gov.uk/,,,,01/06/2020,31/03/2021,24/04/2020,NO,,No,No,No,NotSpecified,72000,72000,19/05/2020,71725,"[BMG Research Ltd|Beech House
Greenfield Crescent
Edgbaston
BIRMINGHAM
B15 3BE|NONE||No|No]",,01/06/2020,31/03/2021,"Other ",
2020ICO00130,Contract,"Information Commissioner's Office",Awarded,2020-03-10T08:36:46Z,"Staff Surveys for the Information Commissioners Office","The Information Commissioner is looking to procure a supplier who can run the staff survey at regular intervals to support the Internal Communications Department who run and have accountability for the survey. 
",,,"Any region","79311000 ",,procurement@ico.org.uk,"Wyliffe House","Water Lane",Wilmslow,"SK9 5AF",England,,,,,,01/01/2020,31/12/2020,25/10/2019,NO,,No,No,No,Services,34000,,06/12/2019,34000,"[BMG RESEARCH LTD|Beech House, Greenfield Crescent,Edgbaston
BIRMINGHAM
West Midlands
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]",,01/01/2020,31/12/2020,"CallOffFromFrameworkAgreement ",
"CA18/2/8/6 Staff Survey 2019",Contract,"The Coal Authority",Awarded,2019-11-15T15:18:01Z,"Staff Survey 2019","Following on from an extremely successful staff survey in 2017 we would like see how far we have come with our changes in culture. Surveying staff about their impressions of their employer is the best indicator of the overall culture in a company. 

The survey must focus on the following areas:
•	Identifying performance improvement opportunities
•	Assessing our employee satisfaction, engagement levels and trends
•	Part of our ongoing measurement process
•	Identifying causes of employee turnover
The Authority requires assistance that helps to identify engagement issues and areas for improvement and suggestions of appropriate actions for us to take in the following areas:

•	Action plan creation 
•	Suggested actions with the Authority's own initiatives
•	Tracking and overview to see the impact of the Authority's actions in real-time
•	Monitor performance against a comprehensive overview of the Authority's engagement data 
•	Help the Authority's teams to understand the initiatives it chooses to implement, and encourage their involvement in the engagement process

The question set to be used will be set by the Authority to enable benchmarking against 2017 survey.

Coal Authority tenders are now being undertaken by the Authority's eTender portal InBye.

Should you wish to participate in any electronic tender exercise you will need to register your company details which will require the provision of some company information and agreement to terms and conditions to access the system. Use of the system is free of charge.

In order to register please log on to https://inbye.coal.gov.uk/s2c/",,"NG18 4RG",,"79310000 ","Lucas Ortega",lucasortega@coal.gov.uk,"200 Lichfield Lane",,MANSFIELD,NG184RG,England,"01623 637430",https://inbye.coal.gov.uk/s2c/,"InBye Registration.pdf ",,"Coal Authority tenders are now being undertaken by the Authority's eTender portal InBye, details of how to register are attached in this notice. Should you wish to participate in any electronic tender exercise you will need to register your company details, which will require the provision of some company information and agreement to terms and conditions to access the system. Use of the system is free of charge.
In order to register please log on to https://inbye.coal.gov.uk/s2c/",20/05/2019,20/11/2019,26/04/2019,YES,"CA18/2/8/6 Staff Survey 2019",Yes,No,No,Services,10000,,27/06/2019,9950,"[BMG RESEARCH LTD|Beech House
BIRMINGHAM
West Midlands
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]","Denise Johnson",01/07/2019,20/11/2019,"OpenNonOJEU ",
CR19080,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2019-11-11T11:26:21Z,"Workplace Training Impact Survey","The final date and time for the submission of bids is Wednesday 23rd 2019 at 11:00.

DO NOT apply directly to the buyer.

All tender information MUST be submitted through the Emptoris eSourcing Portal.

Brief Description of Requirement

The 2013 evaluation focused on improvements to organisational efficiencies as a result of Acas workplace training, alongside value for money of the training, and satisfaction metrics similar to those in the Training Delegate Feedback Survey.

Please ensure you review all attached information to ensure a full understanding of this requirement. All attachments can be found with the Document Uploads tab within the Emptoris eSourcing Portal. 

This contract will be awarded based on the evaluation criteria set out in the MC document.",,"NW1 3DP",,"73200000 79300000 ",Research,Research@uksbs.co.uk,"Polaris House",,SWINDON,SN21FF,England,"01793 867005",www.uksbs.co.uk,,,"DO NOT APPLY DIRECTLY TO BUYER

All submissions will be assessed in accordance with the Public Contracts Regulations 2015, for procurement values that exceed Regulation 5 (Threshold amounts)

Responses must be received by the date in the tender documentation; responses received outside of the deadline or not sent via the Emptoris eSourcing portal will not be accepted or considered further for this opportunity.

As a user of the Emptoris eSourcing Portal you will have access to the Emptoris messaging service which facilitates all messages sent to you and from you in relation to any specific tender event. Please note it is your responsibility to access these messages on a regular basis to ensure you have sight of all relevant information applicable to this opportunity.

The contracting authority expressly reserves the right:

i.	not to award any contract as a result of the procurement process commenced by publication of this notice;and

ii.	to make whatever changes it may see fit to the content and structure of the procurement; and in no circumstances will the contracting authority be liable for any costs incurred by any supplier. If the contracting authority decides to enter into a contract with the successful supplier, this does not mean that there is any guarantee of subsequent contracts being awarded. Any expenditure, work or effort undertaken prior to contract award is accordingly a matter solely for the commercial judgement of bidders.


About UK Shared Business Services 

UK Shared Business Services Ltd (UK SBS) brings a commercial attitude to the public sector; helping our contracting authorities to improve efficiency, generate savings and modernise.

Where UK SBS is not named as the Contracting Authority within the documentation, UK SBS will be acting as an agent on behalf of the Contracting Authority.

Our broad range of expert services is shared by our customers. This allows our customers the freedom to focus resources on core activities; innovating and transforming their own organisations.

For full details of our partner base please review the following link: http://www.uksbs.co.uk/services/procure/contracts/Pages/default.aspx",11/11/2019,31/03/2020,23/10/2019,NO,,Yes,No,No,Services,0,30000,08/11/2019,30000,"[BMG Research Ltd|Beech House,
Greenfield Crescent,
Edgbatson,
Birmingham,
United Kingdom,
B15 3BE|NONE||No|No]",,11/11/2019,31/03/2020,"CallOffFromFrameworkAgreement ",
ENFLD001-DN380067-39452664,Contract,"London Borough of Enfield",Awarded,2019-02-15T09:48:27Z,"Measuring the Drivers of residents satisfaction with housing","Awarded following evaluation of bids received.",,,"West Midlands","79310000 79342310 79342320 79342300 ","Rosangela Rhodes",rosangela.rhodes@enfield.gov.uk,"4th Floor, Civic Centre","Silver Street",Enfield,"EN1 3XA","United Kingdom","+44 2083795289",http://www.enfield.gov.uk/,,,,20/01/2019,31/03/2021,18/01/2019,NO,,Yes,No,No,Services,80000,100000,15/02/2019,81104,"[BMG Research Ltd|BMG Research
 Beech House
 Greenfield Crescent
 Edgbaston
 Birmingham
 B15 3BE|NONE||Yes|No]",,21/02/2019,21/04/2021,"Restricted ",
"UK SBS CR18041",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2018-11-08T15:24:10Z,"ACAS training feedback survey training courses in 2018/2019 and 2019/2020","Acas solicits the views of the attendees of these events, using a survey assessment form, which are analysed by the contractor to create regional and national level reports. Findings are used to provide evidence to key stakeholders to inform strategic decisions, and as part of trainers' performance management process.
The project will be commissioned for two full operational years of fieldwork - the 2018/19 and 2019/20 operational years, meaning that the contract will last from 1st April 2018 to 31st March 2020.",,,London,"73200000 79300000 ",,research@uksbs.co.uk,"Polaris House",,SWINDON,"SN2 1ET",England,,,"Bidder - Logging into Emptoris for the first time V1.0.pdf Bidder Training V1.0.pdf CR18041 - Mini Competition.pdf ",,,14/03/2018,31/03/2020,06/03/2018,NO,,Yes,No,No,Services,52690,,13/03/2018,52690,"[BMG RESEARCH LTD|Beech House
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]",,14/03/2018,31/03/2020,"CallOffFromFrameworkAgreement ",
DN357271,Contract,"DEPARTMENT FOR INTERNATIONAL TRADE",Awarded,2018-10-24T09:43:49Z,"Public Attitudes Tracker","The requirement is for a supplier to deliver DIT's Public Attitudes Tracker. This will involve
providing regular survey data to understand UK public perceptions of international trade
outside of the EU and how these change over time. lnitially two waves will be awarded,
with a break clause applying after the first. The successful bidder may be awarded up to one
further wave of the survey by the Authority, subject to successful delivery and performance
of the first and second waves.",,,London,"79320000 ","Keith Jackson",Keith.jackson@trade.gov.uk,"Windsor House, 50 Victoria Street",,LONDON,"SW1H 0TL",England,"020 7215 6044",,"Public Attitudes Tracker - Contract Terms_Redacted.pdf Letter of Appointment - Public Attitudes Tracker _ Redacted.pdf ",,,10/09/2018,01/10/2019,09/09/2018,NO,,Yes,No,No,Services,114010,,03/09/2018,114010,"[BMG RESEARCH LTD|6 Holt Court North
B7 4AX
GB|COMPANIES_HOUSE|7395400|No|No]",,10/09/2018,01/10/2019,"CallOffFromDynamicPurchasingSystem ",
FS303017,Contract,"Food Standards Agency",Awarded,2018-10-09T11:43:59Z,"Small and micro FBO tracking survey (annual)","Small and micro FBO tracking survey (annual)",,,"Any region","73000000 ","Mark Croft",Mark.croft@food.gov.uk,"Foss House, Peasholme Green",,York,"YO1 7PR",England,"01904 232228 ext 22228",,"Specification.docx ",,"Full tender documents can be obtained by registering at the FSA e-Procurement site: https://food.bravosolution.co.uk/web/login.html",26/07/2018,31/07/2021,04/07/2018,YES,FS303017,Yes,Yes,No,Services,0.01,,10/08/2018,71550,"[BMG RESEARCH LTD|Beech House
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]",,13/08/2018,31/07/2020,"OpenOJEU ",
HOUNSLOW001-DN348507-70754340,Contract,"London Borough of Hounslow",Awarded,2018-08-30T14:30:23Z,"Tenant and Leaseholder Consultation","telephone survey, insight into resident satisfaction with ability to identify remedial actions necessary to correct deficiencies or failures in council services for its tenants and leaseholders.",,,London,"79000000 ",,Ian.Smith2@hounslow.gov.uk,"Civic Centre","Lampton Road",Hounslow,"TW3 4DN",England,"+44 2085834285",http://www.hounslow.gov.uk/,,,,24/09/2018,23/12/2018,16/07/2018,NO,,Yes,No,No,Services,45000,45000,24/08/2018,45000,"[BMG Research Ltd|B15 3BE|NONE||Yes|No]","Miss Denise Johnson",24/09/2018,23/12/2018,"Open ",
tender_172344/698768,Contract,"The Food Standards Agency",Awarded,2018-08-23T10:48:38Z,"FS303017 - Small and Micro FBO Tracking Survey (annual)","Small and Micro FBO Tracking Survey (annual)",,"YO1 7PR","Any region","73000000 ",,FSA.procurement@food.gov.uk,"Foss House, Peasholme Green, York",,York,"YO1 7PR",England,,,,,,13/08/2018,31/07/2020,10/08/2018,NO,,Yes,Yes,No,Services,0,71550,13/08/2018,71550,"[BMG Research Ltd|Beech House, Greenfield Crescent, Birmingham, B15 3BE|NONE||Yes|Yes]",,13/08/2018,31/07/2020,"OpenOJEU ",
"Sunderland Residents Perception Survey 2018",Contract,"SUNDERLAND CITY COUNCIL",Awarded,2018-08-16T13:21:04Z,"Sunderland Residents Perception Survey 2018","Award of Contract to design, conduct, analyse and report on a residents perception survey",,,"North East","71621000 ","Michelle Soppitt",michelle.soppitt@sunderland.gov.uk,"Civic Centre",,SUNDERLAND,SR27DN,England,"0191 5612368 ext 2368",,,,,16/08/2018,15/02/2019,08/08/2018,NO,,Yes,No,No,Services,42000,,15/08/2018,42000,"[BMG RESEARCH LTD|Beech House
B15 3BE
GB|COMPANIES_HOUSE|02841970|No|No]","Denise Johnson",16/08/2018,15/02/2019,"CompetitiveQuotationNonOJEU ",
1666/MH,Contract,"UNIVERSITY OF SHEFFIELD",Awarded,2018-01-17T16:25:34Z,"1666/MH Survey to Assess the Relevance of Thatcherism Today","The University of Sheffield is out to tender on behalf of the School of Law for the commissioning of a Survey to Assess the Relevance of Thatcherism Today.

The full technical specification can be found in the tender documentation which will be sent to you once you have expressed your interest. 

Tender Process and Documentation:

This is a non-EU open exercise. The ITT can be downloaded by registering and expressing your interest on the University`s e-tendering system https://in-tendhost.co.uk/Sheffield.

If you have any questions or comments in relation to this tender they must be submitted via the In-tend System, this can be accessed at https://in-tendhost.co.uk/Sheffield

Completed tenders must be returned through the same e-tendering system.

Closing date for receipt of tenders: Thursday 23rd November 2017 at 12 noon (UK time).",,,"Yorkshire and the Humber","79320000 ",,m.hardy@sheffield.ac.uk,"Arts Tower","Western Bank",Sheffield,"S10 2TN",England,,,,,"The University of Sheffield is out to tender on behalf of the School of Law for the commissioning of a Survey to Assess the Relevance of Thatcherism Today.

The full technical specification can be found in the tender documentation which will be sent to you once you have expressed your interest. 

Tender Process and Documentation:

This is a non-EU open exercise. The ITT can be downloaded by registering and expressing your interest on the University`s e-tendering system https://in-tendhost.co.uk/Sheffield.

If you have any questions or comments in relation to this tender they must be submitted via the In-tend System, this can be accessed at https://in-tendhost.co.uk/Sheffield

Completed tenders must be returned through the same e-tendering system.

Closing date for receipt of tenders: Thursday 23rd November 2017 at 12 noon (UK time).",01/12/2017,31/03/2019,23/11/2017,YES,1666/MH,Yes,No,No,Services,70000,,12/12/2017,44000,"[BMG RESEARCH LTD|Beech House
B15 3BE
GB|COMPANIES_HOUSE|02841970|Yes|No]",,01/02/2018,31/03/2019,"OpenNonOJEU ",
FS101207,Contract,"Food Standards Agency",Awarded,2017-12-19T11:17:01Z,"FS101207 Evaluation of FSA's Safe Catering Guide in NI","Evaluation of FSA's Safe Catering Guide in NI",,,"Northern Ireland","73000000 ",,FSA.procurement@food.gov.uk,"Foss House, Peasholme Green, York",,York,"YO1 7PR",England,,,,,,18/12/2017,31/03/2018,27/11/2017,NO,,Yes,Yes,No,Services,0.01,34100,15/12/2017,34100,"[BMG Research Ltd|Beech House, Greenfield Crescent, Edgbaston, Birmingham|NONE||Yes|No]",,18/12/2017,31/03/2018,"Other Limited tender",
tender_155592/635381,Contract,"Defra Network eTendering Portal",Awarded,2017-11-30T13:46:15Z,"Affordability & Availability of Flood Insurance","The project objectives are to:

 Provide an update to the baseline studies of the affordability and availability of insurance premiums for households and small businesses

 Understand the impact of the introduction of Flood RE on affordability and availability of insurance

 Identify and test a methodology that can be used in future follow-up studies

 This project is being commissioned as a one-off project. However we expect to commission follow-up studies at regular intervals in future years to enable a continuing assessment of affordability and availability of insurance over time. There are differences in the methods used in the baseline studies so a key objective of this study is to confirm a method that is robust and replicable to be used in future studies.",,,"Any region","66510000 66517300 73112000 90700000 ",,Network.Procurement@defra.gsi.gov.uk,DEFRA,,London,"SW1P 3JR",England,,,,,"
Please note that Defra procurement uses e-tendering, provided by Bravosolutions. In order to access the Bravo system you will need to be registered.
Could I therefore request that you register on the Bravo portal for Defra.
If you're already registered on the Bravo portal please check that your registration includes Defra, as you have to specify us in order to correctly receive the tender documents.
If you have any problems with the registration process, please contact the Bravo helpline on 0800 368 4850 or alternatively email them at help@bravosolution.co.uk. The link you require for new registration/amendments to registrations is -
https://defra.bravosolution.co.uk",15/11/2017,31/07/2018,27/10/2017,YES,tender_155592/624747,Yes,Yes,No,Services,40470,,12/11/2017,40470,"[BMG Research Ltd|Beech House, Greenfield Crescent, Birmingham,West Midlands,B15 3BE,  UNITED KINGDOM|NONE||No|No]",,15/11/2017,31/07/2018,"Open ",
314,Contract,"Aston University",Awarded,2017-10-02T14:31:58Z,"PROVISION OF GLOBAL ENTREPRENEURSHIP MONITOR (GEM) UK SURVEY","To provide Global Entrepreneurship Monitor (GEM) Surveys",,"b4 7ET",,"79000000 ","Jason Goodwin",J.Goodwin@Aston.AC.Uk,"Aston Triangle",,Birmingham,"B4 7ET",England,,,,,,01/04/2017,31/03/2020,17/02/2017,NO,,Yes,Yes,No,Services,600000,,07/03/2017,600000,"[BMG Research Ltd|Beech House
Greenfield Crescent
Edgbaston
Birmingham
B15 3BE|||Yes|No]","Steve Lomax",01/04/2017,31/03/2020,"CallOffFromFrameworkAgreement ",
FS244011,Contract,"Food Standards Agency",Awarded,2017-08-07T15:12:58Z,"FS244011 - Audit of display of food hygiene ratings in England, Northern Ireland, and Wales and business telephone survey","The FSA wished to commission a representative audit of the display of stickers for the Food Hygiene Rating Scheme (FHRS) at food business premises in England, Northern Ireland, and Wales. Monitoring display rates provides evidence of consumer accessibility to ratings at point of choice and allows a comparison of the voluntary scheme in England and the statutory schemes in Wales and Northern Ireland.

The FSA also wished to commission an associated telephone survey of food businesses in the three countries to assess attitudes towards and understanding of the scheme, including the use of safeguards, the perceived impact of the scheme on businesses and other ways businesses might display ratings such as on publicity materials and websites.",,,"Any region","73300000 ",,FSA.procurement@foodstandards.gsi.gov.uk,"Foss House, Peasholme Green, York",,York,"YO1 7PR",England,,,"UK SBS MR Order Form (Signed)_Redacted.pdf ",,,31/07/2017,31/03/2020,29/06/2017,NO,,Yes,Yes,No,Services,0.01,,30/07/2017,0,"[BMG Research Ltd|Beech House, Greenfield Crescent, Birmingham,  B15 3BE|||No|No]",,31/07/2017,31/03/2020,"Other ",
SOUTHWARK-DN263072-05983079,Contract,"London Borough of Southwark",Awarded,2017-07-13T14:39:31Z,"Staff Engagement Surveys","Provision of Staff Engagement Surveys",,,London,"79311000 ","Dawn Matthews",Dawn.Matthews@southwark.gov.uk,"Southwark Council","160 Tooley Street",London,"SE1 2QH",England,"+44 2075253245",http://www.southwark.gov.uk,,,,05/06/2017,04/06/2020,19/05/2017,NO,,No,No,No,Services,30000,30000,01/06/2017,23500,"[BMG Research Ltd|Beech House
Greenfield Crescent
Edgbaston
Birmingham
B15 3BE|||No|No]","Steve Handley",05/06/2017,04/06/2020,"Other ",
DN219011,Contract,"Merton Council",Awarded,2017-02-01T14:13:53Z,"Resident Satisfaction Survey","A survey of a sample of adult residents in the borough to ascertain their satisfaction with the council and its services. In addition we may also wish to test the views of a smaller sample of 250 young people aged 11-17 years.
A complete analysis of the results cross-tabulated by key demographic and geographic groups. Both the results in the form of data tables, and the analysis in graphical and narrative form in a report must be provided.
Both the report and the data tables should be appropriate for placing in the public domain. These should be available to Merton Council by 27 March 2017.",,"SM4 5DX",,"79311000 ",,procurement@merton.gov.uk,"Civic Centre","London Road",Morden,"SM4 5DX",England,,,,,,24/01/2017,27/03/2017,28/11/2016,NO,,Yes,Yes,No,Services,21950,,19/01/2017,21950,"[BMG Research Ltd.|Beech House, Greenfield Crescent, Edgbaston, Birmingham, B15 3BE|||No|No]",,24/01/2017,31/03/2017,"Open ",
tender_215505/877587,Contract,OFCOM,Awarded,2020-08-05T11:44:35Z,"C20190246 - Ofcom Market Research Framework","Ofcom's Market Research team commissions primary research services for a range of teams across the organisation, including Consumer Policy, Spectrum Policy Group, Competition Group and the Content and Strategy teams. Examples of our work can be located in the Market Research section of the Ofcom website:

https://www.ofcom.org.uk/research-and-data

There are four Market Research Lots in the new framework for the provision of standard market research services, each of which relate to a broad area of standard research expertise; quantitative, qualitative, omnibus and online panel research. If Ofcom has a specialist or niche market research service requirement we may choose to commission that through the framework, or we may choose to commission it via an open Invitation to Tender Process, by inviting specialist suppliers to bid.

At this stage of the process, Applicants are invited to express an interest in providing standard market research services to Ofcom in one or more of these lots. Applicants that pass this initial assessment will be invited to take part in the second stage of the tender.  If successful in the second stage of the tender, they will be added as Tenderers to the framework agreement for a particular Lot(s).

The Lots under this framework will be:
Lot 1 - Quantitative Research
Lot 2- Qualitative Research
Lot 3 - Face to Face omnibus research
Lot 4 - Online panel research",,"SE1 9HA","Any region","79310000 ","Hayley Watson",hayley.watson@ofcom.org.uk,"Riverside House, 2a Southwark Bridge Road",,London,"SE1 9HA",England,,https://ofcom.bravosolution.co.uk,,"https://ofcom.bravosolution.co.uk ",,01/04/2020,31/03/2024,05/09/2019,NO,,Yes,Yes,No,Services,20000000,,13/02/2020,20000000,"[2CV Ltd|12 Flitcroft Street, London, WC2H 8DL|COMPANIES_HOUSE|3195457|No|No][Basis Research Limited|264 Banbury Road, Oxford, OX2 7DY|COMPANIES_HOUSE|3211544|No|No][BDRC Continental Ltd|Kingsbourne House, 229-231 High Holborn, London, WC1V 7DA|COMPANIES_HOUSE|02578457|No|No][BMG Research Ltd|Beech House, Greenfield Crescent, Edgbaston, Birmingham, B15 3BE|COMPANIES_HOUSE|02841970|No|No][C M Monitor (Britain Thinks) Ltd|Metherell Gard, Morval, Looe, Cornwall, PL13 1PN|COMPANIES_HOUSE|07291125|No|No][Collaborate Research Ltd|Bowden House, 6 Northampton Road, Market Harborough, LE16 9HE|COMPANIES_HOUSE|08531126|No|No][Community Research and Consultancy Ltd|36 Northampton Road, Market Harborough, LE16 9HE|COMPANIES_HOUSE|6655192|No|No][Critical Research Ltd|Unit 7, Baden Place, Crosby Row, London, SE1 1YW|COMPANIES_HOUSE|6566825|No|No][ESRO Ltd|3rd Floor, 3 Fitzhardinge Street, London, W1H 6EF|COMPANIES_HOUSE|05438122|No|No][Family Kids and Youth|27 Hatchlands Road, Reigate, Surrey, RH1 6RW|COMPANIES_HOUSE|OC397600|No|No][Futuresight Business Intelligence Ltd|New Bond House, Bond Street, Bristol, BS2 9AG|COMPANIES_HOUSE|5346341|No|No][Ipsos MORI|3 Thomas More Square, London, E1W 1YW|COMPANIES_HOUSE|948470|No|No][Jigsaw Research Limited|4th Floor,  1-2 Berners Street, London, W1T 3LA|COMPANIES_HOUSE|03650224|No|No][Kantar Media UK Ltd|222 Gray's Inn Road, London, WC1X 8HB|COMPANIES_HOUSE|275304|No|No][Magenta Research Ltd|20 Meadowbank, Berrylands Road, Surbiton, Surrey, KT5 8RD|COMPANIES_HOUSE|9982818|No|No][Oxygen Brand Consulting Ltd|1 Woodhouse, Woodhouse, Milnthorpe, LA7 7LY|COMPANIES_HOUSE|3842229|No|No][Populus Ltd|Northburgh House, 10 Northburgh Street, London, EC1V 0AT|COMPANIES_HOUSE|04153928|No|No][Quadrangle Research Group Limited|The Butlers Wharf Building, 36 Shad Thames, SE1 2YE|COMPANIES_HOUSE|8064640|No|No][Research Institute for Disabled Consumers|Unit 10 Blenheim Court, 62 Brewery Road, London, N7 9NY|COMPANIES_HOUSE|2669868|No|No][Savanta Group Limited|3 Melville Street, Edinburgh, Scotland, EH3 7PE|COMPANIES_HOUSE|SC281352|No|No][Sherbert Research Limited|Mercury House, 19-21 Chapel Street, Marlow, Bucks, SL7 3HN|COMPANIES_HOUSE|4661518|No|No][Watermelon Research Limited|PO Box 70693, 62 Buckingham Gate, London, SW1P 9ZP|COMPANIES_HOUSE|079177115|No|No]",,01/04/2020,31/03/2024,"RestrictedOJEU ",,12:00
