"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
BIP528778743,Contract,"Derby City Council",Awarded,2020-09-24T15:00:13Z,"GB-Derby: TPPL Derby City Council NEPO HGV lot 2 - 1 x 15/16t Scarab Sweeper on DAF Chassis (5399)","TPPL Derby City Council NEPO HGV lot 2 - 1 x 15/16t Scarab Sweeper on DAF Chassis (5399)",,,"East Midlands","34921100 ","Richard Kniveton",richard.kniveton@derby.gov.uk,"15 Stores Road",,Derby,"DE21 4BD",UK,01332641514,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=528778743 ",,02/01/2021,02/02/2021,08/07/2020,NO,,No,No,No,Products,141205.5,,08/07/2020,141205.5,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
BIP398653237,Contract,"Kirklees Metropolitan Council",Awarded,2019-05-20T16:32:02Z,"GB-Kirklees: TPPL Kirklees Council HCC Lot 4 - 5 x Compact Sweepers","NOTE: This notice was updated on 20 May 2019 for the following reason: Additional vehicle transaction now reported to cover all 5 units procured(TPPL Kirklees Council HCC Lot 4 - 5 x Compact Sweepers)",,,"Yorkshire and the Humber","34921100 ","Darren Fletcher",darren.fletcher@kirklees.gov.uk,"Environment & Transport","Vine Street",Huddersfield,"HD1 6NT",UK,01484221000,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=398653237 ",,08/05/2019,08/06/2019,23/01/2019,NO,,No,No,No,Products,259124,,23/01/2019,259124.68,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Sharon Bowden",08/05/2019,08/06/2019,"NotSpecified ",
BIP386137886,Contract,"North Warwickshire Borough Council",Awarded,2019-03-26T09:15:02Z,"GB-North Warwickshire: TPPL North Warwickshire Borough Council NEPO HGV Framework lot 2 1 x 15-16 tonne Sweeper on DAF Chassis","1 x 15-16 tonne Sweeper on DAF Chassis",,,"West Midlands","34921100 ","John Rhodes",JohnRhodes@NorthWarks.gov.uk,"South Street",,Atherstone,"CV9 1BG",UK,01827719275,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=386137886 ",,06/03/2019,08/04/2019,05/03/2019,NO,,No,No,No,Products,134625,,05/03/2019,134625.12,"[Scarab Sweepers Limited|Pattenden Lane 
        Marden
        TN12 9QD|NONE||No|No]","Sharon Bowden",06/03/2019,08/04/2019,"NotSpecified ",
BIP378674747,Contract,"Norse Commercial Services Ltd",Awarded,2019-02-21T10:55:04Z,"GB-Norse: TPPL Norse Commercial Services HCC lot 4 Up to 4 x 4.5t sweepers","4 x 4.5t sweepers",,,"East of England","34921100 ","Chris Davison",chris.davison@ncsgrp.co.uk,"Rotterdam Road",,Lowestoft,"NR32 2EF",UK,01502527151,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=378674747 ",,18/01/2019,18/02/2019,17/01/2019,NO,,No,No,No,Products,344844,,17/01/2019,344844,"[Scarab Sweepers Limited|Pattenden Lane 
        Tonbridge 
        TN12 9QD|NONE||No|No]","Sharon Bowden",18/01/2019,18/02/2019,"NotSpecified ",
BIP368605539,Contract,"Scarborough Borough Council",Awarded,2019-01-08T12:43:15Z,"GB-Scarborough: TPPL Scarborough Borough Council HCC lot 4 Compact Sweepers","2 x Compact Sweepers",,,"Yorkshire and the Humber","34144431 ","Mark Allen",mark.allen@scarborough.gov.uk,"Dean Road",,Scarborough,"YO12 7QS",UK,01723383617,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=368605539 ",,17/01/2018,19/02/2018,16/01/2018,NO,,No,No,No,Products,78326,,16/01/2018,78326,"[Scarab Sweepers Limited|Pattenden Lane 
        Tonbridge 
        TN12 9QD|NONE||No|No]","Sharon Bowden",17/01/2018,19/02/2018,"NotSpecified ",
BIP368411178,Contract,"Middlesbrough Council",Awarded,2019-01-07T16:20:12Z,"GB-Middlesborough: TPPL Middlesbrough Council NEPO HGV lot 2 1 x 4.5t Sweeper","TPPL Middlesbrough Council NEPO HGV lot 2 1 x 4.5t Sweeper",,,"North East","34921100 ","Chris Bates",chris_bates@middlesbrough.gov.uk,"PO Box 506","Civic Centre",Middlesbrough,"TS1 9GA",UK,01642728310,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=368411178 ",,25/09/2018,25/10/2018,24/09/2018,NO,,No,No,No,Products,93638,,24/09/2018,93638.1,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Sharon Bowden",25/09/2018,25/10/2018,"NotSpecified ",
BIP368383159,Contract,"Lewes District Council",Awarded,2019-01-07T15:24:11Z,"GB-Lewes: TPPL Lewes District Council NEPO HGV lot 2 12t Sweepers","TPPL Lewes District Council NEPO HGV lot 2 12t Sweepers",,,"South East","34921100 ","Andy Bryce",andy.bryce@lewes.gov.uk,"Robinson Road",,Newhaven,"BN9 9LB",UK,01273484229,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=368383159 ",,25/08/2018,25/09/2018,24/08/2018,NO,,No,No,No,Products,128689,,24/08/2018,128689.9,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Sharon Bowden",25/08/2018,25/09/2018,"NotSpecified ",
BIP367584562,Contract,"London Borouh of Islington",Awarded,2019-01-03T11:32:17Z,"GB-London Borouh of Islington: TPPL London Borough of Islington NEPO HGV lot 2 CNG Powered Sweeper","TPPL London Borough of Islington NEPO HGV lot 2 1x CNG Powered Sweeper",,,London,"34921100 ","Robert Smith",robert.smith2@islington.gov.uk,"1 Street Environment Services","Cottage Road",London,"N7 8TP",UK,02075274534,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=367584562 ",,25/04/2018,25/05/2018,24/04/2018,NO,,No,No,No,Products,125250,,24/04/2018,125250,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        TN12 9QD|NONE||No|No]","Sharon Bowden",25/04/2018,25/05/2018,"NotSpecified ",
BDCT18-0424,Contract,"Bassetlaw District Council",Awarded,2018-10-08T09:23:22Z,"BDCT18-0424 - Replacement of Two Compact Town Centre Sweepers","To replace two town centre compact sweepers with a 12 month warranty.",,,"East Midlands","90610000 ","Lorraine Hodgson",lorraine.hodgson@bassetlaw.gov.uk,"Potter Street",,WORKSOP,S802AH,England,"01909 533533 ext 4490",,,,,06/09/2018,30/11/2019,04/07/2018,NO,,Yes,No,No,Products,130000,,28/08/2018,148000,"[SCARAB SWEEPERS LIMITED|Pattenden Lane
TN12 9QD
GB|COMPANIES_HOUSE|01823459|No|No]",,06/09/2018,30/11/2019,"CallOffFromFrameworkAgreement ",
BIP297929957,Contract,"London Borough of Havering",Awarded,2018-01-18T13:36:06Z,"GB-Essex: TPPL London Borough of Havering HCC lot 4","1x 4.5t Sweeper and 1 x 7.5t Sweeper.",,,London,"34921100 ","Simon Blake",simon.blake@havering.gov.uk,"Asset Management","423 Rainham Road",Essex,"RM12 5BF",UK,01708433202,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=297929957 ",,18/01/2017,18/02/2017,17/01/2017,NO,,No,No,No,Products,202341,,17/01/2017,202341,"[Scarab Sweepers Limited|Pattenden Lane
        Marden
        Tonbridge
        Kent
        TN12 9QD|NONE||No|No]","Sharon Bowden",18/01/2017,18/02/2017,"NotSpecified ",
KIRKC001-DN279344-87520939,Contract,"Kirklees Council",Awarded,2017-10-05T10:32:21Z,"Provision of One (1) x 3.5 Tonne GVW Midi Compact Sweeper KMCWRT-079","The Council of the Borough of Kirklees (the ""Customer"") invites you to submit a Tender for the supply and delivery of one (1) x 3.5 Tonne GVW Midi Compact Sweeper (the ""Vehicles"") to be delivered to our depot located at Vine Street, Huddersfield, HD1 6NT (the ""Delivery Place"")",,,"Yorkshire and the Humber","34114000 ","Darren Fletcher",darren.fletcher@kirklees.gov.uk,"Vine Street Depot","Off Leeds Road",Huddersfield,"HD1 6NT",England,"+44 1484221000",http://www.kirklees.gov.uk,,,,01/08/2017,01/12/2017,06/07/2017,NO,,Yes,No,No,Products,80000,80000,13/07/2017,79224,"[Scarab Sweepers Limited|Pattenden Lane, Marden, Kent, TN12 9QD|||Yes|No]","Ms Sharon Bowden",18/07/2017,01/12/2017,"Open ",
ADCT16-0314,Contract,"Bassetlaw District Council",Awarded,2016-12-19T10:05:48Z,"Ashfield District Council ADCT16-0314 Precinct/Mini Sweepers","Supply of mechanical sweeper vehicles to Ashfield District Council.",,,"East Midlands","34114000 ","Rachel Gatiss",rachel.gatiss@bassetlaw.gov.uk,"Queens Building","Potters Street",Worksop,"S80 2AH",England,,,,,"This tender has been carried out via a further competition on ESPO Framework 215 Specialist Vehicles.",23/12/2016,31/12/2017,02/11/2016,NO,,Yes,No,No,Products,360000,,19/12/2016,330675,"[Scarab Sweepers Limited|Pattenden Lane
Marden
Tonbridge
Kent|||No|No]",,23/12/2016,31/12/2017,"Restricted ",
NTYN001-DN175985-63790031,Contract,"North Tyneside Council",Awarded,2016-08-05T09:22:51Z,"Sweeper Vehicles","The Authority is seeking a suitable organisation to supply sweeper vehicles in accordance with the tender documents. Applicants wishing to register their interest against this opportunity and obtain the tender documents should go to the web site located at https://procontract.due-north.com select North Tyneside opportunity DN175985. Completed tenders are to be returned by the deadline of before noon on 19 August 2016 via the electronic tendering system on the aforementioned portal. The authority does not bind itself to accept the lowest or any offer and will not be liable for any costs incurred by those expressing an interest or tendering for this contract. Any contract will be considered as a contract made in England according to English Law and will be subject to the jurisdiction of the English courts. No previous application of interest will be taken as an application for the purposes ofthis notice.",,,"North East","34921100 ","Mike Forrest",mike.forrest@northtyneside.gov.uk,"Quadrant Cobalt Business Park","Silverlink North","North Tyneside","NE27 0BY",UK,"+44 1916435657",http://www.northtyneside.gov.uk/,,,,13/09/2016,13/09/2017,19/08/2016,NO,,Yes,No,No,Products,146000,146000,26/09/2016,146000,"[Scarab Sweepers Limited|TN12 9QD|||Yes|No]",,27/09/2016,03/02/2017,"Open ",
BIP373248976,Contract,"Gwynedd Council",Awarded,2019-01-28T13:09:13Z,"GB-Gwynedd Council: Hertfordshire County Council Framework Contract Award Notices HCC2015/273","2 x Compact Sweepers",,,Wales,"34921100 ","Kev Sheret",kevsheret@gwynedd.gov.uk,"Highways & Municipal Department","Cibyn Industrial Estate",GwyneddCaernarfon,"LL55 2BF",UK,01286679849,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=373248976 ",,21/02/2018,21/03/2018,20/02/2018,NO,,No,No,No,Products,162597,,20/02/2018,162597.8,"[Scarab Sweepers Limited|Pattenden Lane 
        Marden 
        Tonbridge 
        Kent 
        TN12 9QD|NONE||No|No]","Sharon Bowden",21/02/2018,21/03/2018,"NotSpecified ",
BIP368292524,Contract,"Middlesbrough Council",Awarded,2019-01-07T12:24:13Z,"GB-Middlesbrough: TPPL Middlesbrough Council HCC Framework Lot 4","1 x compact sweeper",,,"North East","34144431 ","Chris Bates",Chris_Bates@middlesbrough.gov.uk,"Cargo Fleet Lane",,Middlesbrough,"TS3 8AL",UK,01642728310,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=368292524 ",,09/10/2017,09/11/2017,06/10/2017,NO,,No,No,No,Products,88400,,06/10/2017,88400,"[Scarab Sweepers Limited|Pattenden Lane 
        Tonbridge 
        TN12 9QD|NONE||No|No]","Sharon Bowden",09/10/2017,09/11/2017,"NotSpecified ",
