"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
PO-3003836,Contract,"Intellectual Property Office",Awarded,2018-10-23T15:42:03Z,"WCM Server Productive CPU Lic Maintenance","WCM Server Productive CPU Lic Maintenance",,,Wales,"72267000 ","Jonathan Chapman",jonathan.chapman@ipo.gov.uk,"Concept House","Cardiff Road",Newport,"Np10 8QQ",Wales,01633811442,,"PO-3003836 Redacted.pdf Quote.pdf ",,,01/01/2019,31/12/2019,18/09/2018,NO,,Yes,No,No,Services,37030.41,,18/09/2018,37030.41,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|No|No]","Katy Atkinson",01/01/2019,31/12/2019,"SingleTenderActionNonOJEU ",
BIP349711021,Contract,"Student Loans Company",Awarded,2018-10-04T10:47:20Z,"GB-Glasgow: TOWER IDM/CAPTIVA SDE","Provision of software support for Tower IDM for 12 months. Provision of Capitva Support Development Engineer for 6 months",,,Scotland,"48000000 ","Martin Woods",martin_woods@slc.co.uk,"100 Bothwell Street",,Glasgow,"G2 7JD",UK,01412433832,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=349711021 ",,01/10/2018,30/09/2019,28/09/2018,NO,,No,No,No,Services,166049,,28/09/2018,166049.72,"[Open Text UK Ltd|420 Thanes Valley Park Drive
        Thames Valley Park
        Reading
        RG6 1PT|NONE||No|No]","Ama Missah",01/10/2018,30/09/2019,"NotSpecified ",
P104848,Contract,"MET OFFICE",Awarded,2018-08-15T15:27:46Z,"Software licences","Software licences",,,"South West","48000000 ",,procurement.enquiries@metoffice.gov.uk,"Fitzroy Road",,EXETER,EX13PB,England,,,,,,26/04/2018,26/04/2019,24/04/2018,NO,,Yes,No,No,Services,16537,,25/04/2018,16537,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|No|No]","Katy Atkinson",26/04/2018,26/04/2019,"SingleTenderActionNonOJEU ",
01871,Contract,"BIRMINGHAM CHILDRENS HOSPITAL",Awarded,2018-07-11T15:21:30Z,"Clinical genetics legacy support","Supplier of bespoke system",,,"West Midlands","85000000 ","Rachel Fanthom",rachel.fanthom@bch.nhs.uk,"STEELHOUSE LANE",,BIRMINGHAM,B46NH,England,,,,,,11/06/2018,10/09/2019,18/05/2018,NO,,No,No,No,Products,0,,24/05/2018,25750,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|No|No]","Katy Atkinson",11/06/2018,10/09/2019,"Other SSA",
01796,Contract,"BIRMINGHAM CHILDRENS HOSPITAL",Awarded,2018-05-31T12:03:41Z,"Legacy Support","Ongoing system support contract",,,"West Midlands","48000000 ",,rachel.fanthom@bch.nhs.uk,"STEELHOUSE LANE",,BIRMINGHAM,B46NH,England,,,,,,01/03/2018,30/06/2018,28/02/2018,NO,,No,No,No,Services,0,,28/02/2018,25750,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|No|No]","Katy Atkinson",01/03/2018,30/06/2018,"SingleTenderActionNonOJEU ",
01648,Contract,"BIRMINGHAM CHILDRENS HOSPITAL",Awarded,2018-02-26T15:27:34Z,"Legacy Support","legacy support for genetics labs",,,"West Midlands","85000000 ","Rachel Fanthom",rachel.fanthom@bch.nhs.uk,"STEELHOUSE LANE",,BIRMINGHAM,B46NH,England,,,,,,17/01/2018,16/01/2019,12/01/2018,NO,,No,No,No,Services,0,,16/01/2018,25750,"[OPEN TEXT UK LIMITED|420 THAMES VALLEY PARK DRIVE
READING
BERKSHIRE
RG6 1PT
GB|COMPANIES_HOUSE|03148093|No|No]",,17/01/2018,16/01/2019,"SingleTenderActionNonOJEU ",
IOW001-DN313838-90821546,Contract,"Isle of Wight Council",Awarded,2018-01-19T12:38:37Z,"Support and Maintenance for Opentext Enterprise Content Management System","Support and maintenance for the on-going use of the Council's OpenText Enterprise Content Management System (ECM). The contract will commence on 1.1.2018 for a period of 2 years.",,,"South East","72250000 ","Vanessa Squibb",vanessa.squibb@iow.gov.uk,"County Hall","High Street",Newport,"PO30 1UD","United Kingdom","+44 1983821000",http://www.iwight.com,,,"
Any values given are estimated for the total duration of the contract. A VEAT notice and Award notice have been published in the OJEU (2017/S 243-507550 and 2018/S 009-016485)",01/01/2018,31/12/2019,28/12/2017,NO,,No,No,No,Services,155790,155790,29/12/2017,155790,"[Open Text UK Limited|420 Thames Valley Park Drive
Reading
RG6 1PT|NONE||No|No]",,01/01/2018,31/12/2019,"NegotiatedWithoutCompetition ",
MCA-218-15-16,Contract,"Maritime & Coastguard Agency",Awarded,2016-03-09T11:23:59Z,"Renewal of Support Agreement for Opentext WCM","Renewal of the support agreement for Opentext WCM (Web Content Manager Licence) for the period 01/04/2016 - 31/03/2017",,,"Any region","48000000 72000000 ","Lee Cove",contracts@mcga.gov.uk,"Spring Place","105 Commercial Road",Southampton,"SO15 1EG",England,,https://www.gov.uk/government/organisations/maritime-and-coastguard-agency,,,,01/04/2016,31/03/2017,02/03/2016,NO,,Yes,No,No,Services,23165,,04/03/2016,23165,"[OPEN TEXT UK LIMITED|420 Thames Valley Park Drive
Reading
RG6 1PT|||No|No]",,01/04/2016,31/03/2017,"Open ",
"SO9542 RM5534",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-09-04T13:57:17Z,"SO9542 RM5534 Provision of Metastorm Software","Provision of Metastorm Software",,,"Any region","48000000 ",,spot.buying@crowncommercial.gov.uk,"Room 2Y92 Concept House, Cardiff Road",,Newport,"NP10 8QQ",England,,,"Redacted Letter (1).pdf ",,,30/05/2015,29/05/2016,22/05/2015,NO,,Yes,Yes,No,Services,22357.15,,22/05/2015,22357.15,"[Open Text UK Ltd|NA|||No|No]",,30/05/2015,29/05/2016,"Other ",
PNL00000605,Contract,"NHS SUPPLY CHAIN",Awarded,2016-05-03T09:44:13Z,"Enterprise & Departmental PACS and Information Systems (for example RIS) and Associated Goods and Services","2016/S 086-152288
CPVs - 48180000;30230000;32342450;33111200;33111600;33197000;48170000;48210000;48300000;48329000;48420000;48430000;48460000;48482000;48500000;48512000;48600000;48613000;48814000;48814400;48960000;72227000;72260000;72512000
NHS Supply Chain seeks to establish a non-exclusive Framework Agreement for the supply to the NHS Supply Chain customer base via the direct route of: enterprise and departmental picture archiving systems and communications system (PACS) departmental information systems such as Radiology Information Systems (RIS) and associated goods and services.
 The Framework shall include installation maintenance and servicing where applicable of the goods bought through the Framework Agreement and shall include but shall not be limited to the following:
 — Image Management Solutions;
 — Departmental Information Systems;
 — Complementary Software;
 — Clinical Document Management Solutions;
 — Off Site Hosting;
 — Complementary Hardware Products.
 Related accessories and services shall be available for purchase under this Framework Agreement provided that they are an accessory that can be used in conjunction with the normal day to day use of the goods and services that are purchased under the Framework Agreement. Any related accessories or services must be purchased alongside goods and/or services listed under 1 of the lots and must fall within one of the CPV codes listed on this Contract Notice.
 Examples of accessories options and services that may fall within the scope of this Framework Agreement include but shall not be limited to:
 — Enterprise hardware;
 — Client Software;
 — Back-up devices and media;
 — Professional services;
 — Managed Service;
 — Software only and professional services;
 — Software and hardware and professional services;
 — Hosted off-site;
 — Configuration services;
 — Asset marking;
 — Deployment services;
 — Maintenance services.
 This procurement is split into 3 Lots:
 Lot 1 — Clinical Software Solutions;
 Lot 2 — Complementary Hardware Products;
 Lot 3 — Hosting Solutions.",,,"Any region","48814000 48180000 ",,matthew.johnson@supplychain.nhs.uk,"NHS Supply Chain","Foxbridge Way",Normanton,"WF6 1TL",England,,http://procurement.supplychain.nhs.uk/ISS/,"160503 Medical Software Package.pdf ",,"OJEU Ref 2016/S 086-152288 ",01/09/2016,31/08/2020,31/05/2016,NO,,Yes,Yes,No,Products,600000000,,02/11/2016,600000000,"[Accenture (UK) Limited|30 Fenchurch Street
London
EC3M 3BD|||No|No][Agfa HealthCare UK Limited|Tenth Floor 
Vantage West Great west Road
Brentford
Middlesex
TW8 9AG|||No|No][Ascribe Limited|Rawdon House Green Lane
Yeadon
Leeds
LS19 7BY|||No|No][Asteral Limited|Unit 4 Ely Road
Theale
Reading
RG7 4BQ|||No|No][Bender UK Limited|J L Winder and Co
125 Ramson Square
Barrow In Furness, Cumbria
LA14 1XA|||No|No][Brainlab Limited|C/O Booth Parkes & Assoc LTD  
Southolme Trinity Street
Gainsborough
Lincolnshire 
DN21 2EQ|||No|No][BridgeHead Software Limited|Bridgehead House
215 Barnett Wood Lane
Ashtead
Surrey
KT21 2DF|||No|No][Carestream Health UK Limited|One
Park Lane
Hemel Hempstead
Herts
HP2 4YJ|||No|No][Cievert Limited|37 Third Floor Gateshead International Buisness Centre
Mulgrave Terrace 
Gateshead
Tyne and Wear 
NE8 1AN|||No|No][CliniSys Solutions Limited|Two Bridges
Guildford Street 
Chertsey
Surrey 
KT16 9AU|||No|No][Dell Corporation Limited|Dell house The Boulevard
Cain Road 
Bracknell
Berkshire
RG12 1LF|||No|No][E Health Innovations Limited|3rd Floor I2 Mansfield 
Hamilton Court Oakham Buisness Park 
Mansfield 
NG18 5FB|||No|No][Esaote Europe B.V.|14 Cambridge Science Park
Milton Road
Cambridge
CB4 0FQ|||No|No][EuroKing Maternity Software Solutions Limited|I2  Mansfield Office Suit 0:1 Hamilton Way 
Oakham Business Park 
Mansfield 
NG18 5FB|||No|No][Forcare B.V.|Laan Van Vollenhove 2931
3709 AK Zeist
The Netherlands|||No|No][Fujifilm UK Limited|St Martins Buisness Centre
St Martins Way
Bedford
Bedfordshire
MK42 0LF|||No|No][GE Medical Systems Limited|Pollards Wood 
Nightingales Lane 
Chalfont St. Giles
Buckinghamshire
HP8 4SP|||No|No][Fujifilm UK Limited|St Martins Buisness Centre
St Martins Way
Bedford
Bedfordshire
MK42 0LF|||No|No][HD Clinical Limited|c/o Deloitte LLP Deloitte House
Station Place
Cambridge
CB1 2FP|||No|No][Healthcare Software Solutions Limited|I2 Mansfield Office Suit 0:1 Hamilton Way 
Oakham Business Park
Mansfield 
NG18 5FB|||No|No][HealthNetConnections Limited|c/o Health Net Connections Limited
Nova Scotia House
66-68 Goldsworth Road
Woking
Surrey
GU21 6LQ|||No|No][Hyland Software, Inc.|28500 Clemens Road
West Lake
OHIO 44145
United States|||No|No][iKnowHow Informatics S.A.|116 Kifissias Avenue & 1 Davaki Street
11526
Athens
Greece|||No|No][Infinitt UK Limited|Indigo 10 Mulberry Business Park
Fishponds Way 
Wokingham
Berkshire 
England
RG41 2GY 
""|||No|No][Insignia Medical Systems Limited|Norfolk House Summerlea Court 
Herriard
Basingstoke 
Hampshire  
RG25 2PN|||No|No][Intelerad Medical Systems Incorporated|895, de la Gauchetiere W., Suite 400
Montreal (Quebec)
H3B 4G1
Canada|||No|No][Intuitive Systems and Networks Limited|Arrowsmith Court 
Station Approach 
Broadstone
Dorset 
BH18 8AT|||No|No][Kanteron Systems SLU|Calle Palleter 10 
Pucol 46530
Valencia
Spain|||No|No][Lexmark Enterprise Software UK Limited|Marlborough Court Sunrise Parkway
Linford Wood
Milton Keynes
MK14 6DY|||No|No][Mach7 Technologies UK Limited|5 New Street Square
London
United Kingdom
EC4A 3TW|||No|No][McKesson Technologies UK Limited|TMF Corporate Administration Services Limited 5th Floor
6 St. Andrew Street
London
EC4A 3AE|||No|No][Medical Imaging Systems Limited|12 Kingsbury Trading Estate
Church Lane
London
NW9 8AU|||No|No][Medimatic SRL|Viale Cembrano 4C/4
16148 Genova
Italy|||No|No][Medrad UK Limited|Strawberry Hill
Newbury
Berkshire
RG14 1JA


""|||No|No][Merge Healthcare Inc|De Zaale 11
5612 AR Eindhoven
The Netherlands|||No|No][Mirada Medical Limited|Oxford Centre for Innovation
New Road
Oxford
OX1 1BY|||No|No][Open Text UK Limited|420 Thames Valley Park Drive
Reading 
RG6 1PT|||No|No][PACSHealth Limited|10 John Street
London
WC1N 2EB|||No|No][Parity Computers Limited|68 Argyle Street
Birkenhead
Merseyside
CH41 5LH|||No|No][Philips Electronics UK Limited|Philips Centre
Guildford Business Park
Guildford
Surrey
GU2 8XG|||No|No][Purcell Radio Systems Limited|28 Skylines Village
Limeharbour
London
E14 9TS|||No|No][Qinec Limited|C/O Ashcroft Anthony Limited
Heydon Lodge Flint Cross Newmarket Road
Heydon
Royston
Hertfordshire

SG8 7PN|||No|No][Sectra Limited|First Floor, Water Circle
City Meadows
London Stansted
Essex
CM22 6DR|||No|No][Seimens Healthcare Limited|Faraday House Sir William Siemens Square
Frimley
Camberley
Surrey
GU16 8QD|||No|No][Soliton IT Limited|Holly House
Felden Lane
Felden
Hertfordshire
HP3 0BF|||No|No][Spacelabs Healthcare Limited|One
New Change
London
EC4M 9AF|||No|No][Sunquest Information Systems (Europe) Limited|Coombe Farm Coombe Lane
Naphill
High Wycombe
Bucks
HP14 4QR|||No|No][SynApps Solutions Limited|Titan Court
3 Bishops Square
Hatfield
Hertfordshire
AL10 9NA|||No|No][System C Healthcare Limited|The Maidstone Studios Vinters Business Park 
New Cut Road 
Maidstone
Kent
ME14 5NZ|||No|No][TeraRecon GmbH|Walther-Von-Cronberg-Platz 16
60594
Frankfurt Am Main
Germany|||No|No][Ultralinq Healthcare Solutions Limited|Argyle House Joel Street
Suite 2J
Northwood
Middlesex
HA6 1NW|||No|No][Visbion Limited|Visbion House
Gogmore Lane
Chertsey
Surrey

KT16 9AP|||No|No][Vital Images Inc.|5850 Opus Parkway,
Suite 300
Minnetonka
Minnesota 55343
U.S.A.|||No|No]",,01/09/2016,31/08/2020,"Open ",
