"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
ITPD0384,Contract,"HIGHWAYS ENGLAND COMPANY LIMITED",Awarded,2019-12-16T09:07:36Z,"User Testing PRO.1081","Highways England website user testing",,,"Any region","72000000 ",,transparencysgrm@highwaysengland.co.uk,"Highways England","The Cube",Birmingham,"B1 1RN",England,,,"RM1557.11-G-Cloud-11-Call-Off-Contract-Version-4.1 ~ User Testing Signed.pdf ",,,18/11/2019,31/05/2020,17/11/2019,NO,,Yes,No,No,Services,70000,70000,17/11/2019,70000,"[FutureGov Ltd|20 St Thomas St - 2nd Floor, Runway East, London SE1 9RS|NONE||Yes|No]",,18/11/2019,31/05/2020,"CallOffFromFrameworkAgreement ",
RDx78,Contract,"DEPARTMENT FOR EDUCATION",Awarded,2019-11-28T13:29:36Z,"DOS 3 User Research Capability","User Research capabilities to help the department deliver and continuously improve user-centred education and social care services and to build user research knowledge and capability within the department",,,"Any region","72000000 ","Ayaz Akram",Ayaz.akram@education.gov.uk,"Department for Education, Cheylesmore House",,Coventry,"CV1 2WT",England,,,"DOS 3 User Research contract REDACTED.pdf ",,,18/11/2019,17/11/2021,26/09/2019,NO,,Yes,No,No,Services,1500000,,17/11/2019,1500000,"[FUTUREGOV. LTD|20 St. Thomas Street
LONDON
SE1 9RS
GB|COMPANIES_HOUSE|06472420|No|No]",,18/11/2019,17/11/2021,"CallOffFromFrameworkAgreement ",
TIT0067,Contract,"Department For Transport",Awarded,2019-11-20T11:17:12Z,"NATIONAL ACCESS POINT (NAP) DATA CATALOGUE","TO DEVELOPE A FRONTEND SERVICE WEB DATA CATALOGUE",,,"South East","72000000 ",DFT,dft.procurement@dft.gov.uk,"Great Minster House,76 Marsham Street",,LONDON,SW1P4DR,England,,,"T I T 0067 - Outcome Letter FutureGov_Redacted.pdf ",,,15/10/2019,03/03/2020,04/10/2019,NO,,No,No,No,Services,137800,,14/10/2019,137800,"[FUTUREGOV. LTD|20 St. Thomas Street
LONDON
SE1 9RS
GB|COMPANIES_HOUSE|06472420|No|No]",,15/10/2019,03/03/2020,"CallOffFromFrameworkAgreement ",
CAPLTFC001-DN419520-41139895,Contract,"Connected Places Catapult",Awarded,2019-11-18T08:54:53Z,"Land Use Planning Viability Assessment Tool","The Catapult is seeking to award a contract to a Supplier to deliver an Alpha project into the land use planning viability assessment process. The Catapult is working with a partnership of public agencies (Greater London Authority, London Borough of Southwark and London Borough of Tower Hamlets) who are seeking to make the viability assessment process in planning more transparent, effective and efficient. 

The viability assessment process involves property developers providing local authorities with a self-generated assessment of the costs involved in bringing about development (eg. Buying land, providing affordable housing, construction costs, profit etc) and the income from development (selling homes, renting homes etc). In this process there is a significant information asymmetry between developer and local planning authority, a lack of accessibility to members of the public and is a barrier to small developers becoming larger developers. Previous Discovery work has indicated that better use of data and digital tools could assist in addressing some of these challenges, and we wish to progress to an Alpha phase were concepts developed in the Discovery work are developed into working prototypes.

Further and complete information can be found in the information document on the Procurement Portal at this link: https://procontract.due-north.com/Advert?advertId=7c9e3c71-759d-e911-80f8-005056b64545&fromRfxSummary=True&rfxId=ee9697e3-7da4-e911-80f8-005056b64545",,,London,"71410000 ","Nathan Whittaker",nathan.whittaker@cp.catapult.org.uk,"1 Sekforde Street",,London,"EC1R 0BE","United Kingdom",,https://cp.catapult.org.uk/,,,"Request to participate and procurement documents are available for unrestricted and full direct access, free of charge, at: https://procontract.due-north.com/Advert?advertId=7c9e3c71-759d-e911-80f8-005056b64545&fromRfxSummary=True&rfxId=ee9697e3-7da4-e911-80f8-005056b64545 The ITT is to be completed and submitted on the ProContract system.
",12/08/2019,07/11/2019,01/08/2019,NO,,Yes,Yes,No,Services,140000,,16/08/2019,135000,"[FUTUREGOV. LTD|20 St Thomas Street, Runway East (Second Floor), London, United Kingdom, SE1 9RG|NONE||Yes|No]",,16/09/2019,31/01/2020,"Open ",
DN389938,Contract,"NORTH EAST LINCOLNSHIRE COUNCIL",Awarded,2019-05-17T14:55:30Z,"Change and Integration Partner","North East Lincolnshire Council (the Authority) and the North East Lincolnshire Clinical Commissioning Group (CCG), require a Consultant who will work with them to develop and embed skills and capabilities for change, enabling the Authority and the CCG to become a single organisation (the Union). The Consultant must develop the corporate core of the Union to become an efficient shared function with the capability to respond to and deliver change, enabling the Union to shape North East Lincolnshire as a place and support the health and wellbeing of the people who live in the borough. All documents are only available via www. YORtender.co.uk OJEU Reference Number: 2019/S 027-060186",,,"Yorkshire and the Humber","79411000 79414000 79415000 ",,procurement@nelincs.gov.uk,"Town Hall Square",,GRIMSBY,DN311HU,England,,,,,,01/04/2019,31/12/2019,11/03/2019,NO,,Yes,No,No,Services,300000,,23/04/2019,300000,"[FutureGov. Ltd|Runway East (Second Floor), 20 St Thomas Street, London, Greater London, SE1 9RG|COMPANIES_HOUSE|6472420|Yes|No]",,30/04/2019,31/01/2020,"OpenOJEU ",
tender_193247/753107,Contract,"NHS Digital",Awarded,2019-03-14T12:57:58Z,"Clinical Triage Platform (CTP) Strategic Service Design - AWARD","Award  of Contract",,,London,"72000000 ",,procmail@nhs.net,"1 Trevelyan Square",,Leeds,"LS1 6AE",England,,,,,,28/02/2019,27/07/2019,16/11/2018,NO,,Yes,No,No,Services,203940,,25/02/2019,203940,"[FutureGov Ltd|Wenlock Studios, Suite 2.01, 50-52 Wharf Road, Hackney, London N1 7EU|NONE||Yes|No]",,28/02/2019,27/07/2019,"CallOffFromFrameworkAgreement ",
"Highways England Website User Research",Contract,"HIGHWAYS ENGLAND COMPANY LIMITED",Awarded,2019-02-27T09:47:44Z,"Highways England Website User Research","Wesbsite User Research",,,"Any region","73110000 ",,TransparencySGRM@highwaysengland.co.uk,"The Cube",,Birmingham,"B1 1RN",England,,,"Redacted digital-outcomes-and-specialists-3-call-off-contract Website User Research (002).docx ",,,25/02/2019,31/05/2019,01/02/2019,NO,,Yes,No,No,Services,68365,68365,01/02/2019,68350,"[FutureGov Ltd|Runway East (Second Floor) 20 St Thomas Street, London, SE1 9RG, United Kingdom|NONE||Yes|No]",,25/02/2019,31/05/2019,"CallOffFromFrameworkAgreement ",
0590,Contract,"ESSEX COUNTY COUNCIL",Awarded,2018-11-13T11:07:42Z,"Service Design Partner","To partner with an expert in service design and strategy for the internet age to:
•	provide senior management advisory and strategic support
•	embed user-centred design capabilities and an agile mindset across the organisation
•	identify opportunities and lead on the design of cost-effective services
•	enable the delivery of efficiency savings",,,"East of England","79411000 ","Cara Gale",cara.gale@essex.gov.uk,"County Hall",,CHELMSFORD,"CM1 1QH",England,,,,,,09/11/2018,08/11/2020,31/07/2018,NO,,Yes,Yes,No,Services,392640,1892640,23/08/2018,1892640,"[FUTUREGOV. LTD|50-52 WHARF ROAD
LONDON
N1 7EU
GB|COMPANIES_HOUSE|06472420|Yes|No]","Britt Wood",09/11/2018,08/11/2020,"CallOffFromFrameworkAgreement ",
"CPD04/119/021. CCIS18A58.",Contract,"Crown Commercial Service",Awarded,2018-10-09T14:51:17Z,"MHCLG Digital Maturity and Benchmarking Tool","MHCLG Digital Maturity and Benchmarking Tool.
This contract has been awarded and is published for transparency purposes.",,,London,"72000000 ","Crown Commercial Service",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"REDACTED for publication final.pdf ",,,24/09/2018,31/12/2018,14/09/2018,NO,,Yes,No,No,Services,39500,,18/09/2018,39500,"[FUTUREGOV. LTD|Suite A, 3, King Street CO9 3ER Halstead England|NONE||Yes|No]","Adam Walther",24/09/2018,31/12/2018,"CallOffFromFrameworkAgreement ",
"CCS Fremework Referenc No. RM1043",Contract,"BRADFORD METROPOLITAN DISTRICT COUNCIL",Awarded,2018-04-03T10:05:08Z,"Digital Outcomes Solutions Framework","A digital outcomes partner with an expert in designing services for the digital age to:

i)	deliver significant efficiency savings
ii)	redesign services to be customer centric/relevant to the districts changing needs
iii)	redesign services to be digitally enabled/improve customer satisfaction, and
iv)	assist in developing an internal culture and skill set. 

The Council needs to make savings, increase efficiency and also meet the expectations of the districts citizens in delivering services which are centered around their needs. It wishes to take an agile service design approach to transformation in order to make significant and accelerated progress to meet these key aims. this work will directly contribute to the outcomes defined in the Councils Plan and assist in delivering the £30.7m savings by 2020.",,,"Yorkshire and the Humber","72222300 ","Zoe Nichols",zoe.nochols@bradford.gov.uk,"6th Floor, Britannia House","Hall Ings",Bradford,"BD1 1HX",England,"01274 434662",,,,,03/04/2018,30/04/2019,07/02/2018,NO,,Yes,No,No,Services,439400,,22/03/2018,439400,"[Futuregov. Ltd|Suite A, 3 King Street, Castle Hedingham, Halstead, Essex, CO9 3ER|NONE||Yes|No]",,03/04/2018,31/10/2019,"CallOffFromFrameworkAgreement ",
BATH001-DN313287-78997277,Contract,"Bath and North East Somerset Council",Awarded,2018-02-07T11:11:39Z,"Digital by Choice","Digital By Choice- Consultancy. Awarded through G Cloud 9  framework agreement RM1557ix",,,"South West","72000000 ","Emma Turner",IT_procurement@bathnes.gov.uk,Guildhall,"High Street",Bath,"BA1 5AW",England,"+44 1225477000",http://www.bathnes.gov.uk,,,,08/01/2018,07/01/2019,20/12/2017,NO,,Yes,No,No,Services,128000,128000,04/01/2018,128000,"[FutureGov Ltd|Suite A, 3 King Street, Castle Hedingham, Halstead, Essex, CO9 3ER|NONE||Yes|No]","Emma McGowan",08/01/2018,07/01/2019,"DirectAward ",
DN291620,Contract,"NORTH EAST LINCOLNSHIRE COUNCIL",Awarded,2017-10-26T12:11:19Z,"User/Customer Centric Design, Co-Production and Digital Prototyping","Call off from the Digital Outcomes and Specialists 2 Framework.",,,"Yorkshire and the Humber","72000000 ",,procurement@nelincs.gov.uk,"Municipal Offices","Town Hall Square",Grimsby,"DN31 1HU",England,,,,,,01/09/2017,31/08/2018,16/08/2017,NO,,Yes,Yes,No,Services,260000,,18/08/2017,260000,"[FutureGov Ltd|Wenlock Studios, Suite 201, 50-52 Wharf Road, London N1 7EU|||No|No]",,01/09/2017,31/08/2018,"CallOffFromFrameworkAgreement ",
0479,Contract,"ESSEX COUNTY COUNCIL",Awarded,2016-11-30T10:34:11Z,"G-Cloud Call Off - digital external support","G-Cloud Call off   - Essex County Council (ECC) aspires to be a Digital Leader; a commitment made in its organisational principles:
We embrace digital first at every opportunity either via direct service delivery or through partners.  All interactions are optimised for a fast, accessible, person-friendly, inclusive and reliable digital experience.
The period of October 2016-April 2017 is pivotal in shaping the approach to delivery and demonstrating transformational change through digital.",,,"South East","72200000 72600000 ",,daniel.montague@essex.gov.uk,"county hall,market road,",,chelmsford,CM11QH,England,,,,,,24/10/2016,30/04/2017,14/10/2016,NO,,Yes,No,No,Services,95000,,14/10/2016,95000,"[Futuregov ltd|Futuregov.Ltd
Wenlock Studios, Suite 201
50-52 Wharf Road
London
N1 7EU|||No|No]",,24/10/2016,30/04/2017,"Other ",
