Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS
2017-11-28,ZFC282276,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Avondale,"198,700.05",200311,C.11507.001
2017-11-28,ZFC282276,2,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Condition Works on Leisure Centres - Bramhall,"63,663.11",200311,C.11508.002
2017-11-28,ZFC282276,3,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Hazel Grove,"698,659.98",200311,C.11507.004
2017-11-28,ZFC282276,4,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Hazel Grove,"120,934.73",200311,C.11507.004
2017-11-28,ZFC282276,5,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Priestnall,"32,925.56",200311,C.11507.008
2017-11-28,ZFC282276,6,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Romiley,"94,763.62",200311,C.11507.005
2017-12-05,ZFC282562,1,4704,CPL Heating and Plumbing,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Marple Hall Sec. Isherwood Block Boiler Scheme,"153,378.00",200311,C.10405.116
2017-12-13,ZFC283010,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Grand Central,"51,359.27",200311,C.11507.003
2017-10-02,ZHT279277,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Park Buildings/Changing rooms - H&S Issues,"7,560.00",200311,C.11502.035
2017-10-19,ZHT280290,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Condition Works on Leisure Centres - Romiley,"7,257.80",200155,C.11508.007
2017-10-19,ZHT280298,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Condition Works on Leisure Centres - Priestnall,"25,331.20",200155,C.11508.006
2017-11-02,ZHT280953,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Leisure Strategy - Capital Works on Centres,"10,000.00",200155,C.10831
2017-11-10,ZHT281382,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Park Buildings/Changing rooms - H&S Issues,"23,377.20",200311,C.11502.035
2017-11-10,ZHT281397,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Corporate Buildings - install improved boilers,"7,564.68",200311,C.11501.043
2017-11-10,ZHT281409,1,12435,Northern Fencing Ltd,181000,Environmental Services Demolition & Asbestos Removal ,,Capital Expenditure,Corporate buildings - demolition of 103,"7,059.00",200308,C.11502.060
2017-11-16,ZHT281673,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Corporate Buildings - install improved boilers,"43,095.00",200311,C.11501.043
2017-11-28,ZHT282242,1,588,H Jenkinson & Co Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Brinnington Sports Centre,"12,750.00",400100,C.10875
2017-12-05,ZHT282563,1,628,Life Leisure,270000,Information Communication Technology  ,,Capital Expenditure,Brinnington Sports Centre,"13,996.14",402001,C.10875
2017-12-06,ZHT282692,1,10966,National Car Parks Ltd,192200,Facilities & Management Services Security ,,Capital Expenditure,Stopford House - car park controlled access,"86,900.14",201204,C.11502.073
2017-12-19,ZHT283301,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Hazlegrove Primary.  Roof Repairs,"8,880.00",200127,C.10326.109
2017-10-10,ZPP279795,1,2458,Northern Insulation Contractor,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Marple Hall Sec. Isherwood Block Boiler Scheme,"14,637.00",200120,C.10405.116
2017-10-24,ZPP280473,1,2324,LAR Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Romiley,"5,438.00",200120,C.11507.005
2017-10-27,ZPP280622,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Corporate buildings - asbestos removal,"5,724.60",200121,C.11501.052
2017-10-03,ZSA279322,1,1339,Stockport NHS Foundation Trust,260000,Human Resources  ,,Services to People,PDL Purchasing Costs,"193,241.00",100304,11615
2017-10-19,ZSA280264,1,9715,NHS Stockport CCG,260000,Human Resources  ,,Services to People,Proactive Care,"528,055.00",100304,12829
2017-10-19,ZSA280283,1,11615,Healthwatch Stockport,999999,Social Community Care Supplies & Services  ,,Services to People,Health Policy Grants,"64,500.00",561704,12385
2017-10-31,ZSA280771,1,1644,Tameside MBC,999999,Fees and Charges,,Services to People,Assistant Director - Strategy & Performa,"5,000.00",401035,11883
2017-11-02,ZSA280897,1,1117,OLM Systems Ltd,150000,Consultancy   ,,Services to People,Info S&P Special Projects,"10,000.00",401007,11878
2017-11-06,ZSA281071,1,9715,NHS Stockport CCG,150000,Consultancy   ,,Services to People,Info S&P Special Projects,"5,000.00",401007,11878
2017-11-07,ZSA281136,1,1339,Stockport NHS Foundation Trust,260000,Human Resources  ,,Services to People,Transformation Fund-Intermediate Tier,"627,753.00",100304,12932
2017-11-07,ZSA281137,1,1339,Stockport NHS Foundation Trust,999999,UNCLASSIFIED  ,,Services to People,Intermediate Care PCT,"228,225.00",100115,12571
2017-11-07,ZSA281138,1,1339,Stockport NHS Foundation Trust,999999,UNCLASSIFIED  ,,Services to People,Intermediate Care FT,"303,750.00",100115,12570
2017-11-08,ZSA281241,1,1339,Stockport NHS Foundation Trust,261400,Human Resources Temporary & Agency Staff ,,Services to People,Ld Service Mgt Costs Medical Services,"30,000.00",100290,11828
2017-11-08,ZSA281242,1,9018,Future Directions CIC,320000,Social Community Care Supplies & Services  ,,Services to People,Calderstones 4 Properties,"60,000.00",530328,12392
2017-11-08,ZSA281275,1,1339,Stockport NHS Foundation Trust,999999,UNCLASSIFIED  ,,Services to People,Intermediate Care PCT,"456,450.00",100115,12571
2017-11-08,ZSA281276,1,1339,Stockport NHS Foundation Trust,999999,UNCLASSIFIED  ,,Services to People,Intermediate Care FT,"607,500.00",100115,12570
2017-11-09,ZSA281362,1,4369,Pennine Care NHS Trust,261400,Human Resources Temporary & Agency Staff ,,Services to People,Ld Service Mgt Costs Medical Services,"30,000.00",100290,11828
2017-11-15,ZSA281662,1,9018,Future Directions CIC,320000,Social Community Care Supplies & Services  ,,Services to People,Calderstones 4 Properties,"7,000.00",530328,12392
2017-11-29,ZSA282302,1,10346,STOCKPORT ADVOCACY,150000,Consultancy   ,,Services to People,Advocacy,"99,516.68",401020,12853
2017-11-29,ZSA282325,1,1339,Stockport NHS Foundation Trust,260000,Human Resources  ,,Services to People,Transformation Fund-Enablers,"200,000.00",100304,12929
2017-12-04,ZSA282499,1,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,"6,400.00",400105,C.11424
2017-12-04,ZSA282499,2,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,"1,124.10",400105,C.11424
2017-12-04,ZSA282499,3,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,408,400105,C.11424
2017-12-04,ZSA282499,4,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,65,400105,C.11424
2017-12-04,ZSA282499,5,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,20.8,400105,C.11424
2017-12-04,ZSA282499,6,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Telecare Equipment,340,400105,C.11424
2017-12-13,ZSA283032,1,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,665.5,400105,11658
2017-12-13,ZSA283032,2,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,"1,635.90",400105,11658
2017-12-13,ZSA283032,3,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,"3,320.00",400105,11658
2017-12-13,ZSA283032,4,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,128.75,400105,11658
2017-12-13,ZSA283032,5,8696,Chubb Security,210000,Furniture & Soft Furnishings  ,,Services to People,Equipment & Minor Aids,424.1,400105,11658
2017-12-18,ZSA283213,1,12538,Toasted Productions Ltd,190000,Facilities & Management Services  ,,Services to People,Transformation Fund-Provider,"7,525.00",400700,12931
2017-12-18,ZSA283267,1,1104,Age UK Stockport,390000,Supplies and services,,Services to People,Support at Home (WIN),"300,000.00",401600,12856
2017-12-18,ZSA283268,1,1382,Pure Innovations Ltd,390000,Supplies and services,,Services to People,Social Support (WIN),"300,000.00",401600,12857
2017-12-18,ZSA283269,1,10338,STOCKPORT CAR SCHEMES,390000,Supplies and services,,Services to People,Community Transport (WIN),"120,000.00",401600,12855
2017-10-05,ZSB279542,1,1799,Stockport Homes,999999,Supplies and services,,Services to People,Highfields Inclusion Partnership,"6,582.02",401429,10329
2017-10-31,ZSB280744,1,3529,Totally Local Company Ltd,111200,Catering Food & Beverages ,,Services to People,Highfields Inclusion Partnership,"7,161.34",400422,10329
2017-12-06,ZSB282643,1,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",,Services to People,Highfields Inclusion Partnership,"10,000.00",200123,10329
2017-12-06,ZSB282644,1,10951,OPUS ENERGY LTD,370000,Utilities   ,,Services to People,Highfields Inclusion Partnership,"8,000.00",200510,10329
2017-10-03,ZZC279370,1,12332,Broad Oak Primary School,170000,Education  ,,Services to People,Lea-Other Local Authorities,"15,628.00",500304,10371
2017-10-05,ZZC279501,1,628,Life Leisure,150000,Consultancy   ,,Services to People,S2S-SSCO Partnership,"12,800.00",401020,10716
2017-10-05,ZZC279502,1,12337,Priory Education Services - Ol,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,"151,157.00",401024,10372
2017-10-05,ZZC279503,1,12332,Broad Oak Primary School,170000,Education  ,,Services to People,Lea-Other Local Authorities,"8,871.00",500304,10371
2017-10-05,ZZC279548,1,11667,MYCLOUD LIMITED,150000,Consultancy   ,,Services to People,MOS - Mosaic Management,"10,000.00",401020,11430
2017-10-06,ZZC279619,1,12139,Fairfield Care Lltd,320000,Social Community Care Supplies & Services  ,,Services to People,DP - Respite,"14,400.00",530335,11513
2017-10-06,ZZC279620,1,12226,MedGen,320000,Social Community Care Supplies & Services  ,,Services to People,DP - Respite,"8,500.00",530335,11513
2017-10-09,ZZC279665,1,12345,Hesley Group,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,"151,000.00",401024,10372
2017-10-09,ZZC279666,1,4122,Ramillies Hall Pre-School Nurs,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,"9,076.00",401024,10372
2017-10-09,ZZC279667,1,12269,PENARTH GROUP,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,"23,940.00",401024,10372
2017-10-09,ZZC279670,1,628,Life Leisure,320000,Social Community Care Supplies & Services  ,,Services to People,LAC - Care Matters,"8,000.00",530356,11768
2017-10-10,ZZC279765,1,4122,Ramillies Hall Pre-School Nurs,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,"15,300.00",401024,10372
2017-10-11,ZZC279848,1,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,,Services to People,SG - Child Prot-Lscb,912,400110,11424
2017-10-11,ZZC279848,2,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,,Services to People,SG - Child Prot-Lscb,"7,547.40",400110,11424
2017-10-11,ZZC279848,3,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,,Services to People,SG - Child Prot-Lscb,74.76,400110,11424
2017-10-11,ZZC279848,4,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,,Services to People,SG - Child Prot-Lscb,42,400110,11424
2017-10-16,ZZC280007,1,12367,Beech Hall School,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,"25,544.00",401024,10372
2017-10-16,ZZC280008,1,12367,Beech Hall School,261500,Human Resources Training & Conferences ,,Services to People,Perip-Classroom Assistant - Learning Dif,"16,600.00",401024,10300
2017-10-17,ZZC280075,1,3707,Salford City Council/Finance,270000,Information Communication Technology  ,,Services to People,RAA Adoption Count,"8,257.50",402001,12957
2017-10-17,ZZC280076,1,8249,Creative Concern Ltd,190000,Facilities & Management Services  ,,Services to People,FP – Regional Adoption Agency,"6,615.00",401800,12870
2017-10-17,ZZC280077,1,9511,TRAFFORD MB COUNCIL,150000,Consultancy   ,,Services to People,FP – Regional Adoption Agency,"23,660.64",401020,12870
2017-10-17,ZZC280078,1,12106,KMS Media,190000,Facilities & Management Services  ,,Services to People,RAA Adoption Count,"24,867.00",401800,12957
2017-10-17,ZZC280090,1,12372,Transport Service Solutions,210000,Furniture & Soft Furnishings  ,,Services to People,Lea-Sen Transport,"5,789.41",400105,10373
2017-10-18,ZZC280197,1,9656,Christopher Swire,150000,Consultancy   ,,Services to People,Ethnic Diversity Service,"6,000.00",401007,10305
2017-10-19,ZZC280280,1,12362,Intercountry Adoption Centre,320000,Social Community Care Supplies & Services  ,,Services to People,SC - NW Strategic Safeguarding,"15,000.00",530356,11491
2017-10-24,ZZC280418,1,12266,Vision Beyond Autism CIC,261500,Human Resources Training & Conferences ,,Services to People,Perip-Classroom Assistant - Learning Dif,"17,500.00",401024,10300
2017-10-24,ZZC280419,1,12180,Acorn Care and Education,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,"17,345.50",401024,10372
2017-10-25,ZZC280522,1,6702,Cheshire West and Chester Coun,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,"9,000.00",530306,11485
2017-10-26,ZZC280582,1,7167,Cheshire East Borough Council.,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,"14,333.00",530306,11485
2017-10-26,ZZC280583,1,8766,ADOPTION MATTERS NORTHWEST,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,"27,000.00",530306,11485
2017-10-26,ZZC280584,1,9511,TRAFFORD MB COUNCIL,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,"27,000.00",530306,11485
2017-10-30,ZZC280721,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,"5,690.00",402001,12777
2017-10-30,ZZC280721,2,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,0,402001,12777
2017-10-30,ZZC280721,3,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,0,402001,12777
2017-10-30,ZZC280721,4,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,0,402001,12777
2017-10-30,ZZC280721,5,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,VST - Pupil Premium Grant,0,402001,12777
2017-10-30,ZZC280729,1,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,382.72,401020,11083
2017-10-30,ZZC280729,2,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,"2,864.42",401020,11083
2017-10-30,ZZC280729,3,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,"1,118.26",401020,11083
2017-10-30,ZZC280729,4,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,"1,219.92",401020,11083
2017-10-30,ZZC280729,5,3529,Totally Local Company Ltd,150000,Consultancy   ,,Services to People,Central House,89.7,401020,11083
2017-10-30,ZZC280736,1,1339,Stockport NHS Foundation Trust,320000,Social Community Care Supplies & Services  ,,Services to People,EHP TP Commissioning,"30,000.00",500604,11740
2017-10-31,ZZC280790,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,,Services to People,Perip-Classroom Assistant - Learning Dif,"18,336.00",500402,10300
2017-11-02,ZZC280923,1,1722,The Together Trust Centre,150000,Consultancy   ,,Services to People,Perip-Classroom Assistant - Learning Dif,"150,000.00",401020,10300
2017-11-02,ZZC280934,1,11705,Parents in Partnership Stockpo,999999,Fees and Charges,,Services to People,SEN Reform,"5,000.00",402404,12759
2017-11-03,ZZC280999,1,1722,The Together Trust Centre,261500,Human Resources Training & Conferences ,,Services to People,SEN Independent School Fees Non Maintained Sch,"33,023.04",401024,12710
2017-11-06,ZZC281066,1,1722,The Together Trust Centre,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,"20,460.42",401024,10372
2017-11-07,ZZC281097,1,12388,Wistaston Church Lane Academy,170000,Education  ,,Services to People,Lea-Other Local Authorities,"6,850.00",500304,10371
2017-11-09,ZZC281303,1,9715,NHS Stockport CCG,260000,Human Resources  ,,Services to People,SHV SFW School Aged +,"20,000.00",100304,12879
2017-11-09,ZZC281343,1,1722,The Together Trust Centre,320000,Social Community Care Supplies & Services  ,,Services to People,DP - Respite,"8,500.00",530335,11513
2017-11-09,ZZC281346,1,1722,The Together Trust Centre,290000,Arts & Leisure Services  ,,Services to People,DP -  Aiming High Activities & Events,"5,441.82",401801,11432
2017-11-09,ZZC281347,1,1722,The Together Trust Centre,290000,Arts & Leisure Services  ,,Services to People,DP -  Aiming High Activities & Events,"15,141.64",401801,11432
2017-11-09,ZZC281349,1,1382,Pure Innovations Ltd,290000,Arts & Leisure Services  ,,Services to People,DP -  Aiming High Activities & Events,"5,384.72",401801,11432
2017-11-13,ZZC281484,1,628,Life Leisure,181600,Environmental Services Street Cleansing ,,Services to People,PH-Lifestyles,"19,578.00",201606,12737
2017-11-14,ZZC281583,1,3538,The University of Sheffield,999999,Fees and Charges,,Services to People,Incl - Psychologists,"16,950.00",401035,10751
2017-11-16,ZZC281733,1,12447,HEATON HOLIDAY CLUB,290000,Arts & Leisure Services  ,,Services to People,DP -  Aiming High Activities & Events,"9,333.34",401801,11432
2017-11-21,ZZC281917,1,12265,Lancasterian School,170000,Education  ,,Services to People,Lea-Other Local Authorities,"28,000.00",500304,10371
2017-11-22,ZZC282000,1,12027,DEAFNESS SUPPORT NETWORK,320000,Social Community Care Supplies & Services  ,,Services to People,DP - Respite,"9,000.00",530335,11513
2017-11-24,ZZC282107,1,4047,Caritas Diocese of Salford,320000,Social Community Care Supplies & Services  ,,Services to People,RAA Adoption Count,"81,000.00",530306,12957
2017-11-27,ZZC282164,1,11958,PIPER HILL SCHOOL,170000,Education  ,,Services to People,Lea-Other Local Authorities,"9,922.38",500304,10371
2017-11-27,ZZC282209,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,"56,400.00",500402,11500
2017-11-27,ZZC282210,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,"94,553.04",500402,11500
2017-11-27,ZZC282211,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,"40,104.00",500402,11500
2017-11-28,ZZC282269,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,"10,000.00",500402,11500
2017-11-28,ZZC282270,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,,Services to People,SC - CAHMS,"9,178.88",500402,11500
2017-11-28,ZZC282293,1,12480,TS4TE Cooperative Ltd,390000,Supplies and services,,Services to People,PH-Health Protection,"5,700.00",401600,12739
2017-11-28,ZZC282293,2,12480,TS4TE Cooperative Ltd,390000,Supplies and services,,Services to People,PH-Health Protection,"3,500.00",401600,12739
2017-11-29,ZZC282321,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,,Services to People,PTG Troubled Families,"22,400.00",500402,10148
2017-11-30,ZZC282407,1,5995,Cheadle House,190000,Facilities & Management Services  ,,Services to People,SI - Advisers,"6,550.00",400705,10727
2017-12-04,ZZC282508,1,12488,FAMILIES FOR CHILDREN,320000,Social Community Care Supplies & Services  ,,Services to People,RAA Adoption Count,"43,000.00",530300,12957
2017-12-04,ZZC282509,1,11320,Mike Hall Associates,150000,Consultancy   ,,Services to People,RAA - Centre of Excellence Grant,"23,400.00",401020,12967
2017-12-04,ZZC282509,1,11320,Mike Hall Associates,150000,Consultancy   ,,Services to People,RAA - Regionalisation ASF Grant,"23,400.00",401020,12968
2017-12-07,ZZC282728,1,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.7,401024,10692
2017-12-07,ZZC282728,2,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.7,401024,10692
2017-12-07,ZZC282728,3,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.7,401024,10692
2017-12-07,ZZC282728,4,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.7,401024,10692
2017-12-07,ZZC282728,5,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,"1,049.40",401024,10692
2017-12-07,ZZC282728,6,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.7,401024,10692
2017-12-07,ZZC282728,7,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.7,401024,10692
2017-12-07,ZZC282728,8,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.7,401024,10692
2017-12-07,ZZC282728,9,10776,Z-Arts,261500,Human Resources Training & Conferences ,,Services to People,Incl - Sch Link Prog,524.7,401024,10692
2017-12-07,ZZC282765,1,628,Life Leisure,150000,Consultancy   ,,Services to People,S2S-SSCO Partnership,"15,680.00",401020,10716
2017-12-12,ZZC282974,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,"4,190.00",402001,11501
2017-12-12,ZZC282974,2,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,250,402001,11501
2017-12-12,ZZC282974,3,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,690,402001,11501
2017-12-12,ZZC282974,4,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,90,402001,11501
2017-12-12,ZZC282974,5,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,,Services to People,LAC - Leaving Care Services,470,402001,11501
2017-12-14,ZZC283078,1,12536,CARITAS CARE,320000,Social Community Care Supplies & Services  ,,Services to People,FP - Adoption Inter Agency,"9,000.00",530306,11485
2017-12-18,ZZC283207,1,11466,High Peak School Ltd,261500,Human Resources Training & Conferences ,,Services to People,Lea-Sen Independent School Fees,"16,125.00",401024,10372
2017-12-18,ZZC283248,1,10289,STOCKPORT SAMARITANS,390000,Supplies and services,,Services to People,PH-Mental Wellbeing,"12,000.00",401600,12734
2017-12-19,ZZC283333,1,10346,STOCKPORT ADVOCACY,150000,Consultancy   ,,Services to People,SC - CAHMS,"5,000.00",401020,11500
